id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	metabolite	raw.label	class	subclass	label	derived_features	INTERVAL	abbreviation1	abbreviation2	label.no.units
Lu BF EU sex combined 5 SNPs	0ttqk4	IDL-PL.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	0.0967065089743893	0.214534693020094	0.652152955247144	idlpl	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Phospholipids (mmol/l)	no	idlpl	IDL-PL	IDL-PL	Phospholipids in IDL
Lu BF EU sex combined 5 SNPs	0ttqk4	IDL-PL.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	-0.17309830089292	0.116571013644593	0.211740469798903	idlpl	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Phospholipids (mmol/l)	no	idlpl	IDL-PL	IDL-PL	Phospholipids in IDL
Lu BF EU sex combined 5 SNPs	1G2fRh	IDL-L.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	-3.7634267396356	3.79336153906525	0.394278163806215	idll	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total lipids (mmol/l)	no	idll	IDL-L	IDL-L	Total lipids in IDL
Lu BF EU sex combined 5 SNPs	1G2fRh	IDL-L.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	0.0539352052465149	0.112601055261046	0.631943052626804	idll	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total lipids (mmol/l)	no	idll	IDL-L	IDL-L	Total lipids in IDL
Lu BF EU sex combined 5 SNPs	1G2fRh	IDL-L.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	-0.78966269170597	0.790739690800461	0.317970092113534	idll	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total lipids (mmol/l)	no	idll	IDL-L	IDL-L	Total lipids in IDL
Lu BF EU sex combined 5 SNPs	1G2fRh	IDL-L.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	0.129073599786512	0.114606809778057	0.323063199857334	idll	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total lipids (mmol/l)	no	idll	IDL-L	IDL-L	Total lipids in IDL
Lu BF EU sex combined 5 SNPs	1j1xuv	L-LDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	2.01818369123584	2.48797741651656	0.476646596785691	lldlfcpct	Free cholesterol in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Free cholesterol to total lipid ratio (%)	yes	lldlfc_	L-LDL-FC_%	L-LDL-FC_percent	Free cholesterol to total lipids ratio in large LDL
Lu BF EU sex combined 5 SNPs	1j1xuv	L-LDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	-0.125885098117709	0.115790168475156	0.276955959902459	lldlfcpct	Free cholesterol in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Free cholesterol to total lipid ratio (%)	yes	lldlfc_	L-LDL-FC_%	L-LDL-FC_percent	Free cholesterol to total lipids ratio in large LDL
Lu BF EU sex combined 5 SNPs	1j1xuv	L-LDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	0.428443373317183	0.502949212989087	0.394290633800239	lldlfcpct	Free cholesterol in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Free cholesterol to total lipid ratio (%)	yes	lldlfc_	L-LDL-FC_%	L-LDL-FC_percent	Free cholesterol to total lipids ratio in large LDL
Lu BF EU sex combined 5 SNPs	1j1xuv	L-LDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	-0.171105830081748	0.118548493397613	0.222407132103401	lldlfcpct	Free cholesterol in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Free cholesterol to total lipid ratio (%)	yes	lldlfc_	L-LDL-FC_%	L-LDL-FC_percent	Free cholesterol to total lipids ratio in large LDL
Lu BF EU sex combined 5 SNPs	1mV9sc	HDL-D.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	1.28002536540359	1.80260340681333	0.528864147417155	hdld	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	HDL particle size (nm)	no	hdld	HDL-D	HDL-D	Mean diameter for HDL particles
Lu BF EU sex combined 5 SNPs	1mV9sc	HDL-D.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	-0.193044012326702	0.123014658345514	0.116583525915364	hdld	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	HDL particle size (nm)	no	hdld	HDL-D	HDL-D	Mean diameter for HDL particles
Lu BF EU sex combined 5 SNPs	1mV9sc	HDL-D.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	0.156916531670038	0.363272185577944	0.66577553053167	hdld	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	HDL particle size (nm)	no	hdld	HDL-D	HDL-D	Mean diameter for HDL particles
Lu BF EU sex combined 5 SNPs	1mV9sc	HDL-D.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	-0.197999685829934	0.126567099811588	0.192774756660799	hdld	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	HDL particle size (nm)	no	hdld	HDL-D	HDL-D	Mean diameter for HDL particles
Lu BF EU sex combined 5 SNPs	28Ecak	XS-VLDL-L.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	-3.02403961460881	3.17461047443246	0.411082884098947	xsvldll	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Total lipids (mmol/l)	no	xsvldll	XS-VLDL-L	XS-VLDL-L	Total lipids in very small VLDL
Lu BF EU sex combined 5 SNPs	28Ecak	XS-VLDL-L.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	0.1525128248599	0.116274077186822	0.189632646905188	xsvldll	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Total lipids (mmol/l)	no	xsvldll	XS-VLDL-L	XS-VLDL-L	Total lipids in very small VLDL
Lu BF EU sex combined 5 SNPs	28Ecak	XS-VLDL-L.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	-0.609693370803208	0.658277215033582	0.354344409276755	xsvldll	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Total lipids (mmol/l)	no	xsvldll	XS-VLDL-L	XS-VLDL-L	Total lipids in very small VLDL
Lu BF EU sex combined 5 SNPs	28Ecak	XS-VLDL-L.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	0.160983217852079	0.122363239463143	0.258641350747086	xsvldll	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Total lipids (mmol/l)	no	xsvldll	XS-VLDL-L	XS-VLDL-L	Total lipids in very small VLDL
Lu BF EU sex combined 5 SNPs	2bOtDV	SFAbyFA.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	1.2300632304486	0.961937896586958	0.290939571204338	sfabyfa	Ratio of saturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	Saturated fatty acids (%)	yes	sfafa	SFA/FA	SFAbyFA	Ratio of saturated fatty acids to total fatty acids
Lu BF EU sex combined 5 SNPs	2bOtDV	SFAbyFA.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	0.111691102326754	0.11755416794103	0.342048964151205	sfabyfa	Ratio of saturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	Saturated fatty acids (%)	yes	sfafa	SFA/FA	SFAbyFA	Ratio of saturated fatty acids to total fatty acids
Lu BF EU sex combined 5 SNPs	2bOtDV	SFAbyFA.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	0.331471194418528	0.207839685370147	0.110747857587611	sfabyfa	Ratio of saturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	Saturated fatty acids (%)	yes	sfafa	SFA/FA	SFAbyFA	Ratio of saturated fatty acids to total fatty acids
Lu BF EU sex combined 5 SNPs	2bOtDV	SFAbyFA.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	0.109029949840533	0.117688963686895	0.406661252080808	sfabyfa	Ratio of saturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	Saturated fatty acids (%)	yes	sfafa	SFA/FA	SFAbyFA	Ratio of saturated fatty acids to total fatty acids
Lu BF EU sex combined 5 SNPs	2Fdhzu	M-HDL-TG.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	-1.23149806581893	1.48249986616224	0.467080917763679	mhdltg	Triglycerides in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Triglycerides (mmol/l)	no	mhdltg	M-HDL-TG	M-HDL-TG	Triglycerides in medium HDL
Lu BF EU sex combined 5 SNPs	2Fdhzu	M-HDL-TG.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	0.146216043438695	0.112684910102801	0.19443670904695	mhdltg	Triglycerides in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Triglycerides (mmol/l)	no	mhdltg	M-HDL-TG	M-HDL-TG	Triglycerides in medium HDL
Lu BF EU sex combined 5 SNPs	2Fdhzu	M-HDL-TG.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	-0.173270222918954	0.304303792938991	0.569085512323989	mhdltg	Triglycerides in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Triglycerides (mmol/l)	no	mhdltg	M-HDL-TG	M-HDL-TG	Triglycerides in medium HDL
Lu BF EU sex combined 5 SNPs	2Fdhzu	M-HDL-TG.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	0.141427214908212	0.117955309912527	0.296702838774422	mhdltg	Triglycerides in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Triglycerides (mmol/l)	no	mhdltg	M-HDL-TG	M-HDL-TG	Triglycerides in medium HDL
Lu BF EU sex combined 5 SNPs	2ixMgY	L-HDL-FC.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	1.0151441873248	1.91959241402296	0.633549786492195	lhdlfc	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Free cholesterol (mmol/l)	no	lhdlfc	L-HDL-FC	L-HDL-FC	Free cholesterol in large HDL
Lu BF EU sex combined 5 SNPs	2ixMgY	L-HDL-FC.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	-0.256671189359133	0.127099706897871	0.0434407254974014	lhdlfc	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Free cholesterol (mmol/l)	no	lhdlfc	L-HDL-FC	L-HDL-FC	Free cholesterol in large HDL
Lu BF EU sex combined 5 SNPs	2ixMgY	L-HDL-FC.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	0.110533832210835	0.376853141371461	0.769287163137267	lhdlfc	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Free cholesterol (mmol/l)	no	lhdlfc	L-HDL-FC	L-HDL-FC	Free cholesterol in large HDL
Lu BF EU sex combined 5 SNPs	2ixMgY	L-HDL-FC.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	-0.275541671237075	0.129091893947643	0.099706459444001	lhdlfc	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Free cholesterol (mmol/l)	no	lhdlfc	L-HDL-FC	L-HDL-FC	Free cholesterol in large HDL
Lu BF EU sex combined 5 SNPs	2jBlFJ	S-VLDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	-0.293982682918797	0.390294870068037	0.506031922320231	svldlfcpct	Free cholesterol in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	Free cholesterol to total lipid ratio (%)	yes	svldlfc_	S-VLDL-FC_%	S-VLDL-FC_percent	Free cholesterol to total lipids ratio in small VLDL
Lu BF EU sex combined 5 SNPs	2jBlFJ	S-VLDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	-0.139837141503294	0.104888555552324	0.182467057540694	svldlfcpct	Free cholesterol in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	Free cholesterol to total lipid ratio (%)	yes	svldlfc_	S-VLDL-FC_%	S-VLDL-FC_percent	Free cholesterol to total lipids ratio in small VLDL
Lu BF EU sex combined 5 SNPs	2jBlFJ	S-VLDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	-0.143206826384515	0.0509059783522365	0.00490567422028336	svldlfcpct	Free cholesterol in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	Free cholesterol to total lipid ratio (%)	yes	svldlfc_	S-VLDL-FC_%	S-VLDL-FC_percent	Free cholesterol to total lipids ratio in small VLDL
Lu BF EU sex combined 5 SNPs	2jBlFJ	S-VLDL-FC_percent.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	-0.0520716530891665	0.130086644654286	0.709403903846776	svldlfcpct	Free cholesterol in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	Free cholesterol to total lipid ratio (%)	yes	svldlfc_	S-VLDL-FC_%	S-VLDL-FC_percent	Free cholesterol to total lipids ratio in small VLDL
Lu BF EU sex combined 5 SNPs	2Uacrz	S-LDL-C.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	-4.43757990897902	3.93713111373096	0.341706227811953	sldlc	Total cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total cholesterol (mmol/l)	no	sldlc	S-LDL-C	S-LDL-C	Total cholesterol in small LDL
Lu BF EU sex combined 5 SNPs	2Uacrz	S-LDL-C.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	0.0315182139454433	0.113143916793388	0.780576784764592	sldlc	Total cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total cholesterol (mmol/l)	no	sldlc	S-LDL-C	S-LDL-C	Total cholesterol in small LDL
Lu BF EU sex combined 5 SNPs	2Uacrz	S-LDL-C.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	-0.903895137404638	0.842973472466404	0.283598792239182	sldlc	Total cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total cholesterol (mmol/l)	no	sldlc	S-LDL-C	S-LDL-C	Total cholesterol in small LDL
Lu BF EU sex combined 5 SNPs	2Uacrz	S-LDL-C.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	0.0393486230491655	0.118482293124205	0.756483239101014	sldlc	Total cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total cholesterol (mmol/l)	no	sldlc	S-LDL-C	S-LDL-C	Total cholesterol in small LDL
Lu BF EU sex combined 5 SNPs	3YMi9B	S-VLDL-P.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	1.45806385771782	2.57185242802689	0.610407410378415	svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	no	svldlp	S-VLDL-P	S-VLDL-P	Concentration of small VLDL particles
Lu BF EU sex combined 5 SNPs	3YMi9B	S-VLDL-P.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	-0.42535961291675	0.121596174194617	0.000468527086700506	svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	no	svldlp	S-VLDL-P	S-VLDL-P	Concentration of small VLDL particles
Lu BF EU sex combined 5 SNPs	3YMi9B	S-VLDL-P.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	0.221910822212412	0.505624301332086	0.6607450083464	svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	no	svldlp	S-VLDL-P	S-VLDL-P	Concentration of small VLDL particles
Lu BF EU sex combined 5 SNPs	3YMi9B	S-VLDL-P.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	-0.451844829571824	0.11771699820261	0.0184848144460362	svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	no	svldlp	S-VLDL-P	S-VLDL-P	Concentration of small VLDL particles
Lu BF EU sex combined 5 SNPs	4BfnMp	IDL-C.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	-1.40032939785999	1.27164219193007	0.351236421662797	idlc	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total cholesterol (mmol/l)	no	idlc	IDL-C	IDL-C	Total cholesterol in IDL
Lu BF EU sex combined 5 SNPs	4BfnMp	IDL-C.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	0.128433525696827	0.112425884844099	0.253294462366452	idlc	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total cholesterol (mmol/l)	no	idlc	IDL-C	IDL-C	Total cholesterol in IDL
Lu BF EU sex combined 5 SNPs	4BfnMp	IDL-C.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	-0.118936204675708	0.279963284515	0.670962162329159	idlc	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total cholesterol (mmol/l)	no	idlc	IDL-C	IDL-C	Total cholesterol in IDL
Lu BF EU sex combined 5 SNPs	4BfnMp	IDL-C.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	0.157865978439098	0.116568433960077	0.247099208682797	idlc	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total cholesterol (mmol/l)	no	idlc	IDL-C	IDL-C	Total cholesterol in IDL
Lu BF EU sex combined 5 SNPs	4RYbaz	S-HDL-P.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	3.78827876903606	3.43972646038278	0.351186562349264	shdlp	Concentration of small HDL particles (mol/l)	Lipoprotein subclasses	Small HDL	Particle concentration (mol/l)	no	shdlp	S-HDL-P	S-HDL-P	Concentration of small HDL particles
Lu BF EU sex combined 5 SNPs	4RYbaz	S-HDL-P.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	-0.0777200166201721	0.109877158521974	0.479357999440046	shdlp	Concentration of small HDL particles (mol/l)	Lipoprotein subclasses	Small HDL	Particle concentration (mol/l)	no	shdlp	S-HDL-P	S-HDL-P	Concentration of small HDL particles
Lu BF EU sex combined 5 SNPs	4RYbaz	S-HDL-P.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	0.735197994933037	0.734723464714259	0.316998049239717	shdlp	Concentration of small HDL particles (mol/l)	Lipoprotein subclasses	Small HDL	Particle concentration (mol/l)	no	shdlp	S-HDL-P	S-HDL-P	Concentration of small HDL particles
Lu BF EU sex combined 5 SNPs	4RYbaz	S-HDL-P.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	-0.0947669281472016	0.110666278442349	0.440083515337982	shdlp	Concentration of small HDL particles (mol/l)	Lipoprotein subclasses	Small HDL	Particle concentration (mol/l)	no	shdlp	S-HDL-P	S-HDL-P	Concentration of small HDL particles
Lu BF EU sex combined 5 SNPs	4Ve706	L-LDL-PL.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	4.40684276916308	4.48225064187678	0.398017426590237	lldlpl	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Phospholipids (mmol/l)	no	lldlpl	L-LDL-PL	L-LDL-PL	Phospholipids in large LDL
Lu BF EU sex combined 5 SNPs	4Ve706	L-LDL-PL.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	-0.0814594845086762	0.111668021504531	0.465708665933196	lldlpl	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Phospholipids (mmol/l)	no	lldlpl	L-LDL-PL	L-LDL-PL	Phospholipids in large LDL
Lu BF EU sex combined 5 SNPs	4Ve706	L-LDL-PL.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	0.951703548682875	0.931592181232699	0.306975860593029	lldlpl	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Phospholipids (mmol/l)	no	lldlpl	L-LDL-PL	L-LDL-PL	Phospholipids in large LDL
Lu BF EU sex combined 5 SNPs	4Ve706	L-LDL-PL.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	-0.152492028963801	0.114788426155422	0.254749376356737	lldlpl	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Phospholipids (mmol/l)	no	lldlpl	L-LDL-PL	L-LDL-PL	Phospholipids in large LDL
Lu BF EU sex combined 5 SNPs	4ZYstD	ApoBbyApoA1.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	-3.67549624367074	3.77181536072298	0.4016968798823	apobbyapoa1	Ratio of apolipoprotein B to apolipoprotein A-I	Apolipoproteins	Apolipoproteins	Apolipoprotein B/A-I (g/l)	no	apobapoa1	ApoB/ApoA1	ApoBbyApoA1	Ratio of apolipoprotein B to apolipoprotein A-I
Lu BF EU sex combined 5 SNPs	4ZYstD	ApoBbyApoA1.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	0.266660232578481	0.112297590618595	0.0175686658631494	apobbyapoa1	Ratio of apolipoprotein B to apolipoprotein A-I	Apolipoproteins	Apolipoproteins	Apolipoprotein B/A-I (g/l)	no	apobapoa1	ApoB/ApoA1	ApoBbyApoA1	Ratio of apolipoprotein B to apolipoprotein A-I
Lu BF EU sex combined 5 SNPs	4ZYstD	ApoBbyApoA1.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	-0.646547401236851	0.789611613573038	0.412890838451778	apobbyapoa1	Ratio of apolipoprotein B to apolipoprotein A-I	Apolipoproteins	Apolipoproteins	Apolipoprotein B/A-I (g/l)	no	apobapoa1	ApoB/ApoA1	ApoBbyApoA1	Ratio of apolipoprotein B to apolipoprotein A-I
Lu BF EU sex combined 5 SNPs	4ZYstD	ApoBbyApoA1.txt	Lu BF EU sex combined 5 SNPs	Weighted mode	5	0.271320059891301	0.115041928232321	0.0777947815479832	apobbyapoa1	Ratio of apolipoprotein B to apolipoprotein A-I	Apolipoproteins	Apolipoproteins	Apolipoprotein B/A-I (g/l)	no	apobapoa1	ApoB/ApoA1	ApoBbyApoA1	Ratio of apolipoprotein B to apolipoprotein A-I
Lu BF EU sex combined 5 SNPs	5JHAer	S-HDL-C_percent.txt	Lu BF EU sex combined 5 SNPs	MR Egger	5	-3.23017068207253	2.68634487058616	0.315444053661203	shdlcpct	Total cholesterol in small HDL to total lipids in small HDL ratio (%)	Lipoprotein subclasses ratios	Small HDL ratios	Total cholesterol to total lipid ratio (%)	yes	shdlc_	S-HDL-C_%	S-HDL-C_percent	Total cholesterol to total lipids ratio in small HDL
Lu BF EU sex combined 5 SNPs	5JHAer	S-HDL-C_percent.txt	Lu BF EU sex combined 5 SNPs	Weighted median	5	0.0101527400569075	0.112155836756165	0.9278712120374	shdlcpct	Total cholesterol in small HDL to total lipids in small HDL ratio (%)	Lipoprotein subclasses ratios	Small HDL ratios	Total cholesterol to total lipid ratio (%)	yes	shdlc_	S-HDL-C_%	S-HDL-C_percent	Total cholesterol to total lipids ratio in small HDL
Lu BF EU sex combined 5 SNPs	5JHAer	S-HDL-C_percent.txt	Lu BF EU sex combined 5 SNPs	Inverse variance weighted (multiplicative random effects)	5	-0.629295690955053	0.585452484711775	0.282424997092853	shdlcpct	Total cholesterol in small HDL to total lipids in small HDL ratio (%)	Lipoprotein subclasses ratios	Small HDL ratios	Total cholesterol to total lipid ratio (%)	yes	shdlc_	S-HDL-C_%	S-HDL-C_percent	Total cholesterol to total lipids ratio in small HDL
