metabolite	raw.label	class	subclass	derived_features	study
mhdlc	Total cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	no	Both
mhdlce	Cholesterol esters in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	no	Both
mhdlfc	Free cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	no	Both
mhdll	Total lipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	no	Both
mhdlp	Concentration of medium HDL particles (mol/l)	Lipoprotein subclasses	Medium HDL	no	Both
mhdlpl	Phospholipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	no	Both
mldlc	Total cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	no	Both
mldlce	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	no	Both
mldll	Total lipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	no	Both
mldlp	Concentration of medium LDL particles (mol/l)	Lipoprotein subclasses	Medium LDL	no	Both
mldlpl	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	no	Both
mufa	Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)	Fatty acids	Fatty acids	no	Both
mvldlc	Total cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	no	Both
mvldlce	Cholesterol esters in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	no	Both
mvldlfc	Free cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	no	Both
mvldll	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	no	Both
mvldlp	Concentration of medium VLDL particles (mol/l)	Lipoprotein subclasses	Medium VLDL	no	Both
mvldlpl	Phospholipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	no	Both
mvldltg	Triglycerides in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	no	Both
pc	Phosphatidylcholine and other cholines (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no	Both
phe	Phenylalanine (mmol/l)	Amino acids	Aromatic amino acids	no	Both
pyr	Pyruvate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	no	Both
serumc	Serum total cholesterol (mmol/l)	Cholesterol	Cholesterol	no	Both
serumtg	Serum total triglycerides (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no	Both
shdll	Total lipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	no	Both
shdlp	Concentration of small HDL particles (mol/l)	Lipoprotein subclasses	Small HDL	no	Both
shdltg	Triglycerides in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	no	Both
sldlc	Total cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	no	Both
sldll	Total lipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	no	Both
sldlp	Concentration of small LDL particles (mol/l)	Lipoprotein subclasses	Small LDL	no	Both
sm	Sphingomyelins (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no	Both
svldlc	Total cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	no	Both
svldlfc	Free cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	no	Both
svldll	Total lipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	no	Both
svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	no	Both
svldlpl	Phospholipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	no	Both
svldltg	Triglycerides in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	no	Both
totfa	Total fatty acids (mmol/l)	Fatty acids	Fatty acids	no	Both
totpg	Total phosphoglycerides (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no	Both
tyr	Tyrosine (mmol/l)	Amino acids	Aromatic amino acids	no	Both
val	Valine (mmol/l)	Amino acids	Branched-chain amino acids	no	Both
vldld	Mean diameter for VLDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	no	Both
xlhdlc	Total cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	no	Both
xlhdlce	Cholesterol esters in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	no	Both
xlhdlfc	Free cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	no	Both
xlhdll	Total lipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	no	Both
xlhdlp	Concentration of very large HDL particles (mol/l)	Lipoprotein subclasses	Very large HDL	no	Both
xlhdlpl	Phospholipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	no	Both
xlhdltg	Triglycerides in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	no	Both
xlvldll	Total lipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	no	Both
xlvldlp	Concentration of very large VLDL particles (mol/l)	Lipoprotein subclasses	Very large VLDL	no	Both
xlvldlpl	Phospholipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	no	Both
xlvldltg	Triglycerides in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	no	Both
xsvldll	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	no	Both
xsvldlp	Concentration of very small VLDL particles (mol/l)	Lipoprotein subclasses	Very Small VLDL	no	Both
xsvldlpl	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	no	Both
xsvldltg	Triglycerides in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	no	Both
xxlvldll	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	no	Both
xxlvldlp	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	Lipoprotein subclasses	Extremely large VLDL	no	Both
xxlvldlpl	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	no	Both
xxlvldltg	Triglycerides in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	no	Both
NA	Average number of double bonds in a fatty acid chain	Fatty acids	Fatty acids	NA	Kettunen
NA	Average number of methylene groups in a fatty acid chain	Fatty acids	Fatty acids	NA	Kettunen
NA	Average number of methylene groups per double bond	Metabolites ratio	Metabolites ratio	NA	Kettunen
NA	Glycoproteins	Protein	Protein	NA	Kettunen
NA	Omega-7, omega-9 and saturated fatty acids	Fatty acids	Fatty acids	NA	Kettunen
NA	Other polyunsaturated fatty acids than 18:2	Fatty acids	Fatty acids	NA	Kettunen
NA	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio	NA	Kettunen
NA	Ratio of bisallylic groups to total fatty acids	Fatty acids	Fatty acids	NA	Kettunen
NA	Urea	Amino acids	Amino acids	NA	Kettunen
apobapoa1	Ratio of apolipoprotein B to apolipoprotein A-I	Apolipoproteins	Apolipoproteins	no	INTERVAL
cla	Conjugated linoleic acid (mmol/l)	Fatty acids	Fatty acids	no	INTERVAL
clafa	Ratio of conjugated linoleic acid to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes	INTERVAL
dag	Diacylglycerol (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no	INTERVAL
dagtg	Ratio of diacylglycerol to triglycerides (%)	Glycerides and phospholipids ratios	Glycerides and phospholipids ratios	yes	INTERVAL
dhafa	Ratio of 22:6 docosahexaenoic acid to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes	INTERVAL
faw3fa	Ratio of omega-3 fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes	INTERVAL
faw6fa	Ratio of omega-6 fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes	INTERVAL
gly	Glycine  (mmol/l)	Amino acids	Amino acids	no	INTERVAL
hdl2c	Total cholesterol in HDL2 (mmol/l)	Cholesterol	Cholesterol	no	INTERVAL
hdl3c	Total cholesterol in HDL3 (mmol/l)	Cholesterol	Cholesterol	no	INTERVAL
hdltg	Triglycerides in HDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no	INTERVAL
idlce	Cholesterol esters in IDL (mmol/l)	Lipoprotein subclasses	IDL	no	INTERVAL
idlcepct	Cholesterol esters in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	yes	INTERVAL
idlcpct	Total cholesterol in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	yes	INTERVAL
idlfcpct	Free cholesterol in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	yes	INTERVAL
idlplpct	Phospholipids in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	yes	INTERVAL
idltgpct	Triglycerides in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	yes	INTERVAL
lafa	Ratio of 18:2 linoleic acid to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes	INTERVAL
ldltg	Triglycerides in LDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no	INTERVAL
lhdlcepct	Cholesterol esters in large HDL to total lipids in large HDL ratio (%)	Lipoprotein subclasses ratios	Large HDL ratios	yes	INTERVAL
lhdlcpct	Total cholesterol in large HDL to total lipids in large HDL ratio (%)	Lipoprotein subclasses ratios	Large HDL ratios	yes	INTERVAL
lhdlfcpct	Free cholesterol in large HDL to total lipids in large HDL ratio (%)	Lipoprotein subclasses ratios	Large HDL ratios	yes	INTERVAL
lhdlplpct	Phospholipids in large HDL to total lipids in large HDL ratio (%)	Lipoprotein subclasses ratios	Large HDL ratios	yes	INTERVAL
lhdltg	Triglycerides in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	no	INTERVAL
lhdltgpct	Triglycerides in large HDL to total lipids in large HDL ratio (%)	Lipoprotein subclasses ratios	Large HDL ratios	yes	INTERVAL
lldlcepct	Cholesterol esters in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	yes	INTERVAL
lldlcpct	Total cholesterol in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	yes	INTERVAL
lldlfcpct	Free cholesterol in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	yes	INTERVAL
lldlplpct	Phospholipids in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	yes	INTERVAL
lldltg	Triglycerides in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	no	INTERVAL
lldltgpct	Triglycerides in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	yes	INTERVAL
lvldlcepct	Cholesterol esters in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	yes	INTERVAL
lvldlcpct	Total cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	yes	INTERVAL
lvldlfcpct	Free cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	yes	INTERVAL
lvldlplpct	Phospholipids in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	yes	INTERVAL
lvldltgpct	Triglycerides in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	yes	INTERVAL
mhdlcepct	Cholesterol esters in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	yes	INTERVAL
mhdlcpct	Total cholesterol in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	yes	INTERVAL
mhdlfcpct	Free cholesterol in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	yes	INTERVAL
mhdlplpct	Phospholipids in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	yes	INTERVAL
mhdltg	Triglycerides in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	no	INTERVAL
mhdltgpct	Triglycerides in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	yes	INTERVAL
mldlcepct	Cholesterol esters in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	yes	INTERVAL
mldlcpct	Total cholesterol in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	yes	INTERVAL
mldlfc	Free cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	no	INTERVAL
mldlfcpct	Free cholesterol in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	yes	INTERVAL
mldlplpct	Phospholipids in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	yes	INTERVAL
mldltg	Triglycerides in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	no	INTERVAL
mldltgpct	Triglycerides in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	yes	INTERVAL
mufafa	Ratio of monounsaturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes	INTERVAL
mvldlcepct	Cholesterol esters in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	yes	INTERVAL
mvldlcpct	Total cholesterol in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	yes	INTERVAL
mvldlfcpct	Free cholesterol in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	yes	INTERVAL
mvldlplpct	Phospholipids in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	yes	INTERVAL
mvldltgpct	Triglycerides in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	yes	INTERVAL
pufa	Polyunsaturated fatty acids (mmol/l)	Fatty acids	Fatty acids	no	INTERVAL
pufafa	Ratio of polyunsaturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes	INTERVAL
remnantc	Remnant cholesterol (non-HDL, non-LDL -cholesterol) (mmol/l)	Cholesterol	Cholesterol	no	INTERVAL
sfa	Saturated fatty acids (mmol/l)	Fatty acids	Fatty acids	no	INTERVAL
sfafa	Ratio of saturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes	INTERVAL
shdlc	Total cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	no	INTERVAL
shdlce	Cholesterol esters in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	no	INTERVAL
shdlcepct	Cholesterol esters in small HDL to total lipids in small HDL ratio (%)	Lipoprotein subclasses ratios	Small HDL ratios	yes	INTERVAL
shdlcpct	Total cholesterol in small HDL to total lipids in small HDL ratio (%)	Lipoprotein subclasses ratios	Small HDL ratios	yes	INTERVAL
shdlfc	Free cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	no	INTERVAL
shdlfcpct	Free cholesterol in small HDL to total lipids in small HDL ratio (%)	Lipoprotein subclasses ratios	Small HDL ratios	yes	INTERVAL
shdlpl	Phospholipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	no	INTERVAL
shdlplpct	Phospholipids in small HDL to total lipids in small HDL ratio (%)	Lipoprotein subclasses ratios	Small HDL ratios	yes	INTERVAL
shdltgpct	Triglycerides in small HDL to total lipids in small HDL ratio (%)	Lipoprotein subclasses ratios	Small HDL ratios	yes	INTERVAL
sldlce	Cholesterol esters in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	no	INTERVAL
sldlcepct	Cholesterol esters in small LDL to total lipids in small LDL ratio (%)	Lipoprotein subclasses ratios	Small LDL ratios	yes	INTERVAL
sldlcpct	Total cholesterol in small LDL to total lipids in small LDL ratio (%)	Lipoprotein subclasses ratios	Small LDL ratios	yes	INTERVAL
sldlfc	Free cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	no	INTERVAL
sldlfcpct	Free cholesterol in small LDL to total lipids in small LDL ratio (%)	Lipoprotein subclasses ratios	Small LDL ratios	yes	INTERVAL
sldlpl	Phospholipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	no	INTERVAL
sldlplpct	Phospholipids in small LDL to total lipids in small LDL ratio (%)	Lipoprotein subclasses ratios	Small LDL ratios	yes	INTERVAL
sldltg	Triglycerides in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	no	INTERVAL
sldltgpct	Triglycerides in small LDL to total lipids in small LDL ratio (%)	Lipoprotein subclasses ratios	Small LDL ratios	yes	INTERVAL
svldlce	Cholesterol esters in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	no	INTERVAL
svldlcepct	Cholesterol esters in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	yes	INTERVAL
svldlcpct	Total cholesterol in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	yes	INTERVAL
svldlfcpct	Free cholesterol in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	yes	INTERVAL
svldlplpct	Phospholipids in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	yes	INTERVAL
svldltgpct	Triglycerides in small VLDL  to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	yes	INTERVAL
tgpg	Ratio of triglycerides to phosphoglycerides ratio (%)	Glycerides and phospholipids ratios	Glycerides and phospholipids ratios	yes	INTERVAL
totcho	Total cholines (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no	INTERVAL
unsat	Estimated degree of unsaturation	Fatty acids	Fatty acids	no	INTERVAL
vldlc	Total cholesterol in VLDL (mmol/l)	Cholesterol	Cholesterol	no	INTERVAL
vldltg	Triglycerides in VLDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no	INTERVAL
xlhdlcepct	Cholesterol esters in very large HDL to total lipids in very large HDL ratio (%)	Lipoprotein subclasses ratios	Very large HDL ratios	yes	INTERVAL
xlhdlcpct	Total cholesterol in very large HDL to total lipids in very large HDL ratio (%)	Lipoprotein subclasses ratios	Very large HDL ratios	yes	INTERVAL
xlhdlfcpct	Free cholesterol in very large HDL to total lipids in very large HDL ratio (%)	Lipoprotein subclasses ratios	Very large HDL ratios	yes	INTERVAL
xlhdlplpct	Phospholipids in very large HDL to total lipids in very large HDL ratio (%)	Lipoprotein subclasses ratios	Very large HDL ratios	yes	INTERVAL
xlhdltgpct	Triglycerides in very large HDL to total lipids in very large HDL ratio (%)	Lipoprotein subclasses ratios	Very large HDL ratios	yes	INTERVAL
xlvldlc	Total cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	no	INTERVAL
xlvldlce	Cholesterol esters in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	no	INTERVAL
xlvldlcepct	Cholesterol esters in very large VLDL to total lipids in very large VLDL ratio (%)	Lipoprotein subclasses ratios	Very large VLDL ratios	yes	INTERVAL
xlvldlcpct	Total cholesterol in very large VLDL to total lipids in very large VLDL ratio (%)	Lipoprotein subclasses ratios	Very large VLDL ratios	yes	INTERVAL
xlvldlfc	Free cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	no	INTERVAL
xlvldlfcpct	Free cholesterol in very large VLDL to total lipids in very large VLDL ratio (%)	Lipoprotein subclasses ratios	Very large VLDL ratios	yes	INTERVAL
xlvldlplpct	Phospholipids in very large VLDL to total lipids in very large VLDL ratio (%)	Lipoprotein subclasses ratios	Very large VLDL ratios	yes	INTERVAL
xlvldltgpct	Triglycerides in very large VLDL to total lipids in very large VLDL ratio (%)	Lipoprotein subclasses ratios	Very large VLDL ratios	yes	INTERVAL
xsvldlc	Total cholesterol in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	no	INTERVAL
xsvldlce	Cholesterol esters in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	no	INTERVAL
xsvldlcepct	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	yes	INTERVAL
xsvldlcpct	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	yes	INTERVAL
xsvldlfc	Free cholesterol in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	no	INTERVAL
xsvldlfcpct	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	yes	INTERVAL
xsvldlplpct	Phospholipids in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	yes	INTERVAL
xsvldltgpct	Triglycerides in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	yes	INTERVAL
xxlvldlc	Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	no	INTERVAL
xxlvldlce	Cholesterol esters in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	no	INTERVAL
xxlvldlcepct	Cholesterol esters in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	yes	INTERVAL
xxlvldlcpct	Total cholesterol in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	yes	INTERVAL
xxlvldlfc	Free cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	no	INTERVAL
xxlvldlfcpct	Free cholesterol in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	yes	INTERVAL
xxlvldlplpct	Phospholipids in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	yes	INTERVAL
xxlvldltgpct	Triglycerides in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	yes	INTERVAL
