Source	Source_category	name2	Intermediate	Intermediate_category	name4	Target	Target_category	mean_cp	mean_odds	uniq_a	uniq_b	shared	score	treeLevel
Body mass index 	clna	PREDISPOSES	Coronary Arteriosclerosis 	dsyn	PREDISPOSES	CARDIAC EVENT 	dsyn	2.63e-08	51.54	8	15	0	12.27	21
Body mass index 	clna	PREDISPOSES	Non-alcoholic fatty liver 	dsyn	PREDISPOSES	Cardiovascular Diseases 	dsyn	2.79e-10	61.89	27	23	0	42.59	21
Body mass index 	clna	PREDISPOSES	Pancreatic carcinoma 	neop	PROCESS_OF	cohort 	humn	1.73e-16	58.65	11	28	1	15.32	1
Body mass index procedure 	diap	ISA	Intervention regimes 	hlca	TREATS	Atrial Fibrillation 	patf	5.57e-07	65.51	5	21	0	6.19	4
Body mass index 	clna	PREDISPOSES	Pneumonia 	dsyn	CAUSES	Cessation of life 	orgf	9.05e-14	82.89	9	331	0	9.24	11
Body mass index procedure 	diap	ISA	Diagnosis 	hlca	TREATS	Caucasoid Race 	popg	3.81e-09	71.28	73	19	0	23.95	4
Body mass index 	clna	PREDISPOSES	Malnutrition 	dsyn	PROCESS_OF	Critically ill children 	podg	3.47e-06	76.33	28	8	0	10.29	1
Body mass index procedure 	diap	ADMINISTERED_TO	Participant 	humn	USES	Medicare 	rnlw	4.02e-06	80.3	4	18	0	4.89	6
Body mass index 	clna	PREDISPOSES	Atherosclerosis 	dsyn	PREDISPOSES	Cardiovascular Diseases 	dsyn	1.71e-11	72.1	19	25	0	33.44	21
Body mass index procedure 	diap	DIAGNOSES	Systemic arterial pressure 	fndg	PREDISPOSES	Cardiovascular morbidity 	dsyn	4.23e-17	52.7	34	23	0	38.56	18
Body mass index procedure 	diap	USES	Calcium 	bacs	ASSOCIATED_WITH	Cardiovascular Diseases 	dsyn	5.28e-07	71.29	6	11	0	9.27	6
Body mass index 	clna	PREDISPOSES	Myocardial Infarction 	dsyn	ISA	Heart Diseases 	dsyn	9.71e-07	55.84	12	20	0	19.2	5
Body mass index procedure 	diap	DIAGNOSES	Chronic Obstructive Airway Disease 	dsyn	PROCESS_OF	cohort 	humn	1.84e-08	68.39	31	20	0	32.9	1
Body mass index procedure 	diap	ISA	Assessment procedure 	hlca	TREATS	Survivors 	humn	1.59e-15	67.33	16	34	0	23.53	4
