name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score
Buffers (bacs),1.01e-65,0.1,19,101,0,22.57
Jumping (dora),9.06e-08,2.39,36,6,0,7.0
Etanercept|EDNRA (aapp),8.66e-19,69.39,12,37,1,15.89
Acetaldehyde (orch),1.96e-13,0.09,4,17,0,4.94
Biological Assay (lbpr),1.32e-11,1.17,7,420,0,7.12
Tobacco use (fndg),9.26e-08,4.09,17,58,3,21.98
Clusterin|CLU (aapp),9.95e-08,0.2,3,31,0,3.29
Local Anesthetics (phsu),3.63e-15,0.18,9,54,0,10.5
Uterus (bpoc),1.47e-48,0.45,199,1031,15,237.41
sexual dimorphism (ortf),1.41e-06,1.49,52,45,2,83.94
Entire radius (bpoc),1.01e-34,1.31,253,67,1,84.74
Brain Abscess (dsyn),2.39e-09,1.29,1,271,0,1.0
Health education - diet (topp),6.98e-08,8.95,130,67,9,101.53
Point Mutation (genf),5.83e-21,0.28,8,137,0,8.47
Gastric Emptying (ortf),2.42e-09,1.16,117,122,5,229.2
Urge Incontinence (sosy),8.49e-09,1.6,40,9,0,11.03
Pseudotumor Cerebri (dsyn),3.01e-28,2.25,121,17,2,19.39
hypertensive medication (phsu),7.09e-08,13.49,12,15,2,21.6
Chromatography (lbpr),4.31e-44,0.06,10,30,0,13.33
"Protein Processing, Post-Translational (moft)",1.31e-08,0.17,1,30,0,1.03
Right ventricular structure (bpoc),9.66e-15,0.97,42,830,7,44.13
Radioactivity (npop),2.96e-07,0.06,1,5,0,1.2
Cytochromes c' (aapp),4.34e-26,0.08,2,37,1,2.11
Defensins (aapp),3.79e-08,0.15,1,23,0,1.04
Brain Neoplasms (neop),1.02e-19,0.79,23,834,2,23.63
"3,4-Dihydroxyphenylacetic Acid (bacs)",1.34e-12,0.04,2,5,0,2.8
Nerve Regeneration (celf),3.27e-06,0.08,2,5,0,2.8
Dyslipidemias (dsyn),1.95e-185,7.59,1519,1247,141,2270.71
Hydroxyl Radical (inch),7.04e-17,0.09,2,26,0,2.15
Adrenergic beta-Antagonists (phsu),2.29e-07,1.87,112,2824,34,116.44
hindbrain (bpoc),5.86e-07,0.22,3,30,2,3.3
Latex (orch),1.66e-07,0.22,6,33,0,7.09
Creatinine (bacs),1.32e-123,3.52,356,1180,75,463.4
Gonadal Steroid Hormones (horm),1.51e-11,2.35,243,143,15,227.15
Retinitis Pigmentosa (dsyn),8.49e-14,0.09,6,13,0,8.77
Electroconvulsive Therapy (topp),6.89e-14,0.31,18,116,0,20.79
"PTH protein, human|PTH (horm)",4.63e-18,1.18,259,336,14,458.65
"Kidney Tubules, Proximal (bpoc)",5.23e-45,0.15,10,133,0,10.75
pregnane X receptor (aapp),2.19e-07,0.08,2,7,0,2.57
Running (dora),6.46e-13,2.64,119,34,3,43.71
Prostaglandins E (eico),7.64e-12,0.2,11,45,0,13.69
DNA Repair (genf),3.67e-10,0.44,17,241,0,18.2
Adrenal Medulla (bpoc),3.06e-18,0.09,3,27,0,3.33
Data Collection (resa),1.85e-08,2.48,70,438,8,81.19
Carcinoma (neop),3.04e-29,0.66,87,4749,31,88.59
Cystic Fibrosis (dsyn),1.52e-13,1.1,531,1459,89,724.26
Neuraminidase (aapp),6.03e-33,0.17,1,110,0,1.01
Nonagenarians (aggp),3.27e-06,6.49,11,222,10,11.55
Xenograft Model (emod),4.15e-11,0.75,3,382,0,3.02
Adrenoleukodystrophy (dsyn),6.23e-07,0.31,3,50,0,3.18
Bone Marrow (bpoc),4.74e-40,0.47,117,1968,3,123.96
Transcranial magnetic stimulation (topp),6.13e-07,0.13,5,10,0,7.5
Dimethyl Sulfoxide (orch),1.43e-42,0.09,1,74,0,1.01
Acute otitis media (dsyn),1.71e-17,0.13,2,45,0,2.09
Sexual function (orgf),7.05e-26,2.09,163,53,1,70.23
Argipressin|AVP (aapp),2.18e-23,0.37,22,252,1,23.92
Regulatory Element (nusq),9.7e-14,0.09,4,18,0,4.89
Stem cells (cell),9.37e-85,0.32,30,1053,2,30.85
Skeletal bone (bpoc),1.21e-09,0.45,63,214,3,81.55
Thrombolytic Therapy (topp),2.8e-13,1.66,26,1183,5,26.57
Bacterial Infections (dsyn),1.22e-29,1.39,23,1478,3,23.36
Cytoskeleton (celc),2.15e-42,0.11,5,88,0,5.28
Epidermal growth factor receptor inhibitor (phsu),4.11e-20,1.39,2,629,0,2.01
Graft acceptance (phsf),1.11e-12,1.62,4,553,0,4.03
Native Americans (humn),1.85e-17,3.72,56,122,7,81.7
Hyperinsulinism (dsyn),9.21e-23,4.31,644,150,26,184.94
Ultrasonography of abdomen (diap),2.6e-11,3.5,34,88,0,47.14
Caucasoid Race (popg),2.18e-125,3.77,1699,2182,154,3021.92
Macular retinal edema (dsyn),3.3e-10,0.08,4,8,0,6.0
Antibiotics (antb),1.22e-120,1.11,220,6600,34,227.33
infliximab|CA2 (phsu),3.99e-58,817.31,26,57,3,37.86
Busulfan (orch),3.48e-08,1.47,5,371,0,5.07
Insulin (aapp),1.1e-196,3.07,3896,1405,122,1911.68
Placental Lactogen (aapp),8.3e-07,0.05,1,3,0,1.33
Dermatitis (dsyn),3.34e-20,0.26,10,122,0,10.82
Eyelid structure (bpoc),2.87e-07,0.28,3,47,0,3.19
Deep Brain Stimulation (topp),2.36e-13,0.27,19,84,1,23.3
Raised intraocular pressure (fndg),5.64e-10,2.08,34,4,0,4.47
Lidocaine (phsu),1.65e-39,0.16,21,114,0,24.87
"Pleural Effusion, Malignant (dsyn)",6.92e-09,1.11,1,257,2,1.0
Sulfhydryl Compounds (orch),5.7e-24,0.18,26,75,0,35.01
Memory impairment (mobd),1.55e-14,0.27,27,97,0,34.52
Quinidine (bacs),2.89e-14,0.07,2,15,0,2.27
Historical Cohort Studies (qnco),6.37e-07,9.68,9,42,1,10.93
Gingiva (bpoc),3.97e-28,0.23,43,141,0,56.11
Cytostatic Agents (phsu),3.81e-38,0.19,1,146,0,1.01
Diazepam (orch),1.19e-41,0.18,5,155,2,5.16
"Macrophages, Alveolar (cell)",2.81e-58,0.17,2,201,0,2.02
TNFRSF6 gene|FAS (gngm),5.78e-08,0.23,2,38,0,2.11
Case-Control Studies (resa),7e-120,6.76,366,527,26,620.19
Alveolar (bpoc),1.21e-08,0.72,30,858,3,31.05
modern society (humn),2.48e-10,3.67,26,71,3,35.52
Pigment (chvf),3.82e-08,0.24,10,40,0,12.5
Physical Examination (hlca),1.25e-27,3.13,334,527,20,545.68
Granular cell tumor (neop),2.94e-07,0.09,1,10,0,1.1
N-Acetylneuraminic Acid (bacs),3.4e-08,0.25,17,41,1,24.05
PARP1|COL11A2 (gngm),1.85e-06,0.35,3,86,0,3.1
second messenger (bacs),8.42e-10,0.13,3,18,1,3.5
Chemoembolisation (topp),8.47e-18,2.33,5,1226,3,5.02
Neuroendocrine Cell (cell),3.8e-08,0.22,1,36,0,1.03
Retina (bpoc),9.04e-233,0.08,88,189,3,128.97
Ependymoma (neop),3.61e-12,0.87,1,231,0,1.0
Tyrosine Phosphorylation (moft),2.39e-18,0.09,4,26,0,4.62
Substance (sbst),1.67e-09,0.34,24,98,2,29.88
Physical assessment (diap),2.6e-10,1.86,113,326,9,152.17
Cell Cycle (celf),2.85e-34,0.34,11,553,3,11.22
Proteome (aapp),1.64e-29,0.28,16,199,0,17.29
L Cells (Cell Line) (cell),1.05e-12,0.07,3,11,0,3.82
Phospholipids (bacs),5.31e-46,0.25,152,199,3,268.1
Protein Kinase C|SPANXC (aapp),2.1e-133,0.04,5,87,0,5.29
E-Cadherin (aapp),1.32e-06,0.64,3,565,1,3.02
Somatostatin analog|GRHL3 (horm),1.39e-11,135.81,7,31,0,8.58
"Antidepressive Agents, Tricyclic (phsu)",5.22e-14,0.33,11,123,1,11.98
Cyanides (inch),2.82e-14,0.11,1,31,0,1.03
Mitral valve replacement NOS (topp),3.69e-06,2.2,2,488,4,2.01
B-Lymphocytes (cell),4.61e-177,0.23,13,858,4,13.2
Paper (mnob),2.14e-18,0.54,69,495,3,78.62
Mercury (elii),7.5e-13,0.3,40,99,1,56.16
Microbubbles (medd),4.07e-06,0.26,1,34,0,1.03
Anovulatory (dsyn),2.68e-14,2.4,52,4,0,4.31
Hematopoietic Stem Cell Transplantation (topp),6.05e-11,3.98,23,2873,11,23.18
Concentric hypertrophy (comd),3.55e-07,5.75,17,28,4,27.32
Carcinoembryonic Antigen (aapp),7.73e-11,0.85,21,480,6,21.92
Scrotum (bpoc),5.53e-07,0.37,16,81,0,19.16
Motor Cortex (bpoc),1.9e-24,0.06,2,24,0,2.17
Asthenia (sosy),6.62e-08,1.77,422,954,39,608.67
Disks (medd),6.56e-14,0.17,9,43,0,10.88
physical health (fndg),2.42e-15,4.02,148,193,19,261.49
Asymptomatic (fndg),1.98e-72,2.32,550,2383,46,676.94
Transgenes (gngm),1.2e-61,0.19,3,233,0,3.04
Prophylactic treatment (topp),5.97e-10,1.92,902,8784,106,994.62
Palate (bpoc),1.07e-13,0.28,33,92,0,44.84
CYP1A2 gene|CYP1A2 (gngm),2.82e-07,0.17,8,18,0,11.56
Homologous Recombination (genf),2.73e-14,0.13,1,38,0,1.03
Neurologic Symptoms (sosy),9.51e-11,1.13,9,413,0,9.2
Folate (orch),3.26e-28,1.63,252,184,13,318.35
Gonadorelin|BRD2 (horm),3.39e-16,38.55,19,21,0,36.19
Microscopy (lbpr),1.22e-19,0.36,11,403,1,11.3
Granuloma (patf),4.13e-15,0.34,7,228,0,7.21
Phosphoric Monoester Hydrolases (aapp),7.12e-41,0.2,4,169,1,4.09
Arginine|GNAI1 (phsu),5.29e-42,206.56,23,59,1,31.97
Autoantigens (imft),2e-13,0.16,4,42,0,4.38
Recombinant Erythropoietin (aapp),2.7e-36,0.28,21,248,4,22.78
Pyrenes (hops),1.25e-11,0.15,6,30,0,7.2
Tissue Kallikrein (aapp),4.73e-06,0.15,1,17,0,1.06
Glycine (phsu),8.06e-35,0.17,33,98,0,44.11
Laser treatment (topp),1.95e-06,0.28,3,41,0,3.22
Mitomycin (antb),6.64e-33,0.27,3,295,0,3.03
Integrins (aapp),3.66e-71,0.13,5,181,0,5.14
Partial nephrectomy NOS (topp),2.59e-38,3.68,110,319,11,147.93
Blind Vision (dsyn),1.12e-07,0.56,55,280,4,65.8
ADRA1D (gngm),6.81e-12,0.18,7,40,0,8.22
Lithotripsy (topp),4.68e-16,1.55,82,19,1,23.4
Tyramine (nsba),2.59e-08,0.03,1,1,0,2.0
Beta-glucuronidase (aapp),5.24e-19,0.07,3,18,0,3.5
MERTK gene|MERTK (gngm),5.96e-07,0.17,1,23,0,1.04
Vesicle (acab),2.12e-157,0.07,13,197,0,13.86
6-Phosphofructokinase (aapp),1.9e-08,0.03,1,1,0,2.0
Zona Glomerulosa (bpoc),6.54e-09,0.05,1,5,0,1.2
Osteoid osteoma (neop),4.36e-07,0.06,1,5,0,1.2
Hernia repair (topp),2.71e-18,4.39,121,167,17,208.67
Ultraviolet Rays (npop),2.04e-17,0.19,4,70,1,4.23
Hypertrophic Cardiomyopathy (dsyn),1.38e-11,0.77,31,807,6,32.19
Octreotide|OXT (aapp),8.17e-20,366.47,10,75,1,11.33
"Phantoms, Imaging (medd)",1.04e-12,0.24,57,31,0,47.86
Germ cell tumor (neop),5.04e-12,0.8,5,355,0,5.07
Genome (gngm),2.26e-80,0.18,19,296,0,20.22
Nicotinic Receptors (aapp),2.2e-43,0.07,1,57,0,1.02
Glucuronosyltransferase (aapp),1.89e-12,0.06,1,11,0,1.09
Improved (qlco),7.69e-08,2.74,31,114,4,39.43
ghrelin (aapp),2.39e-99,3.1,801,127,20,147.14
Cessation of smoking (inbe),1.05e-25,3.64,74,248,11,96.08
Dyes (irda),3.92e-13,0.15,7,32,0,8.53
Cell Transplantation (topp),3.12e-06,3.04,11,1005,3,11.12
Nickel (bacs),6.88e-15,0.16,9,42,0,10.93
Health evaluation (hlca),1.62e-07,4.44,22,41,4,33.8
Protein p53|TP53 (aapp),4.72e-06,0.41,4,201,2,4.08
Spindle (celc),2.64e-09,0.27,4,58,1,4.28
Academic Medical Centers (hcro),5.22e-63,4.15,203,951,20,246.33
Influenza (dsyn),3.24e-37,1.62,36,2624,17,36.49
Superoxides (elii),3.69e-60,0.2,26,259,1,28.61
Diastolic blood pressure (clna),1.94e-14,9.1,695,263,44,362.52
"Resins, Plant (orch)",7.66e-25,0.12,4,54,0,4.3
Surgical approach (spco),5.92e-08,7.15,11,38,2,14.18
Ferritin (aapp),5.67e-35,1.4,392,434,17,746.06
Rubella (dsyn),1.96e-08,0.28,2,52,1,2.08
Neuroblast (cell),4.97e-09,0.23,1,43,0,1.02
arterial stiffness (phsf),1.39e-98,8.72,437,420,61,823.66
Structure of corpus luteum of ovary (bpoc),4.57e-11,0.03,1,4,0,1.25
"Glomerulonephritis, Membranous (dsyn)",8.2e-11,0.26,4,64,0,4.25
Protein-Energy Malnutrition (patf),8.95e-11,3.03,60,131,34,87.48
Esophagojejunostomy (topp),2.64e-08,4.77,10,41,8,12.44
Neural Crest Cell (cell),6.87e-09,0.12,1,21,0,1.05
Vertex presentation (fndg),1.9e-06,5.09,12,38,1,15.79
Thyroglobulin (aapp),3.54e-06,0.36,6,58,0,6.62
Bone Marrow Transplantation (topp),4.15e-32,1.04,7,870,2,7.06
R-38486 (phsu),3.38e-13,0.07,2,15,0,2.27
Structure of thyroid parafollicular cell (cell),1.6e-06,0.14,2,16,0,2.25
Hemoptysis (sosy),5.28e-09,1.53,2,432,4,2.01
Neurofibromatoses (neop),4.19e-08,0.31,3,63,0,3.14
Behcet Syndrome (dsyn),1.06e-09,0.49,23,195,0,25.71
Cerebrovascular Disorders (patf),5.62e-09,2.31,93,810,35,103.68
Osteomyelitis (dsyn),2.51e-38,0.29,10,279,2,10.36
"Malaria, Cerebral (dsyn)",3.16e-08,1.39,3,329,1,3.03
polyphenols (orch),6.71e-07,0.47,27,141,0,32.17
Rectum excision (topp),1.92e-16,4.14,34,239,23,38.84
dopamine transporter (aapp),1.43e-11,0.12,10,8,0,14.4
GAG Gene (aapp),2.16e-16,0.08,2,21,0,2.19
Urban (geoa),9.65e-07,5.47,31,40,0,55.02
Amino Acids (aapp),3.49e-126,0.22,192,582,6,255.34
ITGB2 gene|ITGB2 (gngm),6.63e-07,0.41,7,84,1,7.58
high school student (popg),6.38e-12,2.92,108,26,0,32.26
Melanocortin 4 Receptor (aapp),1.02e-11,2.3,40,3,0,3.23
Protein phosphatase (aapp),5.91e-26,0.11,4,53,0,4.3
Flumazenil (orch),4.78e-09,0.17,1,30,0,1.03
Migraine Disorders (dsyn),5.31e-12,0.34,152,96,1,156.63
Brachytherapy (topp),3.84e-09,1.66,20,904,7,20.44
Corpus Callosum (bpoc),5.87e-12,0.32,9,99,0,9.82
"Transcription, Genetic (genf)",1.27e-150,0.23,79,787,6,86.93
socioeconomic differences (fndg),8.48e-07,6.16,11,36,1,14.36
Signal Transduction Pathways (celf),6.47e-56,0.33,29,532,1,30.58
Sensory nerve (bpoc),1.39e-07,0.1,3,10,0,3.9
Pruritus (sosy),9.68e-16,0.3,19,126,0,21.87
Platelet aggregation (celf),1.41e-18,0.37,45,236,4,53.58
Human tissue (tisu),1.13e-09,0.6,133,554,1,164.93
Visual Analog Scale (diap),4.88e-23,1.88,110,33,1,42.9
Transcription Repressor/Corepressor (gngm),1.92e-27,0.12,4,61,0,4.26
Testosterone (horm),1.16e-112,1.2,1067,455,47,649.03
Nasal Polyps (anab),9.32e-09,0.13,8,7,1,13.12
Vancomycin|NDUFB6 (antb),9.99e-34,1556.39,15,186,2,16.21
Adsorption (lbpr),5.94e-52,0.04,1,43,0,1.02
Prescription of prophylactic anticoagulant (topp),2.39e-09,3.39,38,238,7,44.07
Simvastatin (phsu),4.72e-07,0.56,79,309,3,99.2
Males (popg),1.24e-84,4.62,656,840,38,1168.3
inorganic phosphate (inch),1.95e-13,0.12,3,30,0,3.3
Alprostadil (eico),1.28e-30,0.12,6,71,0,6.51
Surgical Wound Infection (patf),2.41e-07,2.92,24,114,8,29.05
Proto-Oncogene Proteins c-jun|JUN (aapp),2.24e-13,0.13,1,35,0,1.03
rofecoxib (orch),1.1e-06,0.32,5,52,0,5.48
Cell Survival (celf),6.86e-41,0.31,9,558,0,9.15
"Receptor, Serotonin, 5-HT1A (aapp)",1.27e-08,0.04,1,4,0,1.25
anthracene (orch),4.34e-06,0.14,2,15,0,2.27
Severe chronic obstructive pulmonary disease (dsyn),5.06e-35,3.99,65,210,33,85.12
Cathepsins B|CTSB (aapp),2.33e-11,0.19,5,42,1,5.6
deoxypyridinoline (aapp),3.09e-07,1.84,27,6,0,7.33
Singleton (famg),1.12e-199,7.78,428,678,46,698.18
Thyroxine|TH (aapp),2.48e-37,30.99,70,61,1,114.16
Benign paroxysmal positional vertigo (dsyn),2.64e-06,0.07,3,1,0,1.33
Serum urate level result (lbtr),1.48e-07,10.58,36,28,2,49.78
Retinal Degeneration (dsyn),4.73e-11,0.05,1,7,0,1.14
Minocycline (antb),5.44e-14,0.27,3,86,0,3.1
Yolk Sac (emst),7.23e-08,0.2,1,31,0,1.03
Rutin (phsu),9.88e-07,0.18,2,21,1,2.19
Nervousness (fndg),7.32e-07,0.37,32,85,2,44.05
Pretreatment (sbst),7.3e-44,0.13,1,112,0,1.01
Menstruation (orgf),5.98e-13,2.81,145,44,2,57.35
BIRC5 gene|BIRC5 (gngm),6.27e-09,0.73,1,306,0,1.0
Interleukin-10 (aapp),9.15e-07,0.65,116,949,6,130.18
Acceptors (humn),3.17e-11,0.05,2,5,0,2.8
"Receptors, Purinergic P1 (aapp)",3.42e-19,0.15,2,56,0,2.07
6/6 (fndg),1.28e-29,6.72,46,129,8,62.4
neurotransmitter secretion (celf),1.57e-09,0.06,1,8,0,1.12
monocyte (cell),8.6e-85,0.29,109,660,5,127.0
Ochratoxins (bacs),2.03e-06,0.11,4,5,0,7.2
Stillbirth (patf),7.85e-15,5.31,44,370,8,49.23
Vitamin supplementation (phsu),5.54e-34,3.29,158,330,3,233.65
Oral mucous membrane structure (bpoc),3.19e-22,0.29,6,169,0,6.21
Tetrahydrocannabinol (orch),8.25e-19,0.14,8,44,0,9.45
student (prog),1.17e-300,1.92,1210,215,11,253.2
Pathogenicity (orga),2.09e-42,1.15,71,2238,3,73.25
"Adhesins, Bacterial (aapp)",9.97e-11,0.2,1,44,0,1.02
Rosa (plnt),1.29e-12,3.3,39,127,5,50.98
CD79A (aapp),4.68e-35,0.21,24,160,1,27.6
Extracellular Signal Regulated Kinases (aapp),5.11e-22,0.24,2,111,0,2.04
Secondary malignant neoplasm of lung (neop),7.04e-31,1.69,4,1256,1,4.01
Dislocations (inpo),1.63e-10,0.42,56,196,1,72.0
Ondansetron (phsu),1.24e-10,0.16,10,20,1,15.0
Fibroblast Growth Factor 2 (aapp),5.78e-67,0.1,4,126,0,4.13
Estrone (horm),1.84e-21,1.65,94,8,6,8.68
Birth outcome (clna),3.71e-17,5.19,35,93,2,48.17
Guidelines (inpr),4.37e-09,4.72,36,56,5,59.14
Macaca (mamm),4.93e-37,0.15,3,115,1,3.08
Tumor Promoters (hops),1.55e-09,0.18,1,35,0,1.03
Cytolysis (celf),1.28e-88,0.13,4,237,0,4.07
carvedilol (orch),3.78e-06,0.72,5,334,2,5.07
16s (bpoc),3.06e-39,0.29,28,299,1,30.62
U 0126 (orch),3.84e-12,0.18,1,43,0,1.02
Autistic Disorder (mobd),2.72e-30,0.17,58,35,0,56.12
JUN gene|JUN (gngm),3.62e-26,0.1,1,53,0,1.02
Proto-Oncogene Proteins c-akt|AKT1 (aapp),1.58e-70,0.35,44,987,3,45.96
neurofibroma (neop),6.37e-07,0.29,2,46,0,2.09
von Willebrand Disease (dsyn),2.61e-09,0.19,5,34,0,5.74
Plates (medd),1e-18,0.24,22,100,1,26.84
"RNA, Small Interfering (bacs)",1.16e-24,0.36,11,631,0,11.19
CYP1A1 gene|CYP1A1 (gngm),1.02e-11,0.17,8,34,0,9.88
Marrow (bpoc),2.67e-15,0.44,27,510,2,28.43
Muscle strength (ortf),8.43e-07,4.95,535,146,34,185.84
