name1,name2,name3,name4,name5,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Coronary heart disease (dsyn),2.36e-06,48.6,6,8,0,10.5,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Population Group (popg),1.88e-08,45.47,6,19,0,7.89,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Survivors (humn),1.88e-08,42.63,6,21,0,7.71,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Death (finding) (fndg),2.16e-08,47.81,6,12,0,9.0,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PREDISPOSES,Cardiovascular morbidity (dsyn),2.15e-08,55.52,6,10,0,9.6,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Cancer Survivor (podg),1.01e-07,48.11,6,10,0,9.6,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PREDISPOSES,Atherosclerosis (dsyn),1.89e-08,42.43,6,21,0,7.71,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Chronic Obstructive Airway Disease (dsyn),1.88e-08,44.04,6,21,0,7.71,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),1.88e-08,42.16,6,32,0,7.12,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,modern society (popg),5.41e-08,49.52,6,10,0,9.6,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,End stage renal failure (dsyn),1.88e-08,48.49,6,39,0,6.92,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,follow-up (hlca),1.88e-08,52.47,6,44,0,6.82,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,"Kidney Failure, Chronic (dsyn)",1.88e-08,45.34,6,113,0,6.32,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Myocardial Infarction (dsyn),2.77e-06,42.87,6,11,0,9.27,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Vitamin D Deficiency (dsyn),4.19e-06,42.59,6,11,0,9.27,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Japanese Population (popg),5.78e-07,43.06,6,12,0,9.0,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,African American (popg),1.9e-08,40.95,6,25,0,7.44,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,"Recipient, Transplant (humn)",1.88e-08,46.62,6,87,0,6.41,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Diabetic (fndg),1.88e-08,41.61,6,33,0,7.09,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (popg),1.88e-08,44.35,6,41,0,6.88,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,High Risk Populations (popg),1.88e-08,44.52,6,21,0,7.71,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,"Diabetes Mellitus, Insulin-Dependent (dsyn)",1.89e-08,42.18,6,21,0,7.71,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Cessation of life (orgf),1.88e-08,43.13,6,1021,0,6.04,8.0
ghrelin (aapp),AFFECTS,Homeostasis (orgf),PROCESS_OF,"Energy, Physics (npop)",8.92e-10,46.07,14,79,0,16.48,1.0
ghrelin (aapp),AFFECTS,Homeostasis (orgf),PROCESS_OF,Oxidation-Reduction (npop),3.42e-06,46.02,14,29,0,20.76,1.0
Metabolic syndrome (dsyn),PROCESS_OF,Participant (humn),USES,Medicare (rnlw),1.16e-09,29.86,35,18,0,27.26,1.0
Fatty Acids (bacs),PART_OF,Adipose tissue (tisu),PART_OF,Epididymis (bpoc),1.64e-08,23.23,7,5,0,8.57,3.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Glomerular Filtration Rate (ortf),2.59e-06,154.0,7,9,0,12.44,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (popg),1.9e-13,153.06,7,194,0,7.25,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Middle Aged (aggp),3.37e-10,151.78,7,17,0,9.88,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Hospitalization (hlca),1.9e-13,153.05,7,29,0,8.69,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Western society (popg),2e-10,155.23,7,14,0,10.5,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),ISA,Heart failure (dsyn),1.06e-06,151.04,7,12,0,11.08,5.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Disability NOS (patf),1.9e-13,149.86,7,48,0,8.02,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (popg),1.9e-13,153.25,7,29,0,8.69,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),1.9e-13,150.3,7,98,0,7.5,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Metabolic syndrome (dsyn),2.33e-09,148.96,7,24,0,9.04,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Long-Term Survivors (podg),1.76e-07,155.38,7,10,0,11.9,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),AFFECTS,Pathogenesis (patf),1.21e-08,147.73,7,37,0,8.32,7.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Diabetes Mellitus (dsyn),6.73e-09,149.54,7,20,0,9.45,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (popg),1.9e-13,151.19,7,94,0,7.52,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Coronary heart disease (dsyn),2.34e-06,156.98,7,8,0,13.12,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Population Group (popg),5.03e-13,153.85,7,19,0,9.58,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Survivors (humn),1.22e-11,151.01,7,21,0,9.33,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Death (finding) (fndg),2.78e-09,156.19,7,12,0,11.08,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PREDISPOSES,Cardiovascular morbidity (dsyn),2.63e-09,163.91,7,10,0,11.9,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Cancer Survivor (podg),8.18e-08,156.49,7,10,0,11.9,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PREDISPOSES,Atherosclerosis (dsyn),2.27e-11,150.81,7,21,0,9.33,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Chronic Obstructive Airway Disease (dsyn),4.59e-13,152.42,7,21,0,9.33,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),1.9e-13,150.54,7,32,0,8.53,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,modern society (popg),3.53e-08,157.9,7,10,0,11.9,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,End stage renal failure (dsyn),1.9e-13,156.87,7,39,0,8.26,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,follow-up (hlca),1.9e-13,160.85,7,44,0,8.11,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,"Kidney Failure, Chronic (dsyn)",1.9e-13,153.72,7,113,0,7.43,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Myocardial Infarction (dsyn),2.75e-06,151.25,7,11,0,11.45,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Vitamin D Deficiency (dsyn),4.17e-06,150.98,7,11,0,11.45,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Japanese Population (popg),5.59e-07,151.44,7,12,0,11.08,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,African American (popg),1.18e-10,149.33,7,25,0,8.96,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,"Recipient, Transplant (humn)",1.9e-13,155.01,7,87,0,7.56,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Diabetic (fndg),1.9e-13,150.0,7,33,0,8.48,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (popg),1.9e-13,152.73,7,41,0,8.2,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,High Risk Populations (popg),2.78e-13,152.9,7,21,0,9.33,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,"Diabetes Mellitus, Insulin-Dependent (dsyn)",5.02e-11,150.57,7,21,0,9.33,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Cessation of life (orgf),1.9e-13,151.51,7,1021,0,7.05,8.0
Body mass index (clna),PREDISPOSES,Non-alcoholic fatty liver (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),1.49e-06,67.97,4,23,0,4.7,21.0
Body mass index (clna),PREDISPOSES,Non-alcoholic fatty liver (dsyn),CAUSES,Chronic liver disease NOS (dsyn),1.49e-06,67.42,4,57,0,4.28,11.0
Body mass index (clna),PREDISPOSES,Non-alcoholic fatty liver (dsyn),COEXISTS_WITH,Cardiovascular Diseases (dsyn),1.78e-06,75.88,4,9,0,5.78,9.0
Body Weight (orga),ISA,Body mass index (clna),PREDISPOSES,Cardiovascular Diseases (dsyn),1.38e-09,50.31,55,22,0,30.8,5.0
Insulin (horm),PART_OF,Hepatic (blor),LOCATION_OF,Hilum (bpoc),2.1e-12,25.59,16,56,0,20.57,2.0
Insulin (horm),PART_OF,Hepatic (blor),LOCATION_OF,Neoplasm Metastasis (neop),2.19e-18,26.84,16,48,0,21.33,2.0
Insulin (horm),PART_OF,Hepatic (blor),LOCATION_OF,Tumor Burden (diap),3.85e-15,28.72,16,28,0,25.14,2.0
Insulin (horm),PART_OF,Hepatic (blor),LOCATION_OF,Primary Neoplasm (neop),1.07e-10,26.17,16,35,0,23.31,2.0
Insulin (horm),PART_OF,Hepatic (blor),LOCATION_OF,Toxic effect (inpo),1.89e-19,25.21,16,145,0,17.77,2.0
Insulin (horm),PART_OF,Hepatic (blor),LOCATION_OF,Decompensation (fndg),1.89e-19,27.71,16,224,0,17.14,2.0
Insulin (horm),PART_OF,Hepatic (blor),LOCATION_OF,Hydrothorax (dsyn),7.51e-13,25.53,16,61,0,20.2,2.0
Insulin (horm),PART_OF,Hepatic (blor),LOCATION_OF,Medical Imaging (diap),6.93e-09,23.87,16,3,0,3.56,2.0
Insulin (horm),PART_OF,Hepatic (blor),LOCATION_OF,Hepatic Veno-Occlusive Disease (dsyn),4.19e-07,26.73,16,19,0,29.47,2.0
Insulin Resistance (patf),CAUSES,Metabolic syndrome (dsyn),PROCESS_OF,General Population (popg),2.6e-07,44.39,5,33,0,5.76,1.0
Insulin Resistance (patf),CAUSES,Metabolic syndrome (dsyn),COEXISTS_WITH,Cardiovascular Diseases (dsyn),4.69e-06,44.93,5,16,0,6.56,9.0
Insulin Resistance (patf),CAUSES,Metabolic syndrome (dsyn),ISA,Cardiovascular Diseases (dsyn),2.6e-07,44.74,5,71,0,5.35,5.0
Insulin Resistance (patf),CAUSES,Metabolic syndrome (dsyn),PREDISPOSES,Cardiovascular morbidity (dsyn),2.6e-07,58.58,5,35,0,5.71,11.0
Insulin Resistance (patf),CAUSES,Metabolic syndrome (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),2.6e-07,44.66,5,110,0,5.23,11.0
Insulin Resistance (patf),CAUSES,Metabolic syndrome (dsyn),PROCESS_OF,cohort (popg),2.61e-07,44.0,5,37,0,5.68,1.0
Insulin (horm),AFFECTS,Adipose tissue (tisu),PART_OF,Epididymis (bpoc),1.62e-07,46.95,5,5,0,10.0,3.0
"Risk factor, cardiovascular (dsyn)",PROCESS_OF,cohort (popg),USES,Medicare (rnlw),1.23e-06,21.11,6,20,0,7.8,1.0
"Risk factor, cardiovascular (dsyn)",PROCESS_OF,cohort (popg),LOCATION_OF,Single Nucleotide Polymorphism (nusq),1.23e-06,18.29,6,65,0,6.55,1.0
"Risk factor, cardiovascular (dsyn)",PROCESS_OF,cohort (popg),USES,Treats (clas),1.6e-06,20.61,6,16,0,8.25,1.0
"Risk factor, cardiovascular (dsyn)",PROCESS_OF,cohort (popg),LOCATION_OF,Calcium (bacs),5.32e-06,20.87,6,13,0,8.77,1.0
"Risk factor, cardiovascular (dsyn)",PROCESS_OF,cohort (popg),USES,Classification (clas),1.24e-06,21.85,6,16,0,8.25,1.0
"Risk factor, cardiovascular (dsyn)",PROCESS_OF,cohort (popg),LOCATION_OF,Sodium (elii),4.7e-06,27.26,6,8,0,10.5,1.0
"Risk factor, cardiovascular (dsyn)",PROCESS_OF,cohort (popg),LOCATION_OF,C-reactive protein (aapp),1.23e-06,20.73,6,23,0,7.57,1.0
"Risk factor, cardiovascular (dsyn)",PROCESS_OF,cohort (popg),LOCATION_OF,TP53 gene|TP53 (aapp),1.23e-06,21.63,6,22,0,7.64,1.0
"Risk factor, cardiovascular (dsyn)",PROCESS_OF,cohort (popg),USES,Tissue Microarray (resd),2.11e-06,21.56,6,13,0,8.77,1.0
"Risk factor, cardiovascular (dsyn)",PROCESS_OF,cohort (popg),LOCATION_OF,ERBB2 gene|ERBB2 (aapp),1.23e-06,23.55,6,15,0,8.4,1.0
Physical activity (dora),TREATS,cohort (popg),USES,Medicare (rnlw),3.57e-08,24.66,7,20,0,9.45,4.0
Physical activity (dora),TREATS,cohort (popg),LOCATION_OF,Single Nucleotide Polymorphism (nusq),3.73e-08,21.84,7,65,0,7.75,2.0
Physical activity (dora),TREATS,cohort (popg),USES,Treats (clas),4.1e-07,24.16,7,16,0,10.06,4.0
Physical activity (dora),TREATS,cohort (popg),LOCATION_OF,Calcium (bacs),4.13e-06,24.42,7,13,0,10.77,2.0
Physical activity (dora),TREATS,cohort (popg),USES,Classification (clas),4.7e-08,25.4,7,16,0,10.06,4.0
Physical activity (dora),TREATS,cohort (popg),LOCATION_OF,Sodium (elii),3.51e-06,30.81,7,8,0,13.12,2.0
Physical activity (dora),TREATS,cohort (popg),LOCATION_OF,C-reactive protein (aapp),3.49e-08,24.28,7,23,0,9.13,2.0
Physical activity (dora),TREATS,cohort (popg),LOCATION_OF,TP53 gene|TP53 (aapp),3.47e-08,25.18,7,22,0,9.23,2.0
Physical activity (dora),TREATS,cohort (popg),USES,Tissue Microarray (resd),9.19e-07,25.11,7,13,0,10.77,4.0
Physical activity (dora),TREATS,cohort (popg),LOCATION_OF,ERBB2 gene|ERBB2 (aapp),3.63e-08,27.1,7,15,0,10.27,2.0
abnormal glucose tolerance test (fndg),PROCESS_OF,Participant (humn),USES,Medicare (rnlw),1.16e-09,34.86,16,18,0,30.22,1.0
Fatty-acid synthase (gngm),PART_OF,Hepatic (blor),LOCATION_OF,Hilum (bpoc),2.78e-08,36.57,6,56,0,6.64,2.0
Fatty-acid synthase (gngm),PART_OF,Hepatic (blor),LOCATION_OF,Neoplasm Metastasis (neop),2.78e-08,37.82,6,48,0,6.75,2.0
Fatty-acid synthase (gngm),PART_OF,Hepatic (blor),LOCATION_OF,Tumor Burden (diap),2.78e-08,39.7,6,28,0,7.29,2.0
Fatty-acid synthase (gngm),PART_OF,Hepatic (blor),LOCATION_OF,Primary Neoplasm (neop),2.79e-08,37.15,6,35,0,7.03,2.0
Fatty-acid synthase (gngm),PART_OF,Hepatic (blor),LOCATION_OF,Toxic effect (inpo),2.78e-08,36.19,6,145,0,6.25,2.0
Fatty-acid synthase (gngm),PART_OF,Hepatic (blor),LOCATION_OF,Decompensation (fndg),2.78e-08,38.69,6,224,0,6.16,2.0
Fatty-acid synthase (gngm),PART_OF,Hepatic (blor),LOCATION_OF,Hydrothorax (dsyn),2.78e-08,36.51,6,61,0,6.59,2.0
Fatty-acid synthase (gngm),PART_OF,Hepatic (blor),LOCATION_OF,Medical Imaging (diap),3.47e-08,34.85,6,3,0,4.5,2.0
Fatty-acid synthase (gngm),PART_OF,Hepatic (blor),LOCATION_OF,Hepatic Veno-Occlusive Disease (dsyn),4.47e-07,37.71,6,19,0,7.89,2.0
Lower Extremity (blor),LOCATION_OF,Physical function (fndg),PROCESS_OF,Survivors (humn),2.17e-06,47.39,7,16,0,10.06,1.0
Abdominal obesity (dsyn),PROCESS_OF,Participant (humn),USES,Medicare (rnlw),2.39e-09,67.36,6,18,0,8.0,1.0
tomography (diap),ADMINISTERED_TO,Participant (humn),USES,Medicare (rnlw),3.5e-09,36.35,7,18,0,9.72,6.0
Fitness (dora),TREATS,Participant (humn),USES,Medicare (rnlw),3.02e-06,57.18,4,18,0,4.89,4.0
Leptin|LEP (aapp),AFFECTS,Homeostasis (orgf),PROCESS_OF,"Energy, Physics (npop)",8.92e-10,58.58,29,79,0,39.65,1.0
Leptin|LEP (aapp),AFFECTS,Homeostasis (orgf),PROCESS_OF,Oxidation-Reduction (npop),3.42e-06,58.54,29,29,0,58.0,1.0
insulin sensitivity (patf),PROCESS_OF,African American (popg),ISA,Ethnic group (popg),3.01e-22,122.97,12,98,0,13.47,1.0
insulin sensitivity (patf),PROCESS_OF,African American (popg),ISA,Racial group (popg),3.01e-22,123.9,12,324,0,12.44,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Glomerular Filtration Rate (ortf),2.59e-06,24.85,10,9,0,17.1,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (popg),8.45e-11,23.91,10,194,0,10.52,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Middle Aged (aggp),4.21e-10,22.64,10,17,0,15.88,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,Hospitalization (hlca),8.45e-11,23.9,10,29,0,13.45,11.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Western society (popg),2.84e-10,26.09,10,14,0,17.14,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),ISA,Heart failure (dsyn),1.06e-06,21.9,10,12,0,18.33,5.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,Disability NOS (patf),8.45e-11,20.72,10,48,0,12.08,11.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (popg),8.45e-11,24.11,10,29,0,13.45,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),8.45e-11,21.15,10,98,0,11.02,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Metabolic syndrome (dsyn),2.41e-09,19.82,10,24,0,14.17,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Long-Term Survivors (podg),1.76e-07,26.23,10,10,0,20.0,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),AFFECTS,Pathogenesis (patf),1.22e-08,18.59,10,37,0,12.7,7.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Diabetes Mellitus (dsyn),6.82e-09,20.39,10,20,0,15.0,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (popg),8.45e-11,22.04,10,94,0,11.06,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Coronary heart disease (dsyn),2.34e-06,27.83,10,8,0,14.4,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Population Group (popg),8.48e-11,24.71,10,19,0,15.26,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Survivors (humn),9.65e-11,21.86,10,21,0,14.76,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Death (finding) (fndg),2.86e-09,27.04,10,12,0,18.33,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PREDISPOSES,Cardiovascular morbidity (dsyn),2.72e-09,34.76,10,10,0,20.0,21.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Cancer Survivor (podg),8.19e-08,27.34,10,10,0,20.0,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PREDISPOSES,Atherosclerosis (dsyn),1.07e-10,21.66,10,21,0,14.76,21.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Chronic Obstructive Airway Disease (dsyn),8.48e-11,23.27,10,21,0,14.76,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),8.45e-11,21.4,10,32,0,13.12,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,modern society (popg),3.54e-08,28.76,10,10,0,20.0,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,End stage renal failure (dsyn),8.45e-11,27.72,10,39,0,12.56,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,follow-up (hlca),8.45e-11,31.7,10,44,0,12.27,11.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,"Kidney Failure, Chronic (dsyn)",8.45e-11,24.58,10,113,0,10.88,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,Myocardial Infarction (dsyn),2.75e-06,22.1,10,11,0,19.09,11.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Vitamin D Deficiency (dsyn),4.17e-06,21.83,10,11,0,19.09,9.0
