name1,name2,name3,name4,name5,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
Knee pain (sosy),PROCESS_OF,Participant (humn),USES,Medicare (rnlw),1.16e-09,20.15,14,18,0,24.89,1.0
"Surgical Procedures, Laparoscopic (topp)",compared_with,Open approach (topp),TREATS,"Aortic Aneurysm, Abdominal (dsyn)",4.66e-08,11.68,17,32,0,26.03,4.0
"Surgical Procedures, Laparoscopic (topp)",compared_with,Open approach (topp),TREATS,Malignant tumor of colon (neop),4.66e-08,10.92,15,27,2,23.33,4.0
"Surgical Procedures, Laparoscopic (topp)",compared_with,Open approach (topp),TREATS,Primary carcinoma of the liver cells (neop),9.29e-08,12.57,17,11,0,18.12,4.0
"Surgical Procedures, Laparoscopic (topp)",compared_with,Open approach (topp),TREATS,Carcinoma of the Large Intestine (neop),4.66e-08,9.49,15,50,2,19.5,4.0
"Surgical Procedures, Laparoscopic (topp)",compared_with,Open approach (topp),TREATS,Octogenarians (aggp),6.04e-08,17.42,17,10,0,15.88,4.0
"Surgical Procedures, Laparoscopic (topp)",compared_with,Open approach (topp),TREATS,Aneurysm (anab),2.8e-06,8.92,17,11,0,18.12,4.0
"Surgical Procedures, Laparoscopic (topp)",compared_with,Open approach (topp),TREATS,Ruptured abdominal aortic aneurysm (dsyn),9.86e-07,13.1,17,9,0,13.76,4.0
"Surgical Procedures, Laparoscopic (topp)",compared_with,Open approach (topp),TREATS,Cancer of Rectum (neop),4.66e-08,7.88,16,33,1,23.76,4.0
"Surgical Procedures, Laparoscopic (topp)",compared_with,Open approach (topp),TREATS,Malignant neoplasm of stomach (neop),2.23e-07,9.01,17,13,0,22.94,4.0
Alanine Transaminase (aapp),PREDISPOSES,Non-alcoholic fatty liver (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),2.79e-10,44.83,12,23,0,18.26,21.0
Alanine Transaminase (aapp),PREDISPOSES,Non-alcoholic fatty liver (dsyn),CAUSES,Chronic liver disease NOS (dsyn),3.33e-16,44.27,12,57,0,14.53,11.0
Alanine Transaminase (aapp),PREDISPOSES,Non-alcoholic fatty liver (dsyn),COEXISTS_WITH,Cardiovascular Diseases (dsyn),2.91e-07,52.74,12,9,0,15.75,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Glomerular Filtration Rate (ortf),2.59e-06,15.74,34,9,0,11.38,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (humn),2.37e-25,14.8,34,194,0,39.96,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Middle Aged (aggp),3.37e-10,13.52,34,17,0,25.5,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,Hospitalization (hlca),2.76e-19,14.79,34,29,0,53.74,11.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Western society (popg),1.99e-10,16.97,34,14,0,19.76,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),ISA,Heart failure (dsyn),1.06e-06,12.78,34,12,0,16.24,5.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,Disability NOS (patf),9.83e-23,11.6,34,48,0,58.08,11.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (humn),1.51e-19,14.99,34,29,0,53.74,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),2.37e-25,12.04,34,98,0,45.8,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Metabolic syndrome (dsyn),2.33e-09,10.7,34,24,0,40.94,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Long-Term Survivors (podg),1.76e-07,17.11,34,10,0,12.94,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),AFFECTS,Pathogenesis (patf),1.21e-08,9.47,34,37,0,65.24,7.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Diabetes Mellitus (dsyn),6.73e-09,11.28,34,20,0,31.76,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (humn),2.37e-25,12.93,34,94,0,46.3,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Coronary heart disease (dsyn),2.34e-06,18.72,34,8,0,9.88,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Population Group (humn),3.13e-13,15.59,34,19,0,29.62,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Survivors (humn),1.2e-11,12.75,34,21,0,33.97,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Death (finding) (fndg),2.78e-09,17.93,34,12,0,16.24,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PREDISPOSES,Cardiovascular morbidity (dsyn),2.63e-09,25.65,34,10,0,12.94,21.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Cancer Survivor (podg),8.18e-08,18.23,34,10,0,12.94,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PREDISPOSES,Atherosclerosis (dsyn),2.25e-11,12.55,34,21,0,33.97,21.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Chronic Obstructive Airway Disease (dsyn),2.69e-13,14.16,34,21,0,33.97,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),9.02e-17,12.28,34,32,0,62.12,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,modern society (popg),3.53e-08,19.64,34,10,0,12.94,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,End stage renal failure (dsyn),2.37e-25,18.61,34,39,0,63.64,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,follow-up (hlca),2.37e-25,22.59,34,44,0,60.27,11.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,"Kidney Failure, Chronic (dsyn)",2.37e-25,15.46,34,113,0,44.23,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,Myocardial Infarction (dsyn),2.75e-06,12.99,34,11,0,14.56,11.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Vitamin D Deficiency (dsyn),4.17e-06,12.72,34,11,0,14.56,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Japanese Population (popg),5.59e-07,13.18,34,12,0,16.24,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,African American (popg),1.18e-10,11.07,34,25,0,43.38,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,"Recipient, Transplant (podg)",2.37e-25,16.75,34,87,0,47.29,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Diabetic (fndg),6.16e-16,11.74,34,33,0,65.03,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (humn),2.46e-25,14.47,34,41,0,62.2,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,High Risk Populations (popg),8.87e-14,14.64,34,21,0,33.97,1.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,"Diabetes Mellitus, Insulin-Dependent (dsyn)",5e-11,12.31,34,21,0,33.97,9.0
Dyslipidemias (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,Cessation of life (orgf),2.37e-25,13.25,33,1020,1,34.07,11.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Glomerular Filtration Rate (ortf),5.11e-06,24.87,6,9,0,10.0,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (humn),2.52e-06,23.93,6,194,0,6.19,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Middle Aged (aggp),2.52e-06,22.66,6,17,0,8.12,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Hospitalization (hlca),2.52e-06,23.92,6,29,0,7.24,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Western society (popg),2.52e-06,26.11,6,14,0,8.57,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),ISA,Heart failure (dsyn),3.58e-06,21.91,6,12,0,9.0,5.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Disability NOS (patf),2.52e-06,20.73,6,48,0,6.75,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (humn),2.52e-06,24.12,6,29,0,7.24,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),2.52e-06,21.17,6,98,0,6.37,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Metabolic syndrome (dsyn),2.52e-06,19.83,6,24,0,7.5,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Long-Term Survivors (podg),2.7e-06,26.25,6,10,0,9.6,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),AFFECTS,Pathogenesis (patf),2.53e-06,18.61,6,37,0,6.97,7.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Diabetes Mellitus (dsyn),2.53e-06,20.41,6,20,0,7.8,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (humn),2.52e-06,22.06,6,94,0,6.38,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Coronary heart disease (dsyn),4.86e-06,27.85,6,8,0,10.5,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Population Group (humn),2.52e-06,24.73,6,19,0,7.89,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Survivors (humn),2.52e-06,21.88,6,21,0,7.71,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Death (finding) (fndg),2.52e-06,27.06,6,12,0,9.0,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PREDISPOSES,Cardiovascular morbidity (dsyn),2.52e-06,34.78,6,10,0,9.6,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Cancer Survivor (podg),2.6e-06,27.36,6,10,0,9.6,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PREDISPOSES,Atherosclerosis (dsyn),2.52e-06,21.68,6,21,0,7.71,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Chronic Obstructive Airway Disease (dsyn),2.52e-06,23.29,6,21,0,7.71,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),2.52e-06,21.42,6,32,0,7.12,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,modern society (popg),2.55e-06,28.77,6,10,0,9.6,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,End stage renal failure (dsyn),2.52e-06,27.74,6,39,0,6.92,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,follow-up (hlca),2.52e-06,31.72,6,44,0,6.82,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,"Kidney Failure, Chronic (dsyn)",2.52e-06,24.6,6,113,0,6.32,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Myocardial Infarction (dsyn),5.27e-06,22.12,6,11,0,9.27,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Vitamin D Deficiency (dsyn),6.69e-06,21.85,6,11,0,9.27,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Japanese Population (popg),3.08e-06,22.31,6,12,0,9.0,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,African American (popg),2.52e-06,20.21,6,25,0,7.44,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,"Recipient, Transplant (podg)",2.52e-06,25.88,6,87,0,6.41,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Diabetic (fndg),2.52e-06,20.87,6,33,0,7.09,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (humn),2.52e-06,23.61,6,41,0,6.88,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,High Risk Populations (popg),2.52e-06,23.77,6,21,0,7.71,1.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,"Diabetes Mellitus, Insulin-Dependent (dsyn)",2.52e-06,21.44,6,21,0,7.71,8.0
Obese build (orga),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Cessation of life (orgf),2.52e-06,22.38,6,1021,0,6.04,8.0
Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),USES,Medicare (rnlw),1.2e-09,13.36,14,18,0,24.89,1.0
Obese build (orga),ASSOCIATED_WITH,"Risk factor, cardiovascular (dsyn)",COEXISTS_WITH,"Kidney Failure, Chronic (dsyn)",1.98e-11,39.29,9,22,0,12.68,8.0
Obese build (orga),ASSOCIATED_WITH,"Risk factor, cardiovascular (dsyn)",PROCESS_OF,Survivors (humn),1.43e-10,38.72,9,17,0,13.76,1.0
Obese build (orga),ASSOCIATED_WITH,"Risk factor, cardiovascular (dsyn)",PROCESS_OF,cohort (humn),1.29e-08,34.78,9,27,0,12.0,1.0
Obese build (orga),ASSOCIATED_WITH,"Risk factor, cardiovascular (dsyn)",PROCESS_OF,Participant (humn),1.38e-08,37.74,9,15,0,14.4,1.0
Obese build (orga),ASSOCIATED_WITH,"Risk factor, cardiovascular (dsyn)",PREDISPOSES,Cardiovascular Diseases (dsyn),1.56e-10,35.94,9,24,0,12.38,8.0
Obese build (orga),ASSOCIATED_WITH,"Risk factor, cardiovascular (dsyn)",PROCESS_OF,Participant (humn),1.99e-11,35.56,9,34,0,11.38,1.0
Obese build (orga),ASSOCIATED_WITH,"Risk factor, cardiovascular (dsyn)",PROCESS_OF,General Population (humn),1.98e-11,36.99,9,40,0,11.03,1.0
Obese build (orga),ASSOCIATED_WITH,"Risk factor, cardiovascular (dsyn)",COEXISTS_WITH,End stage renal failure (dsyn),1.24e-09,43.72,9,12,0,15.75,8.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Glomerular Filtration Rate (ortf),2.59e-06,52.7,26,9,0,12.12,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (humn),5.04e-36,51.76,26,194,0,29.48,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Middle Aged (aggp),3.37e-10,50.48,26,17,0,28.12,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,Hospitalization (hlca),2.76e-19,51.75,26,29,0,49.31,11.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Western society (popg),1.99e-10,53.93,26,14,0,21.54,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),ISA,Heart failure (dsyn),1.06e-06,49.74,26,12,0,17.54,5.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,Disability NOS (patf),9.81e-23,48.56,26,48,0,40.08,11.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (humn),1.51e-19,51.95,26,29,0,49.31,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),5.04e-36,49.0,25,97,1,31.44,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Metabolic syndrome (dsyn),2.33e-09,47.66,26,24,0,46.15,9.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Long-Term Survivors (podg),1.76e-07,54.07,26,10,0,13.85,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),AFFECTS,Pathogenesis (patf),1.21e-08,46.43,26,37,0,44.27,7.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Diabetes Mellitus (dsyn),6.73e-09,48.23,26,20,0,35.38,9.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (humn),5.04e-36,49.89,26,94,0,33.19,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Coronary heart disease (dsyn),2.34e-06,55.68,26,8,0,10.46,9.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Population Group (humn),3.13e-13,52.55,26,19,0,32.88,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Survivors (humn),1.2e-11,49.71,26,21,0,37.96,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Death (finding) (fndg),2.78e-09,54.89,26,12,0,17.54,9.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PREDISPOSES,Cardiovascular morbidity (dsyn),2.63e-09,62.6,26,10,0,13.85,21.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Cancer Survivor (podg),8.18e-08,55.19,26,10,0,13.85,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PREDISPOSES,Atherosclerosis (dsyn),2.25e-11,49.51,26,21,0,37.96,21.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Chronic Obstructive Airway Disease (dsyn),2.69e-13,51.12,26,21,0,37.96,9.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),9.02e-17,49.24,25,31,1,45.16,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,modern society (popg),3.53e-08,56.6,26,10,0,13.85,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,End stage renal failure (dsyn),2.28e-31,55.57,26,39,0,43.33,9.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,follow-up (hlca),5.04e-36,59.55,26,44,0,41.36,11.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,"Kidney Failure, Chronic (dsyn)",5.04e-36,52.42,26,113,0,31.98,9.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,Myocardial Infarction (dsyn),2.75e-06,49.95,26,11,0,15.65,11.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Vitamin D Deficiency (dsyn),4.17e-06,49.68,26,11,0,15.65,9.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,Japanese Population (popg),5.59e-07,50.14,26,12,0,17.54,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,African American (popg),1.18e-10,48.03,26,25,0,49.04,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,"Recipient, Transplant (podg)",5.04e-36,53.71,26,87,0,33.77,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Diabetic (fndg),6.16e-16,48.69,26,33,0,46.48,9.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (humn),9.09e-27,51.43,26,41,0,42.49,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),PROCESS_OF,High Risk Populations (popg),8.87e-14,51.6,26,21,0,37.96,1.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),COEXISTS_WITH,"Diabetes Mellitus, Insulin-Dependent (dsyn)",5e-11,49.27,26,21,0,37.96,9.0
Overweight (sosy),PREDISPOSES,Cardiovascular Diseases (dsyn),CAUSES,Cessation of life (orgf),5.04e-36,50.21,26,1021,0,26.66,11.0
"Risk factor, cardiovascular (dsyn)",PROCESS_OF,Participant (humn),USES,Medicare (rnlw),1.16e-09,28.99,16,18,0,30.22,1.0
Forearm (blor),LOCATION_OF,Entire radius (bpoc),LOCATION_OF,Fracture (inpo),3.33e-07,11.25,8,6,0,10.5,2.0
Combined Modality Therapy (topp),USES,Metformin (phsu),TREATS,Pancreatic carcinoma (neop),4.72e-06,14.7,27,9,0,12.0,4.0
Combined Modality Therapy (topp),USES,Metformin (phsu),TREATS,Heart failure (dsyn),1.36e-08,13.48,27,14,0,21.26,4.0
Combined Modality Therapy (topp),USES,Metformin (phsu),CAUSES,"Acidosis, Lactic (dsyn)",6.32e-13,12.99,27,22,0,39.93,6.0
Combined Modality Therapy (topp),USES,Metformin (phsu),TREATS,Diabetic (fndg),1.59e-10,9.17,27,45,0,43.2,4.0
Combined Modality Therapy (topp),USES,Metformin (phsu),ISA,Antidiabetics (phsu),6.82e-08,8.84,27,44,0,43.57,5.0
Combined Modality Therapy (topp),USES,Metformin (phsu),TREATS,Malignant neoplasm of prostate (neop),1.91e-08,14.22,27,13,0,19.26,4.0
Osteocalcin (aapp),ASSOCIATED_WITH,Insulin Resistance (patf),COEXISTS_WITH,"Kidney Failure, Chronic (dsyn)",1.29e-07,24.68,7,16,0,10.06,8.0
Osteocalcin (aapp),ASSOCIATED_WITH,Insulin Resistance (patf),COEXISTS_WITH,Critical Illness (dsyn),1.02e-06,29.85,7,9,0,12.44,8.0
Osteocalcin (aapp),ASSOCIATED_WITH,Insulin Resistance (patf),PREDISPOSES,Cardiovascular Diseases (dsyn),2e-07,22.24,7,31,0,8.58,8.0
Metabolic syndrome (dsyn),ISA,Cardiovascular Diseases (dsyn),PROCESS_OF,Glomerular Filtration Rate (ortf),2.59e-06,22.52,89,9,0,9.91,1.0
Metabolic syndrome (dsyn),ISA,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (humn),2.53e-88,21.58,88,193,1,128.12,1.0
Metabolic syndrome (dsyn),ISA,Cardiovascular Diseases (dsyn),PROCESS_OF,Middle Aged (aggp),3.37e-10,20.31,89,17,0,20.25,1.0
Metabolic syndrome (dsyn),ISA,Cardiovascular Diseases (dsyn),CAUSES,Hospitalization (hlca),2.76e-19,21.57,88,28,1,36.91,5.0
Metabolic syndrome (dsyn),ISA,Cardiovascular Diseases (dsyn),PROCESS_OF,Western society (popg),1.99e-10,23.76,89,14,0,16.2,1.0
