name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
Diabetes Mellitus/physiopathology,2.83e-06,3.44,146,169,19,272.13,2.0
Transients and Migrants/statistics & numerical data,1.63e-12,4.64,28,71,1,39.04,2.0
Radiotherapy,2.27e-19,0.18,1,73,0,1.01,2.0
Escherichia coli Proteins,2.98e-35,0.02,1,13,0,1.08,4.0
Fluorobenzenes/therapeutic use,9.08e-11,5.45,20,102,6,23.92,5.0
Respiration/drug effects,1.57e-10,0.14,5,25,0,6.0,4.0
Transcription Factors,1.56e-24,0.13,2,64,0,2.06,3.0
Humidity,5.09e-06,0.3,1,41,1,1.02,4.0
Ankle/blood supply,4.23e-09,4.91,15,40,4,20.62,5.0
Hospitalization/statistics & numerical data,4.79e-23,5.8,101,2143,51,105.76,3.0
Hypertension/epidemiology,2.83e-82,16.25,1211,425,87,574.15,3.0
"Muscle, Smooth, Vascular/physiology",7.05e-11,0.07,3,7,0,4.29,4.0
Adolescent Behavior/psychology,1.67e-19,2.3,167,60,1,81.56,3.0
Kidney Diseases/physiopathology,8.04e-13,2.8,48,165,9,61.96,3.0
Prostatic Neoplasms/surgery,6.51e-84,4.67,200,789,36,250.7,4.0
Peptide Fragments/chemistry,5.23e-15,0.05,1,12,0,1.08,3.0
Psychoanalytic Therapy,1.78e-15,0.02,1,3,0,1.33,3.0
Emergencies,4.44e-08,0.73,3,372,3,3.02,3.0
Brain Neoplasms/diagnosis,2.11e-19,0.86,2,402,1,2.01,4.0
Pain,1.36e-12,0.1,9,8,0,15.11,3.0
"Recombination, Genetic",1.04e-34,0.07,2,41,0,2.1,3.0
"Sodium, Dietary",2.32e-07,0.08,2,7,0,2.57,3.0
Activities of Daily Living,1.3e-16,2.76,296,483,38,477.4,2.0
Energy Metabolism/drug effects,4.63e-10,1.79,75,41,4,63.41,3.0
Peripheral Arterial Disease/epidemiology,1.14e-17,10.82,18,44,5,25.36,4.0
Hyperglycemia/physiopathology,1.34e-09,3.36,36,78,2,52.62,4.0
Body Image/psychology,3.54e-06,19.33,205,2,1,2.02,4.0
Cerebrovascular Circulation,3.9e-21,0.33,17,192,0,18.51,5.0
Face/surgery,2.22e-07,0.1,1,14,0,1.07,3.0
Immunologic Memory,5.44e-07,0.28,3,45,0,3.2,4.0
Calcium/physiology,8.94e-25,0.04,3,12,0,3.75,3.0
"Antineoplastic Agents, Phytogenic/therapeutic use",2.53e-09,1.72,1,367,0,1.0,5.0
"Renal Insufficiency, Chronic/physiopathology",1.65e-37,9.12,52,139,5,71.45,5.0
Growth,3.36e-28,1.38,182,38,1,45.93,4.0
Spleen/cytology,9.13e-07,0.11,1,14,0,1.07,3.0
Independent Living,1.33e-08,5.6,20,35,4,31.43,3.0
DNA-Binding Proteins/metabolism,1.7e-80,0.18,8,299,0,8.21,3.0
"T-Lymphocytes, Helper-Inducer/immunology",7.03e-08,0.25,5,44,0,5.57,8.0
Malnutrition/therapy,2.81e-24,10.77,30,123,6,37.32,3.0
Peptide Fragments/immunology,1.35e-08,0.24,1,45,0,1.02,3.0
Metals/chemistry,7.36e-13,0.04,1,7,0,1.14,2.0
Schools,4.73e-29,1.3,205,32,0,37.0,2.0
Hypothalamus/physiology,3.75e-16,0.08,8,7,0,13.12,5.0
Social Responsibility,2.06e-16,0.16,1,54,0,1.02,4.0
Motor Neurons/physiology,7.83e-25,0.05,5,14,0,6.79,4.0
Immunoassay/methods,9.59e-08,0.2,7,29,0,8.69,3.0
Lipids/blood,3.39e-45,4.72,1147,213,38,252.55,1.0
"Lupus Erythematosus, Systemic/immunology",4.98e-16,0.25,5,93,0,5.27,3.0
Kidney Diseases/blood,1.57e-08,3.0,27,81,4,36.0,3.0
"Fractures, Bone",9.3e-21,0.05,6,1,0,1.17,2.0
Feeding Behavior/psychology,7.8e-16,18.07,454,3,2,3.02,3.0
Electroencephalography/methods,7.39e-15,0.21,5,68,0,5.37,4.0
"Leukemia, Myeloid, Acute/drug therapy",4.53e-07,2.53,2,625,4,2.01,5.0
Androgen Antagonists/adverse effects,1.34e-13,5.36,26,76,3,34.89,3.0
Cystatin C/blood,7.65e-46,9.65,63,144,3,90.56,4.0
"Homosexuality, Male",2.4e-06,0.27,2,38,0,2.11,5.0
Biosensing Techniques/methods,3.54e-22,0.05,1,18,0,1.06,3.0
Pre-Eclampsia/diagnosis,1.05e-18,4.31,47,102,2,68.66,4.0
Organizational Culture,2.91e-06,0.19,5,22,0,6.14,3.0
Child Behavior,6.12e-35,2.17,115,7,1,7.43,3.0
Protein-Tyrosine Kinases/metabolism,1.82e-20,0.14,1,59,0,1.02,7.0
Hispanic Americans,1.42e-07,4.22,204,187,14,358.42,4.0
Hematologic Tests,3.31e-06,0.08,2,6,0,2.67,3.0
Gastric Acid/secretion,1.84e-08,0.08,4,4,0,8.0,4.0
Inflammation/epidemiology,2.66e-29,19.43,76,59,11,104.8,3.0
Cognitive Therapy,2.82e-12,1.51,68,31,4,45.13,4.0
Liver Neoplasms/epidemiology,3.57e-16,5.32,42,245,5,49.2,3.0
Fertilization in Vitro,5.03e-14,1.17,127,38,2,49.37,4.0
Gastric Bypass/adverse effects,8.06e-39,17.72,170,81,49,119.59,3.0
Nitrogen/chemistry,2.78e-08,0.04,1,3,0,1.33,3.0
Myocardial Infarction/therapy,1.69e-06,4.96,13,3565,34,13.05,4.0
Hearing Aids,4.81e-09,0.03,1,1,0,2.0,3.0
Depression/complications,8.13e-29,4.21,83,174,13,122.59,4.0
Laparoscopy/methods,0.0,6.69,926,1437,236,1522.71,4.0
Laparoscopy/standards,2.34e-06,4.22,14,31,9,20.32,4.0
Tyrosine/metabolism,5.63e-13,0.05,1,11,0,1.09,5.0
Stomach Neoplasms/drug therapy,6.21e-11,3.3,4,1088,1,4.01,4.0
"Waste Disposal, Fluid",1.67e-06,0.16,2,19,0,2.21,7.0
Macrophages/drug effects,9.54e-19,0.19,1,75,0,1.01,3.0
Knowledge,7.6e-09,0.13,3,19,0,3.47,2.0
Fibroblasts/physiology,4.82e-09,0.09,1,14,0,1.07,3.0
Malnutrition/diet therapy,4.83e-26,11.59,29,54,4,44.57,3.0
Hyperglycemia/complications,1.54e-28,5.95,55,208,8,69.54,4.0
"Sodium, Dietary/adverse effects",1.3e-09,5.23,18,51,2,24.35,3.0
Appendicitis/surgery,2.11e-07,2.34,42,142,1,54.42,4.0
Teaching/methods,9.77e-24,0.1,8,32,1,10.0,2.0
Veins,7.1e-11,0.06,1,7,1,1.14,3.0
Colonic Neoplasms,3.17e-07,0.08,1,10,0,1.1,6.0
Acrylic Resins/chemistry,1.08e-07,0.03,1,1,0,2.0,5.0
"Hypertrophy, Left Ventricular/epidemiology",3.36e-29,17.61,60,54,15,102.6,4.0
Anastomotic Leak/surgery,8.75e-10,11.38,7,55,7,7.89,4.0
Electric Stimulation,1.35e-09,0.1,7,4,0,6.29,3.0
Protein Biosynthesis,2.65e-50,0.04,5,28,0,5.89,4.0
Obesity/epidemiology,1.34e-66,43.51,5139,273,352,287.5,4.0
Hearing,2.92e-12,0.03,2,1,0,1.5,4.0
Reflex/physiology,7.67e-11,0.1,7,9,0,12.44,3.0
Enoxaparin/administration & dosage,3.3e-17,7.86,24,69,4,32.35,6.0
Mental Disorders,3.28e-48,0.03,4,14,0,5.14,1.0
Cystatins/blood,8.1e-07,4.73,19,34,3,29.62,3.0
Residence Characteristics/statistics & numerical data,1.92e-51,6.55,96,185,3,145.82,3.0
Biodiversity,2.34e-26,0.23,2,125,0,2.03,4.0
Specialization,3.69e-21,0.25,4,116,0,4.14,2.0
Polymerase Chain Reaction,1.85e-15,0.22,1,70,0,1.01,4.0
Minimally Invasive Surgical Procedures/methods,1.04e-16,3.07,74,352,10,89.56,2.0
Cattle/physiology,4.74e-28,0.23,5,138,0,5.18,8.0
Microscopy/methods,3.18e-10,0.08,1,15,0,1.07,2.0
Certification,5.08e-11,0.1,1,20,0,1.05,4.0
Apolipoproteins/blood,2.48e-06,2.31,45,14,2,18.36,3.0
Malnutrition/prevention & control,1.45e-22,6.99,32,94,8,42.89,3.0
Outpatients/statistics & numerical data,2.48e-06,3.62,18,40,0,26.1,3.0
Pyrazines/therapeutic use,1.42e-08,3.26,36,151,0,44.58,3.0
Kidney Calculi/surgery,4.98e-11,2.47,61,11,1,12.98,5.0
Excitatory Amino Acid Antagonists/pharmacology,1.08e-07,0.12,1,18,0,1.06,6.0
Electrocardiography/statistics & numerical data,7.57e-08,6.59,11,114,8,12.06,4.0
Monocytes/immunology,2.67e-09,0.39,10,108,0,10.93,3.0
Diabetes Mellitus,3.26e-06,0.36,32,72,2,46.22,2.0
Inflammation/diagnosis,8.23e-12,4.0,34,72,2,50.06,3.0
Coronary Artery Disease/complications,1.39e-57,7.49,82,300,23,104.41,5.0
Sleep,1.82e-09,2.4,201,114,16,178.66,3.0
Research Personnel,3.42e-06,0.09,1,9,0,1.11,3.0
"Blood Loss, Surgical/statistics & numerical data",2.97e-08,7.0,14,25,2,21.84,4.0
Tuberculin Test,2.1e-06,0.15,6,11,0,9.27,5.0
Neoplasms/epidemiology,1.79e-20,3.32,125,1284,44,137.17,1.0
Concept Formation,1.11e-10,0.04,1,5,0,1.2,4.0
Ureter,1.66e-07,0.06,2,3,0,3.33,3.0
Genes,8.15e-69,0.01,1,7,0,1.14,5.0
B-Lymphocytes/metabolism,3.01e-09,0.16,2,29,0,2.14,3.0
Melanoma/genetics,1.1e-08,1.02,2,218,0,2.02,4.0
Calcium/pharmacology,5.29e-26,0.05,6,11,0,9.27,3.0
"Diabetes Mellitus, Type 2/physiopathology",1.16e-24,8.81,650,301,49,440.39,3.0
Melanoma/drug therapy,5.18e-10,1.97,3,564,1,3.02,4.0
Liver,1.31e-26,0.09,6,39,0,6.92,2.0
Breast Neoplasms/epidemiology,3.96e-125,6.93,397,548,40,684.61,3.0
Ethnic Groups/statistics & numerical data,1.32e-110,7.22,168,355,19,247.5,3.0
Superoxides/metabolism,7.09e-10,0.15,4,26,0,4.62,4.0
Atherosclerosis/complications,9.95e-44,8.1,60,138,9,86.09,5.0
Bariatric Surgery/statistics & numerical data,4.3e-26,33.61,27,24,16,45.33,2.0
Coronary Artery Disease/etiology,2.33e-67,7.84,105,199,14,160.4,5.0
"Hypertrophy, Left Ventricular/drug therapy",1.68e-10,4.65,21,87,6,26.07,4.0
Orthopedic Procedures,1.08e-06,0.31,13,54,0,16.13,2.0
Severity of Illness Index,7.18e-80,4.61,273,2177,63,307.23,7.0
Sulfonamides/pharmacology,5.2e-10,0.34,7,91,1,7.54,3.0
Knee Prosthesis,8.48e-12,1.38,78,30,0,41.54,4.0
Amphetamine/pharmacology,1.95e-08,0.04,1,3,0,1.33,6.0
Atherosclerosis/epidemiology,1.44e-43,15.57,131,107,17,194.4,5.0
Apoptosis/genetics,4.04e-07,0.35,4,78,0,4.21,4.0
RNA/metabolism,1.29e-17,0.07,3,16,0,3.56,3.0
Liver Diseases/epidemiology,2.67e-13,6.91,21,94,5,25.69,2.0
Nuclear Proteins/metabolism,8.33e-35,0.27,11,222,0,11.55,3.0
Metabolic Syndrome X/physiopathology,2.04e-19,16.92,279,92,22,122.34,3.0
Smoking/adverse effects,8.14e-206,4.57,540,1128,85,798.51,4.0
"Cardiac Pacing, Artificial/methods",3.05e-08,1.24,3,281,0,3.03,3.0
"RNA, Viral/genetics",7.07e-15,0.21,3,69,0,3.13,4.0
Calcitriol/pharmacology,7.64e-08,0.13,1,19,0,1.05,7.0
Isoenzymes/metabolism,3e-25,0.18,6,98,0,6.37,3.0
Renal Dialysis/methods,5.78e-10,3.77,48,620,24,51.72,3.0
Coronary Artery Disease/ethnology,2.83e-24,15.79,30,43,6,50.93,5.0
Lumbar Vertebrae/radiography,1.31e-19,2.09,67,6,0,6.54,5.0
Edema,8.41e-10,0.03,1,2,0,1.5,3.0
Brain Diseases/diagnosis,6.46e-12,0.29,3,92,0,3.1,3.0
Fresh Water/chemistry,4.41e-06,0.27,1,39,0,1.03,3.0
Hysterectomy/methods,5.59e-28,6.24,121,154,6,216.07,4.0
Costs and Cost Analysis,1.99e-08,0.17,5,27,0,5.93,3.0
Gestational Age,1.69e-25,2.98,107,362,6,138.63,3.0
Cysteine Endopeptidases/metabolism,1.03e-10,0.12,1,25,0,1.04,6.0
Occupational Exposure/adverse effects,1.85e-13,2.33,140,803,8,164.41,5.0
"Range of Motion, Articular/physiology",6.46e-13,1.32,85,14,0,16.31,3.0
"Diabetes Mellitus, Type 2/diagnosis",7.45e-19,9.87,231,131,12,205.29,3.0
Polyethylene Glycols/therapeutic use,4.36e-06,2.43,64,130,1,95.51,3.0
Proteins/pharmacology,8.75e-07,0.13,2,15,0,2.27,2.0
Metabolic Syndrome X/epidemiology,1.05e-43,26.9,1096,200,68,236.5,3.0
"Stress, Physiological",1.45e-06,0.52,30,175,2,35.14,3.0
1-Alkyl-2-acetylglycerophosphocholine Esterase/blood,4.47e-08,11.27,25,24,1,47.04,9.0
Hyperlipidemias/blood,4.65e-09,2.7,60,12,0,14.4,5.0
Peripheral Arterial Disease/blood,9.46e-09,10.96,9,17,2,13.76,4.0
"Anastomosis, Roux-en-Y/methods",4.46e-13,10.12,19,29,7,31.45,3.0
Life Expectancy,2.26e-11,5.69,19,1024,55,19.35,4.0
"Water Pollutants, Chemical/analysis",1.09e-44,0.13,12,108,0,13.33,5.0
Osteoprotegerin/blood,2.99e-19,11.76,51,54,4,99.17,9.0
DNA/metabolism,2.88e-51,0.05,11,18,0,17.72,3.0
Stomach Neoplasms/metabolism,3.99e-07,2.67,2,544,1,2.01,4.0
Blood Platelets,1.53e-09,0.15,4,24,1,4.67,3.0
Drug Therapy,4.83e-38,0.06,4,32,0,4.5,2.0
Bone Neoplasms/pathology,3.1e-12,1.08,1,294,0,1.0,3.0
Nursing Care/standards,3.68e-13,0.08,1,19,0,1.05,3.0
Extracorporeal Circulation,5.32e-10,0.25,1,56,0,1.02,2.0
Skin/cytology,8.26e-08,0.07,2,5,0,2.8,2.0
Chronic Disease/epidemiology,2.21e-58,5.93,99,250,17,138.2,4.0
Bone Density Conservation Agents/therapeutic use,8.35e-12,2.59,62,214,1,79.96,4.0
"Gene Expression Regulation, Neoplastic",1.23e-36,1.31,19,1495,1,19.24,4.0
"Carcinoma, Renal Cell/epidemiology",1.75e-23,12.42,42,55,4,74.07,5.0
Lung/pathology,1.1e-13,1.0,15,543,3,15.41,2.0
Tissue Plasminogen Activator/therapeutic use,2.18e-06,2.15,1,432,3,1.0,3.0
Metal Nanoparticles/chemistry,1.17e-27,0.05,1,27,0,1.04,5.0
Cardiovascular Diseases/etiology,0.0,12.08,1028,1873,197,1592.22,1.0
Angiography,2.66e-31,0.08,3,48,0,3.19,4.0
Inpatients/statistics & numerical data,1.4e-08,5.71,26,272,5,28.49,3.0
Acculturation,3.19e-08,3.01,93,25,2,31.72,5.0
Hospitals/standards,1.44e-09,1.58,1,374,1,1.0,3.0
Adipose Tissue/anatomy & histology,2.95e-12,14.57,410,5,8,5.06,3.0
Ammonia/metabolism,1.61e-07,0.11,1,16,0,1.06,3.0
Animal Nutritional Physiological Phenomena,6.53e-09,0.35,6,83,1,6.43,4.0
"Antibodies, Bacterial/analysis",4.09e-12,0.08,2,14,0,2.29,7.0
"Students, Nursing",4.06e-07,0.13,8,6,0,10.5,4.0
Prostatic Neoplasms/complications,3.8e-09,3.97,39,69,4,61.04,4.0
Spermatozoa/physiology,2.33e-11,0.17,10,32,0,13.12,3.0
Kidney,3.91e-37,0.08,8,39,1,9.64,3.0
Menopause,1.69e-17,2.06,163,77,6,113.37,4.0
Heart Failure/physiopathology,1.34e-12,3.1,90,1026,38,97.89,3.0
Immunoglobulin G/immunology,8.28e-13,0.19,3,51,0,3.18,8.0
Ovarian Neoplasms/genetics,1.54e-08,1.53,8,473,0,8.14,3.0
"Ventricular Function, Left/physiology",2.72e-35,3.03,140,342,13,197.31,5.0
Dyslipidemias/epidemiology,1.5e-15,22.83,131,42,15,55.47,4.0
Allergens/immunology,3.67e-10,0.16,10,23,0,14.35,3.0
Osteoporotic Fractures/epidemiology,5.55e-17,11.91,35,41,6,64.88,3.0
Functional Laterality/physiology,4.77e-22,0.06,4,17,0,4.94,4.0
"RNA, Messenger/genetics",1.62e-23,0.27,15,157,1,16.43,4.0
Atherosclerosis/prevention & control,8.48e-11,3.04,38,109,2,51.25,5.0
Pre-Eclampsia/etiology,1.57e-06,6.47,69,55,5,98.84,4.0
"Indians, North American/statistics & numerical data",4.17e-38,7.01,69,192,1,93.8,5.0
Asthma/blood,3.17e-15,2.24,54,5,0,5.46,3.0
"Diabetes Mellitus, Type 1/psychology",6.72e-09,1.65,39,9,1,11.08,3.0
"Absorptiometry, Photon",4.52e-09,8.19,156,6,2,6.23,5.0
"RNA, Messenger/metabolism",8.24e-36,0.17,25,114,0,30.48,4.0
Cystectomy/adverse effects,1.36e-10,8.07,12,61,6,14.36,4.0
Hypoglycemic Agents/administration & dosage,1.17e-17,5.86,298,236,10,422.9,4.0
Cereals,1.54e-08,2.41,81,29,4,39.38,1.0
Breast Neoplasms/blood,3.26e-25,4.5,112,181,12,181.3,3.0
Intestinal Mucosa/immunology,1.58e-07,0.25,3,42,0,3.21,4.0
Molecular Chaperones/metabolism,1.4e-08,0.13,1,21,0,1.05,3.0
Transforming Growth Factor beta/pharmacology,1.25e-11,0.07,1,15,0,1.07,4.0
Subtraction Technique,5.71e-09,0.08,3,7,0,4.29,4.0
Seizures,1.37e-08,0.03,1,2,0,1.5,3.0
Glycoproteins/metabolism,2.83e-17,0.29,6,121,0,6.3,3.0
Electric Power Supplies,6.47e-07,0.1,1,13,0,1.08,3.0
Adipocytes/metabolism,1.07e-26,2.46,125,15,3,16.8,3.0
Personal Satisfaction,5.68e-15,3.14,207,59,2,75.82,3.0
Facial Expression,2.89e-07,0.13,8,3,1,4.12,4.0
Arousal,5.11e-08,0.1,5,6,0,9.17,3.0
Head and Neck Neoplasms/pathology,7.95e-07,1.72,2,431,5,2.01,3.0
Attitude to Health,3.89e-19,1.11,361,501,14,621.12,3.0
Nuclear Proteins,5.22e-08,0.3,11,62,0,12.95,3.0
Thromboembolism/epidemiology,4.21e-06,4.84,14,99,4,15.98,4.0
Religion and Medicine,5.1e-08,0.33,10,71,1,11.41,3.0
Vitamins/administration & dosage,5.21e-08,4.0,79,101,5,140.79,4.0
Membrane Glycoproteins/physiology,6.97e-08,0.31,3,64,0,3.14,4.0
Iron,1.02e-12,0.09,1,18,1,1.06,4.0
Peptides/chemistry,5.43e-47,0.02,1,16,0,1.06,2.0
Neuronal Plasticity,6.04e-07,0.04,1,2,0,1.5,4.0
Chromosome Mapping/methods,1.41e-07,0.13,6,12,0,9.0,3.0
Brain Neoplasms/drug therapy,1.35e-13,2.5,1,815,1,1.0,4.0
Growth Hormone/pharmacology,3.21e-06,0.19,8,18,0,11.56,6.0
Exercise Tolerance,4.42e-22,7.01,108,115,14,209.43,4.0
Skin Neoplasms/surgery,1.66e-12,0.89,3,291,1,3.03,3.0
Family Practice/education,1.7e-15,0.07,3,16,0,3.56,4.0
"Surgery, Plastic",8.12e-19,0.06,5,10,0,7.5,4.0
Adrenergic alpha-Agonists/pharmacology,5.65e-08,0.07,1,8,0,1.12,7.0
Aortic Valve Stenosis/surgery,8.39e-08,5.87,31,1224,37,31.79,4.0
"Pulmonary Disease, Chronic Obstructive/epidemiology",4.75e-48,8.3,68,243,14,87.03,4.0
"Radiography, Thoracic",6.07e-11,0.26,10,68,0,11.47,5.0
Obesity,1.87e-09,7.72,488,30,50,31.84,4.0
Pelvis,4.01e-09,0.1,3,12,0,3.75,3.0
"Hypertrophy, Left Ventricular/blood",4.27e-08,14.83,38,25,1,41.45,4.0
Nervous System Physiological Phenomena,1.46e-32,0.01,1,3,0,1.33,2.0
Obesity/diet therapy,5.95e-11,17.84,668,16,11,16.38,4.0
Birth Weight,8.29e-24,6.75,556,354,21,579.39,4.0
Peptide Hydrolases/metabolism,1.89e-15,0.12,2,34,0,2.12,4.0
Bicycling/physiology,1.81e-11,3.41,99,15,1,17.27,5.0
Freezing,7.4e-13,0.11,1,27,0,1.04,4.0
Coronary Artery Disease/therapy,2.69e-06,6.1,39,1373,26,40.11,5.0
Femur/radiography,3.22e-09,2.49,41,5,0,5.61,6.0
"Chemistry Techniques, Analytical/methods",1.68e-06,0.05,1,4,0,1.25,2.0
Melanoma/metabolism,4.04e-07,0.89,3,173,0,3.05,4.0
Dog Diseases/pathology,2.17e-12,1.17,1,321,0,1.0,2.0
Pharmaceutical Services,2.91e-06,0.11,2,8,1,2.5,3.0
Insulin/physiology,8.51e-21,2.28,101,18,1,21.21,7.0
Chromosomes,7.63e-25,0.02,1,4,0,1.25,3.0
Marketing of Health Services,1.8e-09,0.04,1,5,0,1.2,4.0
Hydrocortisone/pharmacology,2.13e-12,0.07,2,14,0,2.29,6.0
Neurons/physiology,6.51e-140,0.03,5,54,0,5.46,2.0
Secondary Prevention/methods,3.57e-12,7.31,23,137,3,26.86,2.0
Lymphography,4.65e-06,0.04,1,2,0,1.5,5.0
Uterine Prolapse/surgery,1.07e-07,1.91,44,17,0,23.57,5.0
Neoplasm Proteins/genetics,3.93e-08,1.05,15,387,0,15.58,3.0
Food Analysis/methods,1.11e-06,0.07,3,2,0,3.33,2.0
Epilepsy/physiopathology,5.8e-09,0.25,9,53,0,10.53,4.0
Vascular Stiffness/physiology,1.86e-13,10.54,75,55,7,95.33,3.0
Attitude of Health Personnel,2.37e-51,0.34,83,536,5,95.85,3.0
Gene Expression Regulation/drug effects,4.59e-21,0.24,14,120,0,15.63,3.0
Cytodiagnosis,1.5e-12,0.07,1,15,0,1.07,3.0
Pain/drug therapy,4.46e-20,0.3,21,162,1,23.72,3.0
"Diet, Mediterranean",6.3e-57,13.5,135,137,24,268.03,4.0
Cattle/genetics,2.11e-14,0.13,1,37,0,1.03,8.0
Swine/genetics,4.84e-06,0.28,2,38,0,2.11,7.0
Policy Making,4.52e-06,0.34,3,68,0,3.13,3.0
Cornea/surgery,7.22e-11,0.03,1,2,0,1.5,4.0
Uterus/drug effects,1.23e-09,0.07,1,11,0,1.09,4.0
Carbohydrates/chemistry,2.27e-07,0.04,1,3,0,1.33,1.0
Laboratories,9.82e-13,0.13,6,26,0,7.38,3.0
"Tumor Markers, Biological/metabolism",1.1e-11,3.99,20,2504,4,20.16,1.0
Liver Cirrhosis/pathology,7.73e-09,2.27,49,136,3,66.65,3.0
"Emergency Service, Hospital",1.61e-06,1.39,26,616,0,27.1,4.0
Premenopause,1.1e-06,9.76,109,56,2,84.77,5.0
"Fatty Acids, Omega-3/therapeutic use",9.23e-09,3.56,32,149,2,38.87,4.0
HLA Antigens/immunology,5.58e-09,1.19,2,263,0,2.02,5.0
Vasodilation/physiology,3.18e-08,1.92,87,53,8,85.29,5.0
Bariatric Surgery/methods,9.99e-48,28.98,226,70,57,91.68,2.0
Aromatase Inhibitors/therapeutic use,1.41e-07,4.44,22,146,4,25.32,6.0
Pancreatic Fistula/etiology,3.28e-16,8.82,19,79,7,23.57,3.0
Health Behavior,4.92e-17,6.75,1305,605,86,885.48,3.0
Cell Adhesion,2.18e-08,0.11,3,13,0,3.69,3.0
Skin Neoplasms/therapy,9.63e-09,1.43,1,283,0,1.0,3.0
Substance-Related Disorders/prevention & control,5.57e-09,0.21,2,40,0,2.1,2.0
Burns/therapy,1.8e-07,0.94,4,239,3,4.07,2.0
Radiation Dosage,4.65e-19,1.64,154,103,1,171.89,3.0
"Stress, Physiological/physiopathology",7.65e-07,0.24,9,34,1,11.38,3.0
"Transcription, Genetic/drug effects",3.33e-14,0.08,1,20,0,1.05,4.0
Insulin/genetics,8.91e-08,1.73,31,5,0,5.81,7.0
Crime,8.3e-07,0.27,4,42,0,4.38,3.0
Phenols/analysis,4.12e-06,0.1,4,4,0,8.0,6.0
Immunosuppressive Agents/therapeutic use,3.69e-09,1.78,53,1586,8,54.77,5.0
Fatty Liver/epidemiology,1.63e-08,28.48,191,37,7,44.17,3.0
DNA Damage/drug effects,1.19e-06,0.23,2,32,0,2.12,3.0
Disease Outbreaks/prevention & control,5e-10,1.09,6,340,0,6.11,3.0
"Adaptation, Physiological",1.54e-06,0.47,61,177,0,82.02,3.0
Chlamydia Infections/diagnosis,3.51e-06,0.07,1,6,0,1.17,4.0
Superoxide Dismutase/metabolism,3.93e-08,0.29,6,58,1,6.62,4.0
Uterus,5.75e-20,0.02,1,4,0,1.25,4.0
Anthropometry,2.12e-10,11.08,639,24,38,24.9,2.0
Hispanic Americans/psychology,2.02e-13,2.44,87,21,0,26.07,4.0
Tumor Necrosis Factor-alpha/blood,6.87e-11,9.41,140,82,3,130.03,4.0
Disease Progression,3.16e-22,3.63,76,365,13,91.82,4.0
Transforming Growth Factor beta/physiology,8.93e-07,0.16,1,21,0,1.05,4.0
"Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization/methods",7.51e-11,0.12,3,23,0,3.39,4.0
European Continental Ancestry Group/psychology,1.28e-06,4.03,116,26,1,31.83,4.0
Diffusion of Innovation,2.01e-17,0.2,2,72,0,2.06,3.0
Electrophysiology,5.32e-15,0.02,1,2,0,1.5,4.0
"Fracture Fixation, Internal/instrumentation",2.18e-06,0.34,5,56,0,5.45,4.0
Gastrectomy,7.35e-10,1.84,94,419,23,115.09,3.0
"Nursing Staff, Hospital",3.7e-08,0.24,8,43,0,9.49,4.0
