Metabolite	Label	Class	Subclass	Study
hdld	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	Both
ldld	Mean diameter for LDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	Both
vldld	Mean diameter for VLDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	Both
xxlvldlc	Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Interval
xxlvldlce	Cholesterol esters in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Interval
xxlvldlfc	Free cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Interval
xxlvldll	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Both
xxlvldlp	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	Lipoprotein subclasses	Extremely large VLDL	Both
xxlvldlpl	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Both
xxlvldltg	Triglycerides in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Both
idlc	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Both
idlce	Cholesterol esters in IDL (mmol/l)	Lipoprotein subclasses	IDL	Interval
idlfc	Free cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Both
idll	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Both
idlp	Concentration of IDL particles (mol/l)	Lipoprotein subclasses	IDL	Both
idlpl	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Both
idltg	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	Both
lhdlc	Total cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Both
lhdlce	Cholesterol esters in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Both
lhdlfc	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Both
lhdll	Total lipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Both
lhdlp	Concentration of large HDL particles (mol/l)	Lipoprotein subclasses	Large HDL	Both
lhdlpl	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Both
lhdltg	Triglycerides in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Interval
lldlc	Total cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Both
lldlce	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Both
lldlfc	Free cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Both
lldll	Total lipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Both
lldlp	Concentration of large LDL particles (mol/l)	Lipoprotein subclasses	Large LDL	Both
lldlpl	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Both
lldltg	Triglycerides in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Interval
lvldlc	Total cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Both
lvldlce	Cholesterol esters in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Both
lvldlfc	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Both
lvldll	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Both
lvldlp	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Both
lvldlpl	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Both
lvldltg	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Both
mhdlc	Total cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Both
mhdlce	Cholesterol esters in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Both
mhdlfc	Free cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Both
mhdll	Total lipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Both
mhdlp	Concentration of medium HDL particles (mol/l)	Lipoprotein subclasses	Medium HDL	Both
mhdlpl	Phospholipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Both
mhdltg	Triglycerides in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Interval
mldlc	Total cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Both
mldlce	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Both
mldlfc	Free cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Interval
mldll	Total lipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Both
mldlp	Concentration of medium LDL particles (mol/l)	Lipoprotein subclasses	Medium LDL	Both
mldlpl	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Both
mldltg	Triglycerides in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Interval
mvldlc	Total cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Both
mvldlce	Cholesterol esters in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Both
mvldlfc	Free cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Both
mvldll	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Both
mvldlp	Concentration of medium VLDL particles (mol/l)	Lipoprotein subclasses	Medium VLDL	Both
mvldlpl	Phospholipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Both
mvldltg	Triglycerides in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Both
shdlc	Total cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Interval
shdlce	Cholesterol esters in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Interval
shdlfc	Free cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Interval
shdll	Total lipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Both
shdlp	Concentration of small HDL particles (mol/l)	Lipoprotein subclasses	Small HDL	Both
shdlpl	Phospholipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Interval
shdltg	Triglycerides in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Both
sldlc	Total cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Both
sldlce	Cholesterol esters in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Interval
sldlfc	Free cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Interval
sldll	Total lipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Both
sldlp	Concentration of small LDL particles (mol/l)	Lipoprotein subclasses	Small LDL	Both
sldlpl	Phospholipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Interval
sldltg	Triglycerides in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Interval
svldlc	Total cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Both
svldlce	Cholesterol esters in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Interval
svldlfc	Free cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Both
svldll	Total lipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Both
svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Both
svldlpl	Phospholipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Both
svldltg	Triglycerides in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Both
xlhdlc	Total cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Both
xlhdlce	Cholesterol esters in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Both
xlhdlfc	Free cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Both
xlhdll	Total lipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Both
xlhdlp	Concentration of very large HDL particles (mol/l)	Lipoprotein subclasses	Very large HDL	Both
xlhdlpl	Phospholipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Both
xlhdltg	Triglycerides in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Both
xlvldlc	Total cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Interval
xlvldlce	Cholesterol esters in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Interval
xlvldlfc	Free cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Interval
xlvldll	Total lipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Both
xlvldlp	Concentration of very large VLDL particles (mol/l)	Lipoprotein subclasses	Very large VLDL	Both
xlvldlpl	Phospholipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Both
xlvldltg	Triglycerides in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Both
xsvldlc	Total cholesterol in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Interval
xsvldlce	Cholesterol esters in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Interval
xsvldlfc	Free cholesterol in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Interval
xsvldll	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Both
xsvldlp	Concentration of very small VLDL particles (mol/l)	Lipoprotein subclasses	Very Small VLDL	Both
xsvldlpl	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Both
xsvldltg	Triglycerides in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Both
apobbyapoa1	NA	NA	NA	Interval
clabyfa	NA	NA	NA	Interval
dagbytg	NA	NA	NA	Interval
dhabyfa	NA	NA	NA	Interval
faw3byfa	NA	NA	NA	Interval
faw6byfa	NA	NA	NA	Interval
glyca	NA	NA	NA	Interval
labyfa	NA	NA	NA	Interval
mufabyfa	NA	NA	NA	Interval
pufabyfa	NA	NA	NA	Interval
sfabyfa	NA	NA	NA	Interval
tgbypg	NA	NA	NA	Interval
unsatdeg	NA	NA	NA	Interval
NA	Ratio of bisallylic groups to double bonds	NA	NA	Kettunen
NA	Ratio of bisallylic groups to total fatty acids	NA	NA	Kettunen
NA	Average number of methylene groups per double bond	NA	NA	Kettunen
NA	Average number of methylene groups in a fatty acid chain	NA	NA	Kettunen
NA	Average number of double bonds in a fatty acid chain	NA	NA	Kettunen
NA	Omega-7, omega-9 and saturated fatty acids	NA	NA	Kettunen
NA	Glycoproteins	NA	NA	Kettunen
NA	Other polyunsaturated fatty acids than 18:2	NA	NA	Kettunen
NA	Urea	NA	NA	Kettunen
