id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	subcategory.outcome	originalname.outcome
Lu BF EU sex combined 7 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.607780348923174	0.610949405783442	0.365502384757476	Fatty acid	Ratio of bisallylic groups to total fatty acids
Lu BF EU sex combined 7 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.0244263466000432	0.170152320926476	0.885851273145232	Fatty acid	Ratio of bisallylic groups to total fatty acids
Lu BF EU sex combined 7 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.0553960758762317	0.117710096359075	0.637916064815363	Fatty acid	Ratio of bisallylic groups to total fatty acids
Lu BF EU sex combined 7 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.0110753617150277	0.222438196379468	0.961905268650722	Fatty acid	Ratio of bisallylic groups to total fatty acids
Lu BF EU sex combined 7 SNPs	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 7 SNPs	MR Egger	7	-0.564372901519917	0.606590074016217	0.394867335850881	Lipid	3-hydroxybutyrate
Lu BF EU sex combined 7 SNPs	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.0996359126960859	0.139930301956127	0.476440270137573	Lipid	3-hydroxybutyrate
Lu BF EU sex combined 7 SNPs	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.130732112712569	0.13558211727108	0.334931485361024	Lipid	3-hydroxybutyrate
Lu BF EU sex combined 7 SNPs	846	3-hydroxybutyrate || id:846	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.043445151709782	0.176108848512043	0.813367979145979	Lipid	3-hydroxybutyrate
Lu BF EU sex combined 7 SNPs	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.0332593670815591	0.602994408994516	0.95814952320224	Metabolites ratio	Average number of methylene groups per double bond
Lu BF EU sex combined 7 SNPs	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.0371345397607617	0.164337889430001	0.821228980285838	Metabolites ratio	Average number of methylene groups per double bond
Lu BF EU sex combined 7 SNPs	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.0495178973976013	0.11181032289395	0.657856793863371	Metabolites ratio	Average number of methylene groups per double bond
Lu BF EU sex combined 7 SNPs	847	Average number of methylene groups per double bond || id:847	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.0705130181924224	0.228878376312689	0.768436015390138	Metabolites ratio	Average number of methylene groups per double bond
Lu BF EU sex combined 7 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 7 SNPs	MR Egger	7	-0.164237182342852	0.524566420853659	0.766849984910035	Fatty acid	Average number of methylene groups in a fatty acid chain
Lu BF EU sex combined 7 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.173198336990546	0.143585486955365	0.22772555762014	Fatty acid	Average number of methylene groups in a fatty acid chain
Lu BF EU sex combined 7 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.150890531315988	0.0882573889390186	0.0873279171218132	Fatty acid	Average number of methylene groups in a fatty acid chain
Lu BF EU sex combined 7 SNPs	848	Average number of methylene groups in a fatty acid chain || id:848	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.222126541350962	0.206120946790575	0.322597377484271	Fatty acid	Average number of methylene groups in a fatty acid chain
Lu BF EU sex combined 7 SNPs	849	Citrate || id:849	Lu BF EU sex combined 7 SNPs	MR Egger	7	-0.484761161178403	0.4551711090881	0.335576427764728	Energy	Citrate
Lu BF EU sex combined 7 SNPs	849	Citrate || id:849	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.0493817760589461	0.124699477699602	0.692100396703707	Energy	Citrate
Lu BF EU sex combined 7 SNPs	849	Citrate || id:849	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.0331857754304656	0.0811971540695246	0.682755327209792	Energy	Citrate
Lu BF EU sex combined 7 SNPs	849	Citrate || id:849	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.072971935737284	0.153844970380447	0.652040344254849	Energy	Citrate
Lu BF EU sex combined 7 SNPs	850	Creatinine || id:850	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.0652841850318828	0.454356015606154	0.891360567945073	Amino acid	Creatinine
Lu BF EU sex combined 7 SNPs	850	Creatinine || id:850	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.00273389981004805	0.121345603871574	0.982025290949693	Amino acid	Creatinine
Lu BF EU sex combined 7 SNPs	850	Creatinine || id:850	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.0181931785218916	0.0504576653091683	0.718425984800432	Amino acid	Creatinine
Lu BF EU sex combined 7 SNPs	850	Creatinine || id:850	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.0128393674578903	0.165981745331072	0.940856906377228	Amino acid	Creatinine
Lu BF EU sex combined 7 SNPs	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.191629221325562	0.580552326225842	0.754719784051419	Fatty acid	Average number of double bonds in a fatty acid chain
Lu BF EU sex combined 7 SNPs	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.0429687493650832	0.151446829448958	0.776623676504365	Fatty acid	Average number of double bonds in a fatty acid chain
Lu BF EU sex combined 7 SNPs	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.0966034731875024	0.117720866378695	0.411865773052409	Fatty acid	Average number of double bonds in a fatty acid chain
Lu BF EU sex combined 7 SNPs	851	Average number of double bonds in a fatty acid chain || id:851	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.0316570355762409	0.18628010184952	0.870640143474841	Fatty acid	Average number of double bonds in a fatty acid chain
Lu BF EU sex combined 7 SNPs	852	22:6, docosahexaenoic acid || id:852	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.766111913421647	0.805519251941279	0.385240100580394	Fatty acid	22:6, docosahexaenoic acid
Lu BF EU sex combined 7 SNPs	852	22:6, docosahexaenoic acid || id:852	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.0444304828747419	0.182839241036467	0.808003078583984	Fatty acid	22:6, docosahexaenoic acid
Lu BF EU sex combined 7 SNPs	852	22:6, docosahexaenoic acid || id:852	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.0401639143448996	0.172394148022858	0.815779072392355	Fatty acid	22:6, docosahexaenoic acid
Lu BF EU sex combined 7 SNPs	852	22:6, docosahexaenoic acid || id:852	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.00337947759792678	0.335598650122284	0.992291915795006	Fatty acid	22:6, docosahexaenoic acid
Lu BF EU sex combined 7 SNPs	853	Free cholesterol to esterified cholesterol ratio || id:853	Lu BF EU sex combined 7 SNPs	MR Egger	7	-1.64848140599935	1.81221227479373	0.404721941794151	Lipid	Free cholesterol to esterified cholesterol ratio
Lu BF EU sex combined 7 SNPs	853	Free cholesterol to esterified cholesterol ratio || id:853	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.11709873526227	0.197805700140051	0.553858168884746	Lipid	Free cholesterol to esterified cholesterol ratio
Lu BF EU sex combined 7 SNPs	853	Free cholesterol to esterified cholesterol ratio || id:853	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.372995166332551	0.37679238338962	0.322212120090185	Lipid	Free cholesterol to esterified cholesterol ratio
Lu BF EU sex combined 7 SNPs	853	Free cholesterol to esterified cholesterol ratio || id:853	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.14394314777467	0.201994171551839	0.502844585160611	Lipid	Free cholesterol to esterified cholesterol ratio
Lu BF EU sex combined 7 SNPs	854	Description of average fatty acid chain length, not actual carbon number || id:854	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.563459565466229	0.650623330681282	0.426068525734234	Fatty acid	Description of average fatty acid chain length, not actual carbon number
Lu BF EU sex combined 7 SNPs	854	Description of average fatty acid chain length, not actual carbon number || id:854	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.116827618487368	0.166693929096844	0.483395963198468	Fatty acid	Description of average fatty acid chain length, not actual carbon number
Lu BF EU sex combined 7 SNPs	854	Description of average fatty acid chain length, not actual carbon number || id:854	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.0832802666578457	0.135867611556308	0.539908358752318	Fatty acid	Description of average fatty acid chain length, not actual carbon number
Lu BF EU sex combined 7 SNPs	854	Description of average fatty acid chain length, not actual carbon number || id:854	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.203326945167794	0.200193360259619	0.348986672813466	Fatty acid	Description of average fatty acid chain length, not actual carbon number
Lu BF EU sex combined 7 SNPs	855	Omega-3 fatty acids || id:855	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.0961565450038746	0.997178783410067	0.926925968427507	Fatty acid	Omega-3 fatty acids
Lu BF EU sex combined 7 SNPs	855	Omega-3 fatty acids || id:855	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.157580810865859	0.203448689756872	0.438606692383409	Fatty acid	Omega-3 fatty acids
Lu BF EU sex combined 7 SNPs	855	Omega-3 fatty acids || id:855	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.0950672437121421	0.198030224468804	0.631181662834338	Fatty acid	Omega-3 fatty acids
Lu BF EU sex combined 7 SNPs	855	Omega-3 fatty acids || id:855	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.463478719847684	0.513285052295721	0.401339944642014	Fatty acid	Omega-3 fatty acids
Lu BF EU sex combined 7 SNPs	856	Omega-6 fatty acids || id:856	Lu BF EU sex combined 7 SNPs	MR Egger	7	-1.59494157284114	1.76426331184213	0.407426252911247	Fatty acid	Omega-6 fatty acids
Lu BF EU sex combined 7 SNPs	856	Omega-6 fatty acids || id:856	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.217404477114408	0.191349847159716	0.255888657038705	Fatty acid	Omega-6 fatty acids
Lu BF EU sex combined 7 SNPs	856	Omega-6 fatty acids || id:856	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.386627228844293	0.365855527427962	0.290613969807394	Fatty acid	Omega-6 fatty acids
Lu BF EU sex combined 7 SNPs	856	Omega-6 fatty acids || id:856	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.182401231522546	0.190564835177337	0.375447120394769	Fatty acid	Omega-6 fatty acids
Lu BF EU sex combined 7 SNPs	857	Omega-7, omega-9 and saturated fatty acids || id:857	Lu BF EU sex combined 7 SNPs	MR Egger	7	-0.729657354005436	1.30938232089667	0.601378256987579	Fatty acid	Omega-7, omega-9 and saturated fatty acids
Lu BF EU sex combined 7 SNPs	857	Omega-7, omega-9 and saturated fatty acids || id:857	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.110680384833511	0.189708355818378	0.559607986706366	Fatty acid	Omega-7, omega-9 and saturated fatty acids
Lu BF EU sex combined 7 SNPs	857	Omega-7, omega-9 and saturated fatty acids || id:857	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.210526993186914	0.263287388526052	0.423937310337694	Fatty acid	Omega-7, omega-9 and saturated fatty acids
Lu BF EU sex combined 7 SNPs	857	Omega-7, omega-9 and saturated fatty acids || id:857	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.214180627436547	0.214819988017898	0.357247920803454	Fatty acid	Omega-7, omega-9 and saturated fatty acids
Lu BF EU sex combined 7 SNPs	858	Free cholesterol || id:858	Lu BF EU sex combined 7 SNPs	MR Egger	7	-1.27012624737496	1.6594991733853	0.478603564119026	Lipid	Free cholesterol
Lu BF EU sex combined 7 SNPs	858	Free cholesterol || id:858	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.184669171034957	0.192713857894834	0.337933788658983	Lipid	Free cholesterol
Lu BF EU sex combined 7 SNPs	858	Free cholesterol || id:858	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.321236538496146	0.339435540468477	0.343952501844911	Lipid	Free cholesterol
Lu BF EU sex combined 7 SNPs	858	Free cholesterol || id:858	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.240036247607769	0.180647274808956	0.232225902051391	Lipid	Free cholesterol
Lu BF EU sex combined 7 SNPs	859	Glucose || id:859	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.698571011393383	0.456002724974593	0.186104391525467	Carbohydrate	Glucose
Lu BF EU sex combined 7 SNPs	859	Glucose || id:859	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.244296680932611	0.126099300065186	0.0527043160114475	Carbohydrate	Glucose
Lu BF EU sex combined 7 SNPs	859	Glucose || id:859	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.207653797734258	0.0923974906453779	0.0246146980484313	Carbohydrate	Glucose
Lu BF EU sex combined 7 SNPs	859	Glucose || id:859	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.251012684537586	0.1570979193469	0.161199956975967	Carbohydrate	Glucose
Lu BF EU sex combined 7 SNPs	860	Glutamine || id:860	Lu BF EU sex combined 7 SNPs	MR Egger	7	-0.519433631405003	0.602520632154998	0.428033530064141	Amino acid	Glutamine
Lu BF EU sex combined 7 SNPs	860	Glutamine || id:860	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.104708720878938	0.133653444282232	0.433371996329921	Amino acid	Glutamine
Lu BF EU sex combined 7 SNPs	860	Glutamine || id:860	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.00352474013289969	0.128388358729719	0.978097839081174	Amino acid	Glutamine
Lu BF EU sex combined 7 SNPs	860	Glutamine || id:860	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.100582101928797	0.181962171225822	0.600396928492289	Amino acid	Glutamine
Lu BF EU sex combined 7 SNPs	861	Glycerol || id:861	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.518110286962829	0.64311886128825	0.457047616685273	Lipid	Glycerol
Lu BF EU sex combined 7 SNPs	861	Glycerol || id:861	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.0866191341400429	0.144503441353736	0.548888777215806	Lipid	Glycerol
Lu BF EU sex combined 7 SNPs	861	Glycerol || id:861	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.0263242342678274	0.134663715111338	0.84501619795761	Lipid	Glycerol
Lu BF EU sex combined 7 SNPs	861	Glycerol || id:861	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.118348519025334	0.19125101263518	0.558785969137151	Lipid	Glycerol
Lu BF EU sex combined 7 SNPs	862	Glycoproteins || id:862	Lu BF EU sex combined 7 SNPs	MR Egger	7	-1.23321626894377	0.522414978068525	0.064702293474766	Protein	Glycoproteins
Lu BF EU sex combined 7 SNPs	862	Glycoproteins || id:862	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.0144920322121073	0.159367753930216	0.927544610821708	Protein	Glycoproteins
Lu BF EU sex combined 7 SNPs	862	Glycoproteins || id:862	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.0027221359398016	0.142979195229473	0.984810244380462	Protein	Glycoproteins
Lu BF EU sex combined 7 SNPs	862	Glycoproteins || id:862	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.328592623704285	0.234337480266629	0.210410517144904	Protein	Glycoproteins
Lu BF EU sex combined 7 SNPs	863	Glycoprotein acetyls || id:863	Lu BF EU sex combined 7 SNPs	MR Egger	6	-1.64613797534355	0.974095582125035	0.166309624983896	Protein	Glycoprotein acetyls
Lu BF EU sex combined 7 SNPs	863	Glycoprotein acetyls || id:863	Lu BF EU sex combined 7 SNPs	Weighted median	6	-0.0525630546591797	0.205065643685686	0.797701387437299	Protein	Glycoprotein acetyls
Lu BF EU sex combined 7 SNPs	863	Glycoprotein acetyls || id:863	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	6	-0.117976216215165	0.214982807634088	0.583162978637828	Protein	Glycoprotein acetyls
Lu BF EU sex combined 7 SNPs	863	Glycoprotein acetyls || id:863	Lu BF EU sex combined 7 SNPs	Weighted mode	6	0.155898527368479	0.352557519146334	0.67682128813804	Protein	Glycoprotein acetyls
Lu BF EU sex combined 7 SNPs	864	Total cholesterol in HDL || id:864	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.157377410932898	1.28471484113999	0.907274578480435	Lipid	Total cholesterol in HDL
Lu BF EU sex combined 7 SNPs	864	Total cholesterol in HDL || id:864	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.0724472813690518	0.179273499115035	0.686127452588309	Lipid	Total cholesterol in HDL
Lu BF EU sex combined 7 SNPs	864	Total cholesterol in HDL || id:864	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.231375241449325	0.254578361399497	0.363425789048877	Lipid	Total cholesterol in HDL
Lu BF EU sex combined 7 SNPs	864	Total cholesterol in HDL || id:864	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.248531821405265	0.197018003775217	0.253964838024171	Lipid	Total cholesterol in HDL
Lu BF EU sex combined 7 SNPs	865	Mean diameter for HDL particles || id:865	Lu BF EU sex combined 7 SNPs	MR Egger	6	1.81330641039851	1.29078961194044	0.232774841076898	Lipid	Mean diameter for HDL particles
Lu BF EU sex combined 7 SNPs	865	Mean diameter for HDL particles || id:865	Lu BF EU sex combined 7 SNPs	Weighted median	6	0.425584018991276	0.210291085582749	0.0429922418563473	Lipid	Mean diameter for HDL particles
Lu BF EU sex combined 7 SNPs	865	Mean diameter for HDL particles || id:865	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	6	0.386949349406748	0.255348635812952	0.129677057985623	Lipid	Mean diameter for HDL particles
Lu BF EU sex combined 7 SNPs	865	Mean diameter for HDL particles || id:865	Lu BF EU sex combined 7 SNPs	Weighted mode	6	0.769957425801291	0.354945817373477	0.0822234183007373	Lipid	Mean diameter for HDL particles
Lu BF EU sex combined 7 SNPs	866	Histidine || id:866	Lu BF EU sex combined 7 SNPs	MR Egger	6	0.251310495969546	0.947565814535054	0.803949377266311	Amino acid	Histidine
Lu BF EU sex combined 7 SNPs	866	Histidine || id:866	Lu BF EU sex combined 7 SNPs	Weighted median	6	-0.167536633020284	0.179854003644264	0.351587427956539	Amino acid	Histidine
Lu BF EU sex combined 7 SNPs	866	Histidine || id:866	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	6	-0.159854508004206	0.167248798949652	0.339179010913533	Amino acid	Histidine
Lu BF EU sex combined 7 SNPs	866	Histidine || id:866	Lu BF EU sex combined 7 SNPs	Weighted mode	6	-0.183401692950028	0.230565292315359	0.462428953089416	Amino acid	Histidine
Lu BF EU sex combined 7 SNPs	867	Total cholesterol in IDL || id:867	Lu BF EU sex combined 7 SNPs	MR Egger	6	-4.56298933625627	1.55114489627514	0.0423177963380118	Lipid	Total cholesterol in IDL
Lu BF EU sex combined 7 SNPs	867	Total cholesterol in IDL || id:867	Lu BF EU sex combined 7 SNPs	Weighted median	6	-0.0505652681415955	0.191049737124319	0.791263148831234	Lipid	Total cholesterol in IDL
Lu BF EU sex combined 7 SNPs	867	Total cholesterol in IDL || id:867	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	6	-0.582005360705098	0.440566836788257	0.186488824407823	Lipid	Total cholesterol in IDL
Lu BF EU sex combined 7 SNPs	867	Total cholesterol in IDL || id:867	Lu BF EU sex combined 7 SNPs	Weighted mode	6	0.0515988575763511	0.212719021453585	0.817976021874965	Lipid	Total cholesterol in IDL
Lu BF EU sex combined 7 SNPs	868	Free cholesterol in IDL || id:868	Lu BF EU sex combined 7 SNPs	MR Egger	7	-1.53364200486649	1.7167211423128	0.41259640582745	Lipid	Free cholesterol in IDL
Lu BF EU sex combined 7 SNPs	868	Free cholesterol in IDL || id:868	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.156099404099634	0.160977299354928	0.332196927284846	Lipid	Free cholesterol in IDL
Lu BF EU sex combined 7 SNPs	868	Free cholesterol in IDL || id:868	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.315140559599803	0.35769066224886	0.378294992307177	Lipid	Free cholesterol in IDL
Lu BF EU sex combined 7 SNPs	868	Free cholesterol in IDL || id:868	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.15178976716135	0.178159876184121	0.426913886589722	Lipid	Free cholesterol in IDL
Lu BF EU sex combined 7 SNPs	869	Total lipids in IDL || id:869	Lu BF EU sex combined 7 SNPs	MR Egger	6	-4.46128092255341	1.650161365578	0.053896246075214	Lipid	Total lipids in IDL
Lu BF EU sex combined 7 SNPs	869	Total lipids in IDL || id:869	Lu BF EU sex combined 7 SNPs	Weighted median	6	-0.0892775052578203	0.190669773233837	0.6396193806572	Lipid	Total lipids in IDL
