metabolite	raw.label	class	subclass	label	label.no.units.x	derived_features	abbreviation1	abbreviation2	label.no.units.y
idltgpct	Triglycerides in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	IDL-TG_%	IDL-TG_percent	Triglycerides to total lipids ratio in IDL
ile	Isoleucine (mmol/l)	Amino acids	Branched-chain amino acids	Isoleucine (mmol/l)	Isoleucine	no	Ile	Ile	Isoleucine
la	"18:2, linoleic acid (mmol/l)"	Fatty acids	Fatty acids	Linoleic acid (mmol/l)	Linoleic acid	no	LA	LA	"18:2, linoleic acid"
lac	Lactate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Lactate (mmol/l)	Lactate	no	Lac	Lac	Lactate
lafa	Ratio of 18:2 linoleic acid to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	Linoleic acid (%)	Ratio	yes	LA/FA	LAbyFA	Ratio of 18:2 linoleic acid to total fatty acids
ldlc	Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol	LDL cholesterol (mmol/l)	LDL C	no	LDL-C	LDL-C	Total cholesterol in LDL
ldld	Mean diameter for LDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	LDL particle size (nm)	LDL particles size	no	LDL-D	LDL-D	Mean diameter for LDL particles
ldltg	Triglycerides in LDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	LDL triglycerides (mmol/l)	LDL triglycerides	no	LDL-TG	LDL-TG	Triglycerides in LDL
leu	Leucine (mmol/l)	Amino acids	Branched-chain amino acids	Leucine (mmol/l)	Leucine	no	Leu	Leu	Leucine
lhdlc	Total cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total cholesterol (mmol/l)	Total cholesterol	no	L-HDL-C	L-HDL-C	Total cholesterol in large HDL
lhdlce	Cholesterol esters in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	L-HDL-CE	L-HDL-CE	Cholesterol esters in large HDL
lhdlcepct	Cholesterol esters in large HDL to total lipids in large HDL ratio (%)	Lipoprotein subclasses ratios	Large HDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	L-HDL-CE_%	L-HDL-CE_percent	Cholesterol esters to total lipids ratio in large HDL
lhdlcpct	Total cholesterol in large HDL to total lipids in large HDL ratio (%)	Lipoprotein subclasses ratios	Large HDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	L-HDL-C_%	L-HDL-C_percent	Total cholesterol to total lipids ratio in large HDL
lhdlfc	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Free cholesterol (mmol/l)	Free cholesterol	no	L-HDL-FC	L-HDL-FC	Free cholesterol in large HDL
lhdlfcpct	Free cholesterol in large HDL to total lipids in large HDL ratio (%)	Lipoprotein subclasses ratios	Large HDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	L-HDL-FC_%	L-HDL-FC_percent	Free cholesterol to total lipids ratio in large HDL
lhdll	Total lipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total lipids (mmol/l)	Total lipids	no	L-HDL-L	L-HDL-L	Total lipids in large HDL
lhdlp	Concentration of large HDL particles (mol/l)	Lipoprotein subclasses	Large HDL	Particle concentration (mol/l)	Particle concentration	no	L-HDL-P	L-HDL-P	Concentration of large HDL particles
lhdlpl	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Phospholipids (mmol/l)	Phospholipids	no	L-HDL-PL	L-HDL-PL	Phospholipids in large HDL
lhdlplpct	Phospholipids in large HDL to total lipids in large HDL ratio (%)	Lipoprotein subclasses ratios	Large HDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	L-HDL-PL_%	L-HDL-PL_percent	Phospholipids to total lipds ratio in large HDL
lhdltg	Triglycerides in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Triglycerides (mmol/l)	Triglycerides	no	L-HDL-TG	L-HDL-TG	Triglycerides in large HDL
lhdltgpct	Triglycerides in large HDL to total lipids in large HDL ratio (%)	Lipoprotein subclasses ratios	Large HDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	L-HDL-TG_%	L-HDL-TG_percent	Triglycerides to total lipids ratio in large HDL
lldlc	Total cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total cholesterol (mmol/l)	Total cholesterol	no	L-LDL-C	L-LDL-C	Total cholesterol in large LDL
lldlce	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	L-LDL-CE	L-LDL-CE	Cholesterol esters in large LDL
lldlcepct	Cholesterol esters in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	L-LDL-CE_%	L-LDL-CE_percent	Cholesterol esters to total lipids ratio in large LDL
lldlcpct	Total cholesterol in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	L-LDL-C_%	L-LDL-C_percent	Total cholesterol to total lipids ratio in large LDL
lldlfc	Free cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Free cholesterol (mmol/l)	Free cholesterol	no	L-LDL-FC	L-LDL-FC	Free cholesterol in large LDL
lldlfcpct	Free cholesterol in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	L-LDL-FC_%	L-LDL-FC_percent	Free cholesterol to total lipids ratio in large LDL
lldll	Total lipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total lipids (mmol/l)	Total lipids	no	L-LDL-L	L-LDL-L	Total lipids in large LDL
lldlp	Concentration of large LDL particles (mol/l)	Lipoprotein subclasses	Large LDL	Particle concentration (mol/l)	Particle concentration	no	L-LDL-P	L-LDL-P	Concentration of large LDL particles
lldlpl	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Phospholipids (mmol/l)	Phospholipids	no	L-LDL-PL	L-LDL-PL	Phospholipids in large LDL
lldlplpct	Phospholipids in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	L-LDL-PL_%	L-LDL-PL_percent	Phospholipids to total lipds ratio in large LDL
lldltg	Triglycerides in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Triglycerides (mmol/l)	Triglycerides	no	L-LDL-TG	L-LDL-TG	Triglycerides in large LDL
lldltgpct	Triglycerides in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	L-LDL-TG_%	L-LDL-TG_percent	Triglycerides to total lipids ratio in large LDL
lvldlc	Total cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	L-VLDL-C	L-VLDL-C	Total cholesterol in large VLDL
lvldlce	Cholesterol esters in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	L-VLDL-CE	L-VLDL-CE	Cholesterol esters in large VLDL
lvldlcepct	Cholesterol esters in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	L-VLDL-CE_%	L-VLDL-CE_percent	Cholesterol esters to total lipids ratio in large VLDL
lvldlcpct	Total cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	L-VLDL-C_%	L-VLDL-C_percent	Total cholesterol to total lipids ratio in large VLDL
lvldlfc	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	L-VLDL-FC	L-VLDL-FC	Free cholesterol in large VLDL
lvldlfcpct	Free cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	L-VLDL-FC_%	L-VLDL-FC_percent	Free cholesterol to total lipids ratio in large VLDL
lvldll	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total lipids (mmol/l)	Total lipids	no	L-VLDL-L	L-VLDL-L	Total lipids in large VLDL
lvldlp	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	Particle concentration	no	L-VLDL-P	L-VLDL-P	Concentration of large VLDL particles
lvldlpl	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Phospholipids (mmol/l)	Phospholipids	no	L-VLDL-PL	L-VLDL-PL	Phospholipids in large VLDL
lvldlplpct	Phospholipids in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	L-VLDL-PL_%	L-VLDL-PL_percent	Phospholipids to total lipds ratio in large VLDL
lvldltg	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Triglycerides (mmol/l)	Triglycerides	no	L-VLDL-TG	L-VLDL-TG	Triglycerides in large VLDL
lvldltgpct	Triglycerides in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	L-VLDL-TG_%	L-VLDL-TG_percent	Triglycerides to total lipids ratio in large VLDL
mhdlc	Total cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total cholesterol (mmol/l)	Total cholesterol	no	M-HDL-C	M-HDL-C	Total cholesterol in medium HDL
mhdlce	Cholesterol esters in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	M-HDL-CE	M-HDL-CE	Cholesterol esters in medium HDL
mhdlcepct	Cholesterol esters in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	M-HDL-CE_%	M-HDL-CE_percent	Cholesterol esters to total lipids ratio in medium HDL
mhdlcpct	Total cholesterol in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	M-HDL-C_%	M-HDL-C_percent	Total cholesterol to total lipids ratio in medium HDL
mhdlfc	Free cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Free cholesterol (mmol/l)	Free cholesterol	no	M-HDL-FC	M-HDL-FC	Free cholesterol in medium HDL
mhdlfcpct	Free cholesterol in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	M-HDL-FC_%	M-HDL-FC_percent	Free cholesterol to total lipids ratio in medium HDL
mhdll	Total lipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total lipids (mmol/l)	Total lipids	no	M-HDL-L	M-HDL-L	Total lipids in medium HDL
mhdlp	Concentration of medium HDL particles (mol/l)	Lipoprotein subclasses	Medium HDL	Particle concentration (mol/l)	Particle concentration	no	M-HDL-P	M-HDL-P	Concentration of medium HDL particles
mhdlpl	Phospholipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Phospholipids (mmol/l)	Phospholipids	no	M-HDL-PL	M-HDL-PL	Phospholipids in medium HDL
mhdlplpct	Phospholipids in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	M-HDL-PL_%	M-HDL-PL_percent	Phospholipids to total lipds ratio in medium HDL
mhdltg	Triglycerides in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Triglycerides (mmol/l)	Triglycerides	no	M-HDL-TG	M-HDL-TG	Triglycerides in medium HDL
mhdltgpct	Triglycerides in medium HDL to total lipids in medium HDL ratio (%)	Lipoprotein subclasses ratios	Medium HDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	M-HDL-TG_%	M-HDL-TG_percent	Triglycerides to total lipids ratio in medium HDL
mldlc	Total cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Total cholesterol (mmol/l)	Total cholesterol	no	M-LDL-C	M-LDL-C	Total cholesterol in medium LDL
mldlce	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	M-LDL-CE	M-LDL-CE	Cholesterol esters in medium LDL
mldlcepct	Cholesterol esters in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	M-LDL-CE_%	M-LDL-CE_percent	Cholesterol esters to total lipids ratio in medium LDL
mldlcpct	Total cholesterol in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	M-LDL-C_%	M-LDL-C_percent	Total cholesterol to total lipids ratio in medium LDL
mldlfc	Free cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Free cholesterol (mmol/l)	Free cholesterol	no	M-LDL-FC	M-LDL-FC	Free cholesterol in medium LDL
mldlfcpct	Free cholesterol in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	M-LDL-FC_%	M-LDL-FC_percent	Free cholesterol to total lipids ratio in medium LDL
mldll	Total lipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Total lipids (mmol/l)	Total lipids	no	M-LDL-L	M-LDL-L	Total lipids in medium LDL
mldlp	Concentration of medium LDL particles (mol/l)	Lipoprotein subclasses	Medium LDL	Particle concentration (mol/l)	Particle concentration	no	M-LDL-P	M-LDL-P	Concentration of medium LDL particles
mldlpl	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Phospholipids (mmol/l)	Phospholipids	no	M-LDL-PL	M-LDL-PL	Phospholipids in medium LDL
mldlplpct	Phospholipids in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	M-LDL-PL_%	M-LDL-PL_percent	Phospholipids to total lipds ratio in medium LDL
mldltg	Triglycerides in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Triglycerides (mmol/l)	Triglycerides	no	M-LDL-TG	M-LDL-TG	Triglycerides in medium LDL
mldltgpct	Triglycerides in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	M-LDL-TG_%	M-LDL-TG_percent	Triglycerides to total lipids ratio in medium LDL
mufa	"Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)"	Fatty acids	Fatty acids	MUFA (mmol/l)	MUFA	no	MUFA	MUFA	"Monounsaturated fatty acids; 16:1, 18:1"
mufafa	Ratio of monounsaturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	MUFA (%)	Ratio	yes	MUFA/FA	MUFAbyFA	Ratio of monounsaturated fatty acids to total fatty acids
mvldlc	Total cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	M-VLDL-C	M-VLDL-C	Total cholesterol in medium VLDL
mvldlce	Cholesterol esters in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	M-VLDL-CE	M-VLDL-CE	Cholesterol esters in medium VLDL
mvldlcepct	Cholesterol esters in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	M-VLDL-CE_%	M-VLDL-CE_percent	Cholesterol esters to total lipids ratio in medium VLDL
mvldlcpct	Total cholesterol in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	M-VLDL-C_%	M-VLDL-C_percent	Total cholesterol to total lipids ratio in medium VLDL
mvldlfc	Free cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	M-VLDL-FC	M-VLDL-FC	Free cholesterol in medium VLDL
mvldlfcpct	Free cholesterol in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	M-VLDL-FC_%	M-VLDL-FC_percent	Free cholesterol to total lipids ratio in medium VLDL
mvldll	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total lipids (mmol/l)	Total lipids	no	M-VLDL-L	M-VLDL-L	Total lipids in medium VLDL
mvldlp	Concentration of medium VLDL particles (mol/l)	Lipoprotein subclasses	Medium VLDL	Particle concentration (mol/l)	Particle concentration	no	M-VLDL-P	M-VLDL-P	Concentration of medium VLDL particles
mvldlpl	Phospholipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Phospholipids (mmol/l)	Phospholipids	no	M-VLDL-PL	M-VLDL-PL	Phospholipids in medium VLDL
mvldlplpct	Phospholipids in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	M-VLDL-PL_%	M-VLDL-PL_percent	Phospholipids to total lipds ratio in medium VLDL
mvldltg	Triglycerides in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Triglycerides (mmol/l)	Triglycerides	no	M-VLDL-TG	M-VLDL-TG	Triglycerides in medium VLDL
mvldltgpct	Triglycerides in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	M-VLDL-TG_%	M-VLDL-TG_percent	Triglycerides to total lipids ratio in medium VLDL
pc	Phosphatidylcholine and other cholines (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Phosphatidylcholine + other cholines (mmol/l)	Phosphatidylcholine + other cholines	no	PC	PC	Phosphatidylcholine and other cholines
phe	Phenylalanine (mmol/l)	Amino acids	Aromatic amino acids	Phenylalanine (mmol/l)	Phenylalanine	no	Phe	Phe	Phenylalanine
pufa	Polyunsaturated fatty acids (mmol/l)	Fatty acids	Fatty acids	PUFA (mmol/l)	PUFA	no	PUFA	PUFA	Polyunsaturated fatty acids
pufafa	Ratio of polyunsaturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	PUFA (%)	Ratio	yes	PUFA/FA	PUFAbyFA	Ratio of polyunsaturated fatty acids to total fatty acids
pyr	Pyruvate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Pyruvate (mmol/l)	Pyruvate	no	Pyr	Pyr	Pyruvate
remnantc	"Remnant cholesterol (non-HDL, non-LDL -cholesterol) (mmol/l)"	Cholesterol	Cholesterol	Remnant cholesterol (mmol/l)	Remnant C	no	Remnant-C	Remnant-C	"Remnant cholesterol (non-HDL, non-LDL -cholesterol)"
