metabolite	n	b	se	p	lower_ci	upper_ci	raw.label	class	subclass	label	label.no.units	derived_features	exposure	group	model	model_description
xlvldlc	4450	0.00203045619034489	0.000178998742971128	2.02193527749862e-29	0.00167961865412148	0.0023812937265683	Total cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
xlvldlce	4450	0.00108760841175936	9.07424195852294e-05	1.3366184742072e-32	0.00090975326937231	0.00126546355414641	Cholesterol esters in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
xlvldlfc	4450	0.000942673714285092	8.91765919316439e-05	8.21451557250033e-26	0.00076788759409907	0.00111745983447111	Free cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
xlvldltg	4450	0.00611281123225813	0.000598890007178497	3.40707395551962e-24	0.00493898681818828	0.00728663564632798	Triglycerides in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
lvldlp	4450	4.82256591227445e-10	4.39773349531074e-11	1.25389886331473e-27	3.96061014719354e-10	5.68452167735535e-10	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
lvldll	4450	0.0295088699696977	0.00263823654423077	1.16064583575088e-28	0.0243379263430054	0.03467981359639	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
lvldlpl	4450	0.00520803021349217	0.000471784950744836	5.70283159650345e-28	0.00428333171003229	0.00613272871695205	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
lvldlc	4450	0.00696754776829987	0.00059313635744146	2.12211291606291e-31	0.00580500050771461	0.00813009502888513	Total cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
lvldlce	4450	0.00349776559582544	0.000275716495404531	2.9804001621166e-36	0.00295736126483256	0.00403816992681832	Cholesterol esters in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
lvldlfc	4450	0.00347018069657317	0.000322291265903835	1.04671501311369e-26	0.00283848981540165	0.00410187157774469	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
lvldltg	4450	0.0173315386750186	0.00157805848427804	1.04634518619325e-27	0.0142385440458336	0.0204245333042036	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
mvldlp	4450	1.1717238220317e-09	9.58017731103063e-11	7.41621647469023e-34	9.839523467355e-10	1.3594952973279e-09	Concentration of medium VLDL particles (mol/l)	Lipoprotein subclasses	Medium VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
mvldll	4450	0.0409055241869677	0.00323947210337812	6.14565229936994e-36	0.0345561588643466	0.0472548895095888	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
mvldlpl	4450	0.00757422215423352	0.000621629726197064	1.28532558150036e-33	0.00635582789088728	0.00879261641757977	Phospholipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
mvldlc	4450	0.0108101389311823	0.000833601101337721	8.92932201897888e-38	0.00917628077256037	0.0124439970898042	Total cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
mvldlce	4450	0.00593448380619237	0.000453795154864392	2.24423267424942e-38	0.00504504530265816	0.00682392230972658	Cholesterol esters in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
mvldlfc	4450	0.00487483613546798	0.000413396953635776	1.26237905556655e-31	0.00406457810634186	0.0056850941645941	Free cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
mvldltg	4450	0.0225201549810834	0.00183178840911406	3.48021254980302e-34	0.0189298496992198	0.026110460262947	Triglycerides in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
svldlp	4450	1.07533915320443e-09	9.50975691391781e-11	3.00314988824607e-29	8.88947917691641e-10	1.26173038871722e-09	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
svldll	4450	0.0222508971645789	0.00190344078425504	4.08153724308775e-31	0.018520153227439	0.0259816411017188	Total lipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
svldlpl	4450	0.00404642812851433	0.000380597695998795	4.35191907873403e-26	0.00330045664435669	0.00479239961267197	Phospholipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
svldlc	4450	0.00774811258301641	0.000703087848296673	6.99505534764886e-28	0.00637006040035493	0.00912616476567789	Total cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
svldlce	4450	0.00509428551716322	0.000479091214276688	4.28622849370184e-26	0.00415526673718091	0.00603330429714553	Cholesterol esters in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
svldlfc	4450	0.00265063258986418	0.00025749440277416	1.41354783583643e-24	0.00214594356042683	0.00315532161930153	Free cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
svldltg	4450	0.0104459069872136	0.000963641111781503	4.83167955279674e-27	0.00855717040812186	0.0123346435663053	Triglycerides in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
xsvldlp	4450	3.91347740585575e-10	7.6877020354112e-11	3.71737989968412e-07	2.40668780691516e-10	5.42026700479634e-10	Concentration of very small VLDL particles (mol/l)	Lipoprotein subclasses	Very Small VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
xsvldll	4450	0.00722646894982773	0.00121141145465597	2.63093682397815e-09	0.00485210249870203	0.00960083540095343	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
xsvldlpl	4450	0.00123359067635594	0.000407135721037981	0.00246021451993986	0.000435604663121497	0.00203157668959038	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Phospholipids  (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
xsvldlc	4450	0.00390282690558506	0.000742099773155211	1.51505584517026e-07	0.00244831135020085	0.00535734246096927	Total cholesterol in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
xsvldlce	4450	0.00334900212540428	0.000510735951874109	6.1080271124337e-11	0.00234795965973103	0.00435004459107753	Cholesterol esters in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
xsvldlfc	4450	0.000553452285824183	0.000261542510362457	0.0343910285735987	4.08289655137673e-05	0.0010660756061346	Free cholesterol in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
xsvldltg	4450	0.00208701414667536	0.000320589381204594	8.35142295694596e-11	0.00145865895951436	0.00271536933383636	Triglycerides in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
idlp	4450	1.91568373823942e-10	2.31786998142085e-10	0.408573627012816	-2.62734142534545e-10	6.45870890182429e-10	Concentration of IDL particles (mol/l)	Lipoprotein subclasses	IDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
idll	4450	0.0040309795403626	0.00298317516759053	0.1766879695335	-0.00181604378811484	0.00987800286884004	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
idlpl	4450	-6.62056350608272e-05	0.000803314878414276	0.934319983432924	-0.00164070279675281	0.00150829152663115	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
idlc	4450	0.00447950135123282	0.00202271648127473	0.0268382802331251	0.000514977047934349	0.00844402565453129	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
idlce	4450	0.00518712252370503	0.00143029317054353	0.000290380955311487	0.00238374790943971	0.00799049713797035	Cholesterol esters in IDL (mmol/l)	Lipoprotein subclasses	IDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
idlfc	4450	-0.000704113289342172	0.000629731427317365	0.263577522473187	-0.00193838688688421	0.000530160308199863	Free cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
idltg	4450	-0.000386226158384986	0.000342345200043086	0.259305831185413	-0.00105722275046943	0.000284770433699463	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
lldlp	4450	2.23434108982361e-10	4.36182187476961e-10	0.608501845681608	-6.31482978472483e-10	1.0783511964372e-09	Concentration of large LDL particles (mol/l)	Lipoprotein subclasses	Large LDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
lldll	4450	0.00324613794264761	0.0038027812003462	0.393360415810107	-0.00420731321003094	0.0106995890953262	Total lipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
lldlpl	4450	0.00129522303336489	0.000774522172789448	0.0945381877434541	-0.000222840425302428	0.00281328649203221	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
lldlc	4450	0.00282519041999354	0.00277681399858344	0.309008292568953	-0.00261736501723	0.00826774585721708	Total cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
lldlce	4450	0.0034668677594258	0.00208464672051139	0.0963732917370144	-0.000619039812776525	0.00755277533162812	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
lldlfc	4450	-0.000638914062517243	0.00070144978745575	0.362424901982265	-0.00201375564593051	0.000735927520896027	Free cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
lldltg	4450	-0.000882292253629723	0.000382182244578284	0.0210134302823977	-0.00163136945300316	-0.000133215054256286	Triglycerides in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
mldlp	4450	4.35460762658627e-10	3.83205335124582e-10	0.255865485719107	-3.15621694185554e-10	1.18654321950281e-09	Concentration of medium LDL particles (mol/l)	Lipoprotein subclasses	Medium LDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
mldll	4450	0.00282163467733823	0.00235551674132777	0.231026222633726	-0.0017951781356642	0.00743844749034066	Total lipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
mldlpl	4450	0.00153999735611205	0.000443556283216729	0.000521646876570488	0.000670627041007261	0.00240936767121684	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
mldlc	4450	0.00191371547675144	0.00176156221061931	0.277372432369207	-0.00153894645606241	0.00536637740956529	Total cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
mldlce	4450	0.00184650116724408	0.00144864949245041	0.202504629885476	-0.000992851837958724	0.00468585417244688	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
mldlfc	4450	6.31646525892648e-05	0.000327130810641954	0.846899783102535	-0.000578011736268965	0.000704341041447495	Free cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
mldltg	4450	-0.00063326240115703	0.000251809098744928	0.0119432677910471	-0.00112680823469709	-0.000139716567616971	Triglycerides in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
sldlp	4450	4.0610672400836e-10	4.17983204828566e-10	0.33130929216695	-4.13140357455629e-10	1.22535380547235e-09	Concentration of small LDL particles (mol/l)	Lipoprotein subclasses	Small LDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
sldll	4450	0.00201356967065368	0.00149761456550874	0.178849545329666	-0.000921754877743451	0.00494889421905081	Total lipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
sldlpl	4450	0.000804998142799319	0.000309826130140434	0.00940161974201299	0.000197738927724068	0.00141225735787457	Phospholipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
sldlc	4450	0.000941430918358143	0.00110788906158092	0.395508749898096	-0.00123003164234046	0.00311289347905675	Total cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
sldlce	4450	0.000836384949778943	0.000941240342463227	0.374266858916966	-0.00100844612144898	0.00268121602100687	Cholesterol esters in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
sldlfc	4450	0.000107615671647612	0.00020198043148115	0.594196955948051	-0.000288265974055442	0.000503497317350666	Free cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
sldltg	4450	0.000269818182909664	0.00015246385793805	0.076842497485409	-2.9010978648914e-05	0.000568647344468242	Triglycerides in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
xlhdlp	4450	-1.63323725792216e-08	1.95080899130209e-09	7.49747010380164e-17	-2.01559582021737e-08	-1.25087869562695e-08	Concentration of very large HDL particles (mol/l)	Lipoprotein subclasses	Very large HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
xlhdll	4450	-0.0196207430103084	0.00234751181358639	8.42723825792365e-17	-0.0242218661649377	-0.0150196198556791	Total lipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
xlhdlpl	4450	-0.0116504916128815	0.00126506703592257	4.93634531856391e-20	-0.0141300230032897	-0.00917096022247326	Phospholipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
xlhdlc	4450	-0.00811893013586679	0.00111430772510027	3.75648764628564e-13	-0.0103029732770633	-0.00593488699467026	Total cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
xlhdlce	4450	-0.00559877167512825	0.000805962140230186	4.28148128791935e-12	-0.00717845746997941	-0.00401908588027709	Cholesterol esters in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
xlhdlfc	4450	-0.00251732214887759	0.000321558982984223	6.1284122925613e-15	-0.00314757775552667	-0.00188706654222851	Free cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
xlhdltg	4450	0.000151985062086553	8.73800574937466e-05	0.0820413006251183	-1.92798506011903e-05	0.000323249974774296	Triglycerides in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
lhdlp	4450	-3.94773185169328e-08	3.86711758704943e-09	3.35399814133832e-24	-4.70568689875497e-08	-3.18977680463159e-08	Concentration of large HDL particles (mol/l)	Lipoprotein subclasses	Large HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
lhdll	4450	-0.0303546446997731	0.00293496375753831	8.63327617986482e-25	-0.0361071736645482	-0.024602115734998	Total lipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
lhdlpl	4450	-0.0128510792420911	0.00129697279182309	6.59286526542219e-23	-0.0153931459140644	-0.0103090125701178	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
lhdlc	4450	-0.0176293813441095	0.0016258667287968	4.67834609517682e-27	-0.0208160801325512	-0.0144426825556678	Total cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
lhdlce	4450	-0.0137863622572858	0.0012764118810114	7.3271151961913e-27	-0.0162881295440681	-0.0112845949705035	Cholesterol esters in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
lhdlfc	4450	-0.00384544203597944	0.000351453680468696	1.63172614905821e-27	-0.00453429124969808	-0.0031565928222608	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
lhdltg	4450	0.000120276157204872	5.89971374526945e-05	0.0415412286869155	4.64176779759078e-06	0.000235910546612153	Triglycerides in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
mhdlp	4450	-3.75176251962274e-09	2.87341084416445e-09	0.191728076330679	-9.38364777418506e-09	1.88012273493958e-09	Concentration of medium HDL particles (mol/l)	Lipoprotein subclasses	Medium HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
mhdll	4450	-0.00359585020180648	0.00145596657133138	0.0135586365060373	-0.00644954468161598	-0.000742155721996976	Total lipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
mhdlpl	4450	-0.00194005103519456	0.000797220182166626	0.014991961773579	-0.00350260259224115	-0.000377499478147973	Phospholipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
mhdlc	4450	-0.00324758742921762	0.000689335087257494	2.5379138362334e-06	-0.00459868420024231	-0.00189649065819293	Total cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
mhdlce	4450	-0.00283286834242572	0.000568690772992337	6.55254430955384e-07	-0.0039475022574907	-0.00171823442736074	Cholesterol esters in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
mhdlfc	4450	-0.000406218493918803	0.00012692569080126	0.00138181624645184	-0.000654992847889273	-0.000157444139948333	Free cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
mhdltg	4450	0.00158670167106495	0.000131147436401503	3.54896264305186e-33	0.001329652695718	0.0018437506464119	Triglycerides in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
shdlp	4450	1.77403004724811e-08	4.27847654665376e-09	3.44030815535046e-05	9.35448644103973e-09	2.61261145039225e-08	Concentration of small HDL particles (mol/l)	Lipoprotein subclasses	Small HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
shdll	4450	0.000938719141504389	0.0012099466096435	0.43788757752494	-0.00143277621339687	0.00331021449640565	Total lipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
shdlpl	4450	0.00275343058895662	0.000762755578795348	0.000309754215451789	0.00125842965451774	0.0042484315233955	Phospholipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
shdlc	4450	-0.00295640066382954	0.000763113804967883	0.000108546911295236	-0.00445210372156659	-0.00146069760609249	Total cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
shdlce	4450	-0.00272193509224009	0.000684862556244091	7.16681642526861e-05	-0.00406426570247851	-0.00137960448200167	Cholesterol esters in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
shdlfc	4450	-0.000241650139287092	0.000162958006942776	0.138172330841148	-0.000561047832894933	7.77475543207489e-05	Free cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
shdltg	4450	0.00115573777740727	0.000142008099353297	5.14557482623157e-16	0.000877401902674808	0.00143407365213973	Triglycerides in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
xxlvldlplpct	4450	-0.0335556595631896	0.0144911885225687	0.0206259212494686	-0.0619583890674242	-0.00515293005895495	Phospholipids in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	bmi	children	model1	age + sex
xxlvldlcpct	4450	0.487569571687172	0.0544450660996506	4.88860935414311e-19	0.380857242131857	0.594281901242487	Total cholesterol in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	children	model1	age + sex
xxlvldlcepct	4450	0.391391057462932	0.0496665511936068	4.074258306071e-15	0.294044617123463	0.488737497802401	Cholesterol esters in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	children	model1	age + sex
