metabolite	n	b	se	p	lower_ci	upper_ci	raw.label	class	subclass	label	label.no.units	derived_features	exposure	group	model	model_description	model_exposure	exposure_model
xsvldlcepct	575	0.332458140068094	0.15936276771683	0.0374093777087562	0.0201071153431072	0.644809164793081	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bf	young_adults	model3	physical activity	model3_bf	bf_model3
xsvldlcepct	2981	-0.507964569928975	0.0655133193159533	1.21756603737924e-14	-0.636370675788243	-0.379558464069707	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	adults	model3	physical activity	model3_bmi	bmi_model3
xsvldlcepct	2981	-0.656027220960439	0.0635097685715832	1.34298026584923e-24	-0.780506367360742	-0.531548074560136	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	whr	adults	model3	physical activity	model3_whr	whr_model3
xsvldlcepct	2981	-0.413065923615578	0.0630369552351488	6.63283810140661e-11	-0.53661835587647	-0.289513491354686	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bf	adults	model3	physical activity	model3_bf	bf_model3
xsvldlcpct	4450	0.0129536178787044	0.0708938818679731	0.855027295187211	-0.125998390582523	0.151905626339932	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	children	model1	age + sex	model1_bmi	bmi_model1
xsvldlcpct	4450	-0.361956323415355	0.0709505900539833	3.50960348692967e-07	-0.501019479921162	-0.222893166909548	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	whr	children	model1	age + sex	model1_whr	whr_model1
xsvldlcpct	4450	0.0898216559509587	0.0698341019897722	0.198435081118586	-0.0470531839489948	0.226696495850912	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bf	children	model1	age + sex	model1_bf	bf_model1
xsvldlcpct	1762	0.220270083358404	0.0902609990935338	0.0147704597008111	0.0433585251350778	0.39718164158173	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	adolescents	model1	age + sex	model1_bmi	bmi_model1
xsvldlcpct	1762	0.209710997208486	0.117292983292047	0.0739603722123545	-0.0201832500439261	0.439605244460898	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bf	adolescents	model1	age + sex	model1_bf	bf_model1
xsvldlcpct	2589	0.0309642488232592	0.0646605134324056	0.63206865996811	-0.0957703575042558	0.157698855150774	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model1	age + sex	model1_bmi	bmi_model1
xsvldlcpct	2589	-0.116375947367793	0.072820299670784	0.110137359386823	-0.25910373472253	0.0263518399869437	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	whr	young_adults	model1	age + sex	model1_whr	whr_model1
xsvldlcpct	2589	0.0543816612589385	0.0743816174121267	0.464773985877247	-0.0914063088688298	0.200169631386707	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bf	young_adults	model1	age + sex	model1_bf	bf_model1
xsvldlcpct	3505	-0.712883463621369	0.0685211279757715	5.487680896877e-25	-0.847184874453881	-0.578582052788857	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	adults	model1	age + sex	model1_bmi	bmi_model1
xsvldlcpct	3505	-0.89790174805359	0.066467364110367	1.41539010715238e-40	-1.02817778170991	-0.767625714397271	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	whr	adults	model1	age + sex	model1_whr	whr_model1
xsvldlcpct	3505	-0.628623295535932	0.066051122052028	3.20437117601747e-21	-0.758083494757907	-0.499163096313957	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bf	adults	model1	age + sex	model1_bf	bf_model1
xsvldlcpct	4450	-0.00541312316151533	0.0811653186203159	0.946829454723814	-0.164497147657334	0.153670901334304	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bmi	bmi_model2
xsvldlcpct	4450	-0.361441869819657	0.0709677415002129	3.66948470537429e-07	-0.500538643160074	-0.22234509647924	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	whr	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_whr	whr_model2
xsvldlcpct	4450	0.0923909273828086	0.0777696094258674	0.234893698637273	-0.0600375070918915	0.244819361857509	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bf	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bf	bf_model2
xsvldlcpct	1762	0.182955297016917	0.0954640456235192	0.055465893464551	-0.00415423240518062	0.370064826439015	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	adolescents	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bmi	bmi_model2
xsvldlcpct	1762	0.161132307322723	0.120732138574765	0.182171850330118	-0.0755026842838164	0.397767298929262	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bf	adolescents	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bf	bf_model2
xsvldlcpct	2589	-0.0230984836953287	0.0641012668562803	0.71861964386755	-0.148736966733638	0.102539999342981	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bmi	bmi_model2
xsvldlcpct	2589	-0.112688004869549	0.0718615978029208	0.11697437920308	-0.253536736563274	0.0281607268241758	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	whr	young_adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_whr	whr_model2
xsvldlcpct	2589	-0.0121304368885669	0.0738181068676622	0.869485216196334	-0.156813926349185	0.132553052572051	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bf	young_adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bf	bf_model2
xsvldlcpct	3505	-0.693654052380361	0.069864445817187	6.269148960556e-23	-0.830588366182048	-0.556719738578675	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bmi	bmi_model2
xsvldlcpct	3505	-0.875121208049279	0.0674229840689467	1.16772838760232e-37	-1.00727025682441	-0.742972159274143	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	whr	adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_whr	whr_model2
xsvldlcpct	3505	-0.608222447296806	0.0673662767474961	2.80780609149906e-19	-0.740260349721898	-0.476184544871714	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bf	adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bf	bf_model2
xsvldlcpct	588	0.250377629171896	0.163610904971294	0.126482791145957	-0.0702997445718402	0.571055002915632	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	adolescents	model3	physical activity	model3_bmi	bmi_model3
xsvldlcpct	588	0.211199282829017	0.210183438381323	0.315396951241314	-0.200760256398376	0.62315882205641	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bf	adolescents	model3	physical activity	model3_bf	bf_model3
xsvldlcpct	575	0.0576274384395561	0.153606991926662	0.707680610261624	-0.243442265736701	0.358697142615814	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity	model3_bmi	bmi_model3
xsvldlcpct	575	-0.101906297498176	0.153208503535302	0.506226426642768	-0.402194964427368	0.198382369431016	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	whr	young_adults	model3	physical activity	model3_whr	whr_model3
xsvldlcpct	575	0.184126112121755	0.169705665326524	0.278394583291782	-0.148496991918232	0.516749216161742	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bf	young_adults	model3	physical activity	model3_bf	bf_model3
xsvldlcpct	2981	-0.754372642398542	0.074968712542261	1.91163444530097e-23	-0.901311318981374	-0.60743396581571	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	adults	model3	physical activity	model3_bmi	bmi_model3
xsvldlcpct	2981	-0.873446113032562	0.0727251836462056	1.7510234129085e-32	-1.01598747297912	-0.730904753085999	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	whr	adults	model3	physical activity	model3_whr	whr_model3
xsvldlcpct	2981	-0.606140275055205	0.0722952998634946	7.77652838848859e-17	-0.747839062787654	-0.464441487322756	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bf	adults	model3	physical activity	model3_bf	bf_model3
xsvldlfcpct	4450	-0.132797764285397	0.0347509855303654	0.000134503563282338	-0.200909695924913	-0.0646858326458808	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	children	model1	age + sex	model1_bmi	bmi_model1
xsvldlfcpct	4450	-0.219037017643206	0.0347827551457887	3.32186409331138e-10	-0.287211217728952	-0.15086281755746	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	whr	children	model1	age + sex	model1_whr	whr_model1
xsvldlfcpct	4450	-0.141111643644578	0.0342285591649829	3.81403747658685e-05	-0.208199619607944	-0.0740236676812115	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bf	children	model1	age + sex	model1_bf	bf_model1
xsvldlfcpct	1762	-0.17772734426907	0.0313515950574709	1.67704460966389e-08	-0.239176470581713	-0.116278217956427	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	adolescents	model1	age + sex	model1_bmi	bmi_model1
xsvldlfcpct	1762	-0.21513513752153	0.0407578057010604	1.46506720975873e-07	-0.295020436695608	-0.135249838347452	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bf	adolescents	model1	age + sex	model1_bf	bf_model1
xsvldlfcpct	2589	-0.155854888147404	0.0216493435340253	7.91205931292322e-13	-0.198287601474094	-0.113422174820714	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model1	age + sex	model1_bmi	bmi_model1
xsvldlfcpct	2589	-0.128488471125962	0.0245056691810657	1.70569248720317e-07	-0.176519582720851	-0.0804573595310732	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	whr	young_adults	model1	age + sex	model1_whr	whr_model1
xsvldlfcpct	2589	-0.169260621288807	0.0249327431223917	1.39845253587337e-11	-0.218128797808695	-0.120392444768919	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bf	young_adults	model1	age + sex	model1_bf	bf_model1
xsvldlfcpct	3505	-0.241172057908068	0.0191958885685143	1.92198226827079e-35	-0.278795999502356	-0.20354811631378	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	adults	model1	age + sex	model1_bmi	bmi_model1
xsvldlfcpct	3505	-0.226107588530405	0.0188469778103584	1.585944897129e-32	-0.263047665038707	-0.189167512022103	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	whr	adults	model1	age + sex	model1_whr	whr_model1
xsvldlfcpct	3505	-0.206318833657933	0.0185451588105823	2.80211255376777e-28	-0.242667344926674	-0.169970322389192	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bf	adults	model1	age + sex	model1_bf	bf_model1
xsvldlfcpct	4450	-0.129521652479838	0.0397849082030672	0.00114022496950246	-0.20750007255785	-0.0515432324018263	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bmi	bmi_model2
xsvldlfcpct	4450	-0.21935407313459	0.0347739496769038	3.10198455454586e-10	-0.287511014501321	-0.151197131767859	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	whr	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_whr	whr_model2
xsvldlfcpct	4450	-0.137553138633078	0.0381160902051476	0.000311010646546344	-0.212260675435167	-0.0628456018309887	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bf	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bf	bf_model2
xsvldlfcpct	1762	-0.177204871769099	0.033191678970711	1.05737629107385e-07	-0.242260562551693	-0.112149180986505	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	adolescents	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bmi	bmi_model2
xsvldlfcpct	1762	-0.206685136111993	0.0420050924494879	9.44195640356872e-07	-0.289015117312989	-0.124355154910997	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bf	adolescents	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bf	bf_model2
xsvldlfcpct	2589	-0.14469743123102	0.021876812553737	4.52465135151007e-11	-0.187575983836345	-0.101818878625695	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bmi	bmi_model2
