metabolite	raw.label	name	class	subclass	label	label.no.units	derived_features
dha	"22:6, docosahexaenoic acid (mmol/l)"	"22:6, docosahexaenoic acid"	Fatty acids	Fatty acids	Docosahexaenoic acid (mmol/l)	Docosahexaenoic acid	no
dhafa	Ratio of 22:6 docosahexaenoic acid to total fatty acids (%)	Ratio of 22:6 docosahexaenoic acid to total fatty acids	Fatty acids ratios	Fatty acids ratios	Docosahexaenoic acid (%)	Ratio	yes
estc	Esterified cholesterol (mmol/l)	Free cholesterol to esterified cholesterol ratio	Cholesterol	Cholesterol	Esterified cholesterol (mmol/l)	Esterified C	no
falen	"Estimated description of fatty acid chain length, not actual carbon number"	"Description of average fatty acid chain length, not actual carbon number"	Fatty acids	Fatty acids	Fatty acid chain length	Fatty acid chain length	no
faw3	Omega-3 fatty acids (mmol/l)	Omega-3 fatty acids	Fatty acids	Fatty acids	n-3 fatty acids (mmol/l)	n-3 fatty acids	no
faw3fa	Ratio of omega-3 fatty acids to total fatty acids (%)	Ratio of omega-3 fatty acids to total fatty acids	Fatty acids ratios	Fatty acids ratios	n-3 fatty acids (%)	Ratio	yes
faw6	Omega-6 fatty acids (mmol/l)	Omega-6 fatty acids	Fatty acids	Fatty acids	n-6 fatty acids (mmol/l)	n-6 fatty acids	no
faw6fa	Ratio of omega-6 fatty acids to total fatty acids (%)	Ratio of omega-6 fatty acids to total fatty acids	Fatty acids ratios	Fatty acids ratios	n-6 fatty acids (%)	Ratio	yes
freec	Free cholesterol (mmol/l)	Free cholesterol	Cholesterol	Cholesterol	Free cholesterol (mmol/l)	Free C	no
glc	Glucose (mmol/l)	Glucose	Glycolysis related metabolites	Glycolysis related metabolites	Glucose (mmol/l)	Glucose	no
gln	Glutamine (mmol/l)	Glutamine	Amino acids	Amino acids	Glutamine (mmol/l)	Glutamine	no
glol	Glycerol  (mmol/l)	Glycerol	Glycolysis related metabolites	Glycolysis related metabolites	Glycerol  (mmol/l)	Glycerol	no
gly	Glycine  (mmol/l)	Glycine 	Amino acids	Amino acids	Glycine  (mmol/l)	Glycine	no
gp	"Glycoprotein acetyls, mainly a1-acid glycoprotein (mmol/l)"	Glycoprotein acetyls	Inflammation	Inflammation	Glycoprotein acetyls (mmol/l)	Glycoprotein acetyls	no
hdl2c	Total cholesterol in HDL2 (mmol/l)	Total cholesterol in HDL2	Cholesterol	Cholesterol	HDL2 cholesterol (mmol/l)	HDL2 C	no
hdl3c	Total cholesterol in HDL3 (mmol/l)	Total cholesterol in HDL3	Cholesterol	Cholesterol	HDL3 cholesterol (mmol/l)	HDL3 C	no
hdlc	Total cholesterol in HDL (mmol/l)	Total cholesterol in HDL	Cholesterol	Cholesterol	HDL cholesterol (mmol/l)	HDL C	no
hdld	Mean diameter for HDL particles (nm)	Mean diameter for HDL particles	Lipoprotein particle size	Lipoprotein particle size	HDL particle size (nm)	HDL particles size	no
hdltg	Triglycerides in HDL (mmol/l)	Triglycerides in HDL	Glycerides and phospholipids	Glycerides and phospholipids	HDL triglycerides (mmol/l)	HDL triglycerides	no
his	Histidine (mmol/l)	Histidine	Amino acids	Amino acids	Histidine (mmol/l)	Histidine	no
idlc	Total cholesterol in IDL (mmol/l)	Total cholesterol in IDL	Lipoprotein subclasses	IDL	Total cholesterol (mmol/l)	Total cholesterol	no
idlce	Cholesterol esters in IDL (mmol/l)	Cholesterol esters in IDL	Lipoprotein subclasses	IDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
idlcepct	Cholesterol esters in IDL to total lipids in IDL ratio (%)	Cholesterol esters in IDL to total lipids in IDL ratio	Lipoprotein subclasses ratios	IDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
idlcpct	Total cholesterol in IDL to total lipids in IDL ratio (%)	Total cholesterol in IDL to total lipids in IDL ratio	Lipoprotein subclasses ratios	IDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
idlfc	Free cholesterol in IDL (mmol/l)	Free cholesterol in IDL	Lipoprotein subclasses	IDL	Free cholesterol (mmol/l)	Free cholesterol	no
idlfcpct	Free cholesterol in IDL to total lipids in IDL ratio (%)	Free cholesterol in IDL to total lipids in IDL ratio	Lipoprotein subclasses ratios	IDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
idll	Total lipids in IDL (mmol/l)	Total lipids in IDL	Lipoprotein subclasses	IDL	Total lipids (mmol/l)	Total lipids	no
idlp	Concentration of IDL particles (mol/l)	Concentration of IDL particles	Lipoprotein subclasses	IDL	Particle concentration (mol/l)	Particle concentration	no
idlpl	Phospholipids in IDL (mmol/l)	Phospholipids in IDL	Lipoprotein subclasses	IDL	Phospholipids (mmol/l)	Phospholipids	no
idlplpct	Phospholipids in IDL to total lipids in IDL ratio (%)	Phospholipids in IDL to total lipids in IDL ratio	Lipoprotein subclasses ratios	IDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
idltg	Triglycerides in IDL (mmol/l)	Triglycerides in IDL	Lipoprotein subclasses	IDL	Triglycerides (mmol/l)	Triglycerides	no
idltgpct	Triglycerides in IDL to total lipids in IDL ratio (%)	Triglycerides in IDL to total lipids in IDL ratio	Lipoprotein subclasses ratios	IDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
ile	Isoleucine (mmol/l)	Isoleucine	Amino acids	Branched-chain amino acids	Isoleucine (mmol/l)	Isoleucine	no
la	"18:2, linoleic acid (mmol/l)"	"18:2, linoleic acid (LA)"	Fatty acids	Fatty acids	Linoleic acid (mmol/l)	Linoleic acid	no
lac	Lactate (mmol/l)	Lactate	Glycolysis related metabolites	Glycolysis related metabolites	Lactate (mmol/l)	Lactate	no
lafa	Ratio of 18:2 linoleic acid to total fatty acids (%)	Ratio of 18:2 linoleic acid to total fatty acids	Fatty acids ratios	Fatty acids ratios	Linoleic acid (%)	Ratio	yes
ldlc	Total cholesterol in LDL (mmol/l)	Total cholesterol in LDL	Cholesterol	Cholesterol	LDL cholesterol (mmol/l)	LDL C	no
ldld	Mean diameter for LDL particles (nm)	Mean diameter for LDL particles	Lipoprotein particle size	Lipoprotein particle size	LDL particle size (nm)	LDL particles size	no
ldltg	Triglycerides in LDL (mmol/l)	Triglycerides in LDL	Glycerides and phospholipids	Glycerides and phospholipids	LDL triglycerides (mmol/l)	LDL triglycerides	no
leu	Leucine (mmol/l)	Leucine	Amino acids	Branched-chain amino acids	Leucine (mmol/l)	Leucine	no
lhdlc	Total cholesterol in large HDL (mmol/l)	Total cholesterol in large HDL	Lipoprotein subclasses	Large HDL	Total cholesterol (mmol/l)	Total cholesterol	no
lhdlce	Cholesterol esters in large HDL (mmol/l)	Cholesterol esters in large HDL	Lipoprotein subclasses	Large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
lhdlcepct	Cholesterol esters in large HDL to total lipids in large HDL ratio (%)	Cholesterol esters in large HDL to total lipids in large HDL ratio	Lipoprotein subclasses ratios	Large HDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
lhdlcpct	Total cholesterol in large HDL to total lipids in large HDL ratio (%)	Total cholesterol in large HDL to total lipids in large HDL ratio	Lipoprotein subclasses ratios	Large HDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
lhdlfc	Free cholesterol in large HDL (mmol/l)	Free cholesterol in large HDL	Lipoprotein subclasses	Large HDL	Free cholesterol (mmol/l)	Free cholesterol	no
lhdlfcpct	Free cholesterol in large HDL to total lipids in large HDL ratio (%)	Free cholesterol in large HDL to total lipids in large HDL ratio	Lipoprotein subclasses ratios	Large HDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
lhdll	Total lipids in large HDL (mmol/l)	Total lipids in large HDL	Lipoprotein subclasses	Large HDL	Total lipids (mmol/l)	Total lipids	no
lhdlp	Concentration of large HDL particles (mol/l)	Concentration of large HDL particles	Lipoprotein subclasses	Large HDL	Particle concentration (mol/l)	Particle concentration	no
lhdlpl	Phospholipids in large HDL (mmol/l)	Phospholipids in large HDL	Lipoprotein subclasses	Large HDL	Phospholipids (mmol/l)	Phospholipids	no
lhdlplpct	Phospholipids in large HDL to total lipids in large HDL ratio (%)	Phospholipids in large HDL to total lipids in large HDL ratio	Lipoprotein subclasses ratios	Large HDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
lhdltg	Triglycerides in large HDL (mmol/l)	Triglycerides in large HDL	Lipoprotein subclasses	Large HDL	Triglycerides (mmol/l)	Triglycerides	no
lhdltgpct	Triglycerides in large HDL to total lipids in large HDL ratio (%)	Triglycerides in large HDL to total lipids in large HDL ratio	Lipoprotein subclasses ratios	Large HDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
lldlc	Total cholesterol in large LDL (mmol/l)	Total cholesterol in large LDL	Lipoprotein subclasses	Large LDL	Total cholesterol (mmol/l)	Total cholesterol	no
lldlce	Cholesterol esters in large LDL (mmol/l)	Cholesterol esters in large LDL	Lipoprotein subclasses	Large LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
lldlcepct	 Cholesterol esters in large LDL to total lipids in large LDL ratio (%)	 Cholesterol esters in large LDL to total lipids in large LDL ratio	Lipoprotein subclasses ratios	Large LDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
lldlcpct	 Total cholesterol in large LDL to total lipids in large LDL ratio (%)	 Total cholesterol in large LDL to total lipids in large LDL ratio	Lipoprotein subclasses ratios	Large LDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
lldlfc	Free cholesterol in large LDL (mmol/l)	Free cholesterol in large LDL	Lipoprotein subclasses	Large LDL	Free cholesterol (mmol/l)	Free cholesterol	no
lldlfcpct	Free cholesterol in large LDL to total lipids in large LDL ratio (%)	Free cholesterol in large LDL to total lipids in large LDL ratio	Lipoprotein subclasses ratios	Large LDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
lldll	Total lipids in large LDL (mmol/l)	Total lipids in large LDL	Lipoprotein subclasses	Large LDL	Total lipids (mmol/l)	Total lipids	no
lldlp	Concentration of large LDL particles (mol/l)	Concentration of large LDL particles	Lipoprotein subclasses	Large LDL	Particle concentration (mol/l)	Particle concentration	no
lldlpl	Phospholipids in large LDL (mmol/l)	Phospholipids in large LDL	Lipoprotein subclasses	Large LDL	Phospholipids (mmol/l)	Phospholipids	no
lldlplpct	Phospholipids in large LDL to total lipids in large LDL ratio (%)	Phospholipids in large LDL to total lipids in large LDL ratio	Lipoprotein subclasses ratios	Large LDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
lldltg	Triglycerides in large LDL (mmol/l)	Triglycerides in large LDL	Lipoprotein subclasses	Large LDL	Triglycerides (mmol/l)	Triglycerides	no
lldltgpct	Triglycerides in large LDL to total lipids in large LDL ratio (%)	Triglycerides in large LDL to total lipids in large LDL ratio	Lipoprotein subclasses ratios	Large LDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
lvldlc	Total cholesterol in large VLDL (mmol/l)	Total cholesterol in large VLDL	Lipoprotein subclasses	Large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no
lvldlce	Cholesterol esters in large VLDL (mmol/l)	Cholesterol esters in large VLDL	Lipoprotein subclasses	Large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
lvldlcepct	Cholesterol esters in large VLDL to total lipids in large VLDL ratio (%)	Cholesterol esters in large VLDL to total lipids in large VLDL ratio	Lipoprotein subclasses ratios	Large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
lvldlcpct	Total cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Total cholesterol in large VLDL to total lipids in large VLDL ratio	Lipoprotein subclasses ratios	Large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
lvldlfc	Free cholesterol in large VLDL (mmol/l)	Free cholesterol in large VLDL	Lipoprotein subclasses	Large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no
lvldlfcpct	Free cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Free cholesterol in large VLDL to total lipids in large VLDL ratio	Lipoprotein subclasses ratios	Large VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
lvldll	Total lipids in large VLDL (mmol/l)	Total lipids in large VLDL	Lipoprotein subclasses	Large VLDL	Total lipids (mmol/l)	Total lipids	no
lvldlp	Concentration of large VLDL particles (mol/l)	Concentration of large VLDL particles	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	Particle concentration	no
lvldlpl	Phospholipids in large VLDL (mmol/l)	Phospholipids in large VLDL	Lipoprotein subclasses	Large VLDL	Phospholipids (mmol/l)	Phospholipids	no
lvldlplpct	Phospholipids in large VLDL to total lipids in large VLDL ratio (%)	Phospholipids in large VLDL to total lipids in large VLDL ratio	Lipoprotein subclasses ratios	Large VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
lvldltg	Triglycerides in large VLDL (mmol/l)	Triglycerides in large VLDL	Lipoprotein subclasses	Large VLDL	Triglycerides (mmol/l)	Triglycerides	no
lvldltgpct	Triglycerides in large VLDL to total lipids in large VLDL ratio (%)	Triglycerides in large VLDL to total lipids in large VLDL ratio	Lipoprotein subclasses ratios	Large VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
mhdlc	Total cholesterol in medium HDL (mmol/l)	Total cholesterol in medium HDL	Lipoprotein subclasses	Medium HDL	Total cholesterol (mmol/l)	Total cholesterol	no
mhdlce	Cholesterol esters in medium HDL (mmol/l)	Cholesterol esters in medium HDL	Lipoprotein subclasses	Medium HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
mhdlcepct	Cholesterol esters in medium HDL to total lipids in medium HDL ratio (%)	Cholesterol esters in medium HDL to total lipids in medium HDL ratio	Lipoprotein subclasses ratios	Medium HDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
mhdlcpct	Total cholesterol in medium HDL to total lipids in medium HDL ratio (%)	Total cholesterol in medium HDL to total lipids in medium HDL ratio	Lipoprotein subclasses ratios	Medium HDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
mhdlfc	Free cholesterol in medium HDL (mmol/l)	Free cholesterol in medium HDL	Lipoprotein subclasses	Medium HDL	Free cholesterol (mmol/l)	Free cholesterol	no
mhdlfcpct	Free cholesterol in medium HDL to total lipids in medium HDL ratio (%)	Free cholesterol in medium HDL to total lipids in medium HDL ratio	Lipoprotein subclasses ratios	Medium HDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
mhdll	Total lipids in medium HDL (mmol/l)	Total lipids in medium HDL	Lipoprotein subclasses	Medium HDL	Total lipids (mmol/l)	Total lipids	no
mhdlp	Concentration of medium HDL particles (mol/l)	Concentration of medium HDL particles	Lipoprotein subclasses	Medium HDL	Particle concentration (mol/l)	Particle concentration	no
mhdlpl	Phospholipids in medium HDL (mmol/l)	Phospholipids in medium HDL	Lipoprotein subclasses	Medium HDL	Phospholipids (mmol/l)	Phospholipids	no
mhdlplpct	Phospholipids in medium HDL to total lipids in medium HDL ratio (%)	Phospholipids in medium HDL to total lipids in medium HDL ratio	Lipoprotein subclasses ratios	Medium HDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
mhdltg	Triglycerides in medium HDL (mmol/l)	Triglycerides in medium HDL	Lipoprotein subclasses	Medium HDL	Triglycerides (mmol/l)	Triglycerides	no
mhdltgpct	Triglycerides in medium HDL to total lipids in medium HDL ratio (%)	Triglycerides in medium HDL to total lipids in medium HDL ratio	Lipoprotein subclasses ratios	Medium HDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
mldlc	Total cholesterol in medium LDL (mmol/l)	Total cholesterol in medium LDL	Lipoprotein subclasses	Medium LDL	Total cholesterol (mmol/l)	Total cholesterol	no
mldlce	Cholesterol esters in medium LDL (mmol/l)	Cholesterol esters in medium LDL	Lipoprotein subclasses	Medium LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
mldlcepct	Cholesterol esters in medium LDL to total lipids in medium LDL ratio (%)	Cholesterol esters in medium LDL to total lipids in medium LDL ratio	Lipoprotein subclasses ratios	Medium LDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
mldlcpct	Total cholesterol in medium LDL to total lipids in medium LDL ratio (%)	Total cholesterol in medium LDL to total lipids in medium LDL ratio	Lipoprotein subclasses ratios	Medium LDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
mldlfc	Free cholesterol in medium LDL (mmol/l)	Free cholesterol in medium LDL	Lipoprotein subclasses	Medium LDL	Free cholesterol (mmol/l)	Free cholesterol	no
mldlfcpct	Free cholesterol in medium LDL to total lipids in medium LDL ratio (%)	Free cholesterol in medium LDL to total lipids in medium LDL ratio	Lipoprotein subclasses ratios	Medium LDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
mldll	Total lipids in medium LDL (mmol/l)	Total lipids in medium LDL	Lipoprotein subclasses	Medium LDL	Total lipids (mmol/l)	Total lipids	no
mldlp	Concentration of medium LDL particles (mol/l)	Concentration of medium LDL particles	Lipoprotein subclasses	Medium LDL	Particle concentration (mol/l)	Particle concentration	no
mldlpl	Phospholipids in medium LDL (mmol/l)	Phospholipids in medium LDL	Lipoprotein subclasses	Medium LDL	Phospholipids (mmol/l)	Phospholipids	no
mldlplpct	Phospholipids in medium LDL to total lipids in medium LDL ratio (%)	Phospholipids in medium LDL to total lipids in medium LDL ratio	Lipoprotein subclasses ratios	Medium LDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
mldltg	Triglycerides in medium LDL (mmol/l)	Triglycerides in medium LDL	Lipoprotein subclasses	Medium LDL	Triglycerides (mmol/l)	Triglycerides	no
mldltgpct	Triglycerides in medium LDL to total lipids in medium LDL ratio (%)	Triglycerides in medium LDL to total lipids in medium LDL ratio	Lipoprotein subclasses ratios	Medium LDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
mufa	"Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)"	Mono-unsaturated fatty acids	Fatty acids	Fatty acids	MUFA (mmol/l)	MUFA	no
mufafa	Ratio of monounsaturated fatty acids to total fatty acids (%)	Ratio of monounsaturated fatty acids to total fatty acids	Fatty acids ratios	Fatty acids ratios	MUFA (%)	Ratio	yes
mvldlc	Total cholesterol in medium VLDL (mmol/l)	Total cholesterol in medium VLDL	Lipoprotein subclasses	Medium VLDL	Total cholesterol (mmol/l)	Total cholesterol	no
mvldlce	Cholesterol esters in medium VLDL (mmol/l)	Cholesterol esters in medium VLDL	Lipoprotein subclasses	Medium VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
mvldlcepct	Cholesterol esters in medium VLDL to total lipids in medium VLDL ratio (%)	Cholesterol esters in medium VLDL to total lipids in medium VLDL ratio	Lipoprotein subclasses ratios	Medium VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
mvldlcpct	Total cholesterol in medium VLDL to total lipids in medium VLDL ratio (%)	Total cholesterol in medium VLDL to total lipids in medium VLDL ratio	Lipoprotein subclasses ratios	Medium VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
mvldlfc	Free cholesterol in medium VLDL (mmol/l)	Free cholesterol in medium VLDL	Lipoprotein subclasses	Medium VLDL	Free cholesterol (mmol/l)	Free cholesterol	no
mvldlfcpct	Free cholesterol in medium VLDL to total lipids in medium VLDL ratio (%)	Free cholesterol in medium VLDL to total lipids in medium VLDL ratio	Lipoprotein subclasses ratios	Medium VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
mvldll	Total lipids in medium VLDL (mmol/l)	Total lipids in medium VLDL	Lipoprotein subclasses	Medium VLDL	Total lipids (mmol/l)	Total lipids	no
mvldlp	Concentration of medium VLDL particles (mol/l)	Concentration of medium VLDL particles	Lipoprotein subclasses	Medium VLDL	Particle concentration (mol/l)	Particle concentration	no
mvldlpl	Phospholipids in medium VLDL (mmol/l)	Phospholipids in medium VLDL	Lipoprotein subclasses	Medium VLDL	Phospholipids (mmol/l)	Phospholipids	no
mvldlplpct	Phospholipids in medium VLDL to total lipids in medium VLDL ratio (%)	Phospholipids in medium VLDL to total lipids in medium VLDL ratio	Lipoprotein subclasses ratios	Medium VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
mvldltg	Triglycerides in medium VLDL (mmol/l)	Triglycerides in medium VLDL	Lipoprotein subclasses	Medium VLDL	Triglycerides (mmol/l)	Triglycerides	no
mvldltgpct	Triglycerides in medium VLDL to total lipids in medium VLDL ratio (%)	Triglycerides in medium VLDL to total lipids in medium VLDL ratio	Lipoprotein subclasses ratios	Medium VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes
NA	Average number of double bonds in a fatty acid chain	Average number of double bonds in a fatty acid chain	Fatty acids	Fatty acids	Average number of double bonds in a fatty acid chain	Average number of double bonds in a fatty acid chain	
NA	Average number of methylene groups in a fatty acid chain	Average number of methylene groups in a fatty acid chain	Fatty acids	Fatty acids	Average number of methylene groups in a fatty acid chain	Average number of methylene groups in a fatty acid chain	
NA	Average number of methylene groups per double bond	Average number of methylene groups per double bond	Metabolites ratio	Metabolites ratio	Average number of methylene groups per double bond	Average number of methylene groups per double bond	
NA	Glycoproteins	Glycoproteins	Protein	Protein	Glycoproteins	Glycoproteins	
NA	"Omega-7, omega-9 and saturated fatty acids"	"Omega-7, omega-9 and saturated fatty acids"	Fatty acids	Fatty acids	"Omega-7, omega-9 and saturated fatty acids"	"Omega-7, omega-9 and saturated fatty acids"	
NA	Other polyunsaturated fatty acids than 18:2	Other polyunsaturated fatty acids than 18:2	Fatty acids	Fatty acids	Other polyunsaturated fatty acids than 18:2	Other polyunsaturated fatty acids than 18:2	
NA	Ratio of bisallylic groups to double bonds	Ratio of bisallylic groups to double bonds	Metabolites ratio	Metabolites ratio	Ratio of bisallylic groups to double bonds	Ratio of bisallylic groups to double bonds	
NA	Ratio of bisallylic groups to total fatty acids	Ratio of bisallylic groups to total fatty acids	Fatty acids	Fatty acids	Ratio of bisallylic groups to total fatty acids	Ratio of bisallylic groups to total fatty acids	
NA	Urea	Urea	Amino acids	Amino acids	Urea	Urea	
pc	Phosphatidylcholine and other cholines (mmol/l)	Phosphatidylcholine and other cholines	Glycerides and phospholipids	Glycerides and phospholipids	Phosphatidylcholine + other cholines (mmol/l)	Phosphatidylcholine + other cholines	no
phe	Phenylalanine (mmol/l)	Phenylalanine	Amino acids	Aromatic amino acids	Phenylalanine (mmol/l)	Phenylalanine	no
pufa	Polyunsaturated fatty acids (mmol/l)	Polyunsaturated fatty acids	Fatty acids	Fatty acids	PUFA (mmol/l)	PUFA	no
pufafa	Ratio of polyunsaturated fatty acids to total fatty acids (%)	Ratio of polyunsaturated fatty acids to total fatty acids	Fatty acids ratios	Fatty acids ratios	PUFA (%)	Ratio	yes
pyr	Pyruvate (mmol/l)	Pyruvate	Glycolysis related metabolites	Glycolysis related metabolites	Pyruvate (mmol/l)	Pyruvate	no
remnantc	"Remnant cholesterol (non-HDL, non-LDL -cholesterol) (mmol/l)"	Remnant cholesterol	Cholesterol	Cholesterol	Remnant cholesterol (mmol/l)	Remnant C	no
serumc	Serum total cholesterol (mmol/l)	Serum total cholesterol	Cholesterol	Cholesterol	Total cholesterol (mmol/l)	Total C	no
serumtg	Serum total triglycerides (mmol/l)	Serum total triglycerides	Glycerides and phospholipids	Glycerides and phospholipids	Triglycerides (mmol/l)	Triglycerides	no
sfa	Saturated fatty acids (mmol/l)	Saturated fatty acids	Fatty acids	Fatty acids	Saturated fatty acids (mmol/l)	Saturated fatty acids	no
sfafa	Ratio of saturated fatty acids to total fatty acids (%)	Ratio of saturated fatty acids to total fatty acids	Fatty acids ratios	Fatty acids ratios	Saturated fatty acids (%)	Ratio	yes
shdlc	Total cholesterol in small HDL (mmol/l)	Total cholesterol in small HDL	Lipoprotein subclasses	Small HDL	Total cholesterol (mmol/l)	Total cholesterol	no
shdlce	Cholesterol esters in small HDL (mmol/l)	Cholesterol esters in small HDL	Lipoprotein subclasses	Small HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
shdlcepct	Cholesterol esters in small HDL to total lipids in small HDL ratio (%)	Cholesterol esters in small HDL to total lipids in small HDL ratio	Lipoprotein subclasses ratios	Small HDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes
shdlcpct	Total cholesterol in small HDL to total lipids in small HDL ratio (%)	Total cholesterol in small HDL to total lipids in small HDL ratio	Lipoprotein subclasses ratios	Small HDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes
shdlfc	Free cholesterol in small HDL (mmol/l)	Free cholesterol in small HDL	Lipoprotein subclasses	Small HDL	Free cholesterol (mmol/l)	Free cholesterol	no
shdlfcpct	Free cholesterol in small HDL to total lipids in small HDL ratio (%)	Free cholesterol in small HDL to total lipids in small HDL ratio	Lipoprotein subclasses ratios	Small HDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes
shdll	Total lipids in small HDL (mmol/l)	Total lipids in small HDL	Lipoprotein subclasses	Small HDL	Total lipids (mmol/l)	Total lipids	no
shdlp	Concentration of small HDL particles (mol/l)	Concentration of small HDL particles	Lipoprotein subclasses	Small HDL	Particle concentration (mol/l)	Particle concentration	no
shdlpl	Phospholipids in small HDL (mmol/l)	Phospholipids in small HDL	Lipoprotein subclasses	Small HDL	Phospholipids (mmol/l)	Phospholipids	no
shdlplpct	Phospholipids in small HDL to total lipids in small HDL ratio (%)	Phospholipids in small HDL to total lipids in small HDL ratio	Lipoprotein subclasses ratios	Small HDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes
