Metabolite ID	Metabolite	Status	Pathway	Super_pathway	my_pathway	my_superpathway	Platform	Compound ID	Quant. Mass.	Retention Time	Spectra	CV(%)	Included in GWAS meta-analysis	Total N	name_lower	METABOLON_name	METABOLON SUB PATHWAY	PUBCHEM	KEGG
M00513	creatinine	Known	Creatine metabolism	Amino acid	Amino acid: Creatine metabolism	Amino acid	LC/MS pos	NA	NA	NA		9.4	Y	"7,810"	creatinine	creatinine	Creatine Metabolism	588	C00791
M21044	2-hydroxybutyrate (AHB)	Known	"Cysteine, methionine, SAM, taurine metabolism"	Amino acid	"Amino acid: Cysteine, methionine, SAM, taurine metabolism"	"Amino acid: Cysteine, methionine, SAM, taurine metabolism"	GC/MS	NA	NA	NA		7.4	Y	"7,815"	2-hydroxybutyrate (ahb)	NA	NA	NA	NA
M31453	cysteine	Known	"Cysteine, methionine, SAM, taurine metabolism"	Amino acid	"Amino acid: Cysteine, methionine, SAM, taurine metabolism"	"Amino acid: Cysteine, methionine, SAM, taurine metabolism"	GC/MS	NA	NA	NA		21.7	Y	"7,692"	cysteine	cysteine	"Methionine, Cysteine, SAM and Taurine Metabolism"	5862	C00097
M31454	cystine	Known	"Cysteine, methionine, SAM, taurine metabolism"	Amino acid	"Amino acid: Cysteine, methionine, SAM, taurine metabolism"	"Amino acid: Cysteine, methionine, SAM, taurine metabolism"	GC/MS	NA	NA	NA		NA		"1,409"	cystine	cystine	"Methionine, Cysteine, SAM and Taurine Metabolism"	67678	C00491
M01302	methionine	Known	"Cysteine, methionine, SAM, taurine metabolism"	Amino acid	"Amino acid: Cysteine, methionine, SAM, taurine metabolism"	"Amino acid: Cysteine, methionine, SAM, taurine metabolism"	LC/MS neg	NA	NA	NA		5.7	Y	"7,795"	methionine	methionine	"Methionine, Cysteine, SAM and Taurine Metabolism"	6137	C00073
M33131	X-11786--methylcysteine	Identified	"Cysteine, methionine, SAM, taurine metabolism"	Amino acid	"Amino acid: Cysteine, methionine, SAM, taurine metabolism"	"Amino acid: Cysteine, methionine, SAM, taurine metabolism"	LC/MS Pos	NA	NA	NA		27.3	Y	"2,811"	x-11786--methylcysteine	NA	NA	NA	NA
M32322	glutamate	Known	Glutamate metabolism	Amino acid	Amino acid: Glutamate metabolism	Amino acid: Glutamate metabolism	GC/MS	NA	NA	NA		14.3	Y	"7,804"	glutamate	glutamate	Glutamate Metabolism	611	C00025
M00053	glutamine	Known	Glutamate metabolism	Amino acid	Amino acid: Glutamate metabolism	Amino acid: Glutamate metabolism	LC/MS pos	NA	NA	NA		7.2	Y	"7,821"	glutamine	glutamine	Glutamate Metabolism	5961	C00064
M32672	pyroglutamine*	Known	Glutamate metabolism	Amino acid	Amino acid: Glutamate metabolism	Amino acid: Glutamate metabolism	LC/MS pos	NA	NA	NA		9	Y	"7,800"	pyroglutamine*	pyroglutamine*	Glutamate Metabolism	134508	
M01494	5-oxoproline	Known	Glutathione metabolism	Amino acid	Amino acid: Glutamate metabolism	Amino acid: Glutamate metabolism	LC/MS pos	NA	NA	NA		20.8	Y	"7,802"	5-oxoproline	5-oxoproline	Glutathione Metabolism	7405	C01879
M35159	cysteine-glutathione disulfide	Known	Glutathione metabolism	Amino acid	Amino acid: Glutamate metabolism	Amino acid: Glutamate metabolism	LC/MS pos	NA	NA	NA		NA	Y	"1,997"	cysteine-glutathione disulfide	NA	NA	NA	NA
M03141	betaine	Known	"Glycine, serine and threonine metabolism"	Amino acid	"Amino acid: Glycine, serine and threonine metabolism"	"Amino acid: Glycine, serine and threonine metabolism"	LC/MS pos	NA	NA	NA		8.5	Y	"7,806"	betaine	betaine	"Glycine, Serine and Threonine Metabolism"	247	C00719
M32338	glycine	Known	"Glycine, serine and threonine metabolism"	Amino acid	"Amino acid: Glycine, serine and threonine metabolism"	"Amino acid: Glycine, serine and threonine metabolism"	GC/MS	NA	NA	NA		13.9	Y	"7,802"	glycine	glycine	"Glycine, Serine and Threonine Metabolism"	750	C00037
M27710	N-acetylglycine	Known	"Glycine, serine and threonine metabolism"	Amino acid	"Amino acid: Glycine, serine and threonine metabolism"	"Amino acid: Glycine, serine and threonine metabolism"	GC/MS	NA	NA	NA		19	Y	"7,135"	n-acetylglycine	N-acetylglycine	"Glycine, Serine and Threonine Metabolism"	10972	
M33939	N-acetylthreonine	Known	"Glycine, serine and threonine metabolism"	Amino acid	"Amino acid: Glycine, serine and threonine metabolism"	"Amino acid: Glycine, serine and threonine metabolism"	LC/MS neg	NA	NA	NA		24.5	Y	"6,909"	n-acetylthreonine	N-acetylthreonine	"Glycine, Serine and Threonine Metabolism"	152204	
M32315	serine	Known	"Glycine, serine and threonine metabolism"	Amino acid	"Amino acid: Glycine, serine and threonine metabolism"	"Amino acid: Glycine, serine and threonine metabolism"	GC/MS	NA	NA	NA		16.1	Y	"7,796"	serine	serine	"Glycine, Serine and Threonine Metabolism"	5951	C00065
M01284	threonine	Known	"Glycine, serine and threonine metabolism"	Amino acid	"Amino acid: Glycine, serine and threonine metabolism"	"Amino acid: Glycine, serine and threonine metabolism"	LC/MS pos	NA	NA	NA		12.6	Y	"6,020"	threonine	threonine	"Glycine, Serine and Threonine Metabolism"	6288	C00188
M35439	glutaroyl carnitine	Known	Lysine metabolism	Amino acid	Amino acid: Lysine metabolism	Amino acid: Lysine metabolism	LC/MS pos	NA	NA	NA		10.9	Y	"7,701"	glutaroyl carnitine	NA	NA	NA	NA
M01301	lysine	Known	Lysine metabolism	Amino acid	Amino acid: Lysine metabolism	Amino acid: Lysine metabolism	LC/MS pos	NA	NA	NA		16.6	Y	"7,812"	lysine	lysine	Lysine Metabolism	5962	C00047
M01444	pipecolate	Known	Lysine metabolism	Amino acid	Amino acid: Lysine metabolism	Amino acid: Lysine metabolism	LC/MS pos	NA	NA	NA		7.6	Y	"7,792"	pipecolate	pipecolate	Lysine Metabolism	849	C00408
M35635	3-(3-hydroxyphenyl)propionate	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS neg	NA	NA	NA		0	Y	"1,163"	3-(3-hydroxyphenyl)propionate	3-(3-hydroxyphenyl)propionate	Benzoate Metabolism	91	C11457
M32197	3-(4-hydroxyphenyl)lactate	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS neg	NA	NA	NA		6.9	Y	"7,795"	3-(4-hydroxyphenyl)lactate	3-(4-hydroxyphenyl)lactate	Tyrosine Metabolism	9378	C03672
M12017	3-methoxytyrosine	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS pos	NA	NA	NA		21.6	Y	"5,997"	3-methoxytyrosine	3-methoxytyrosine	Tyrosine Metabolism	1670	
M15749	3-phenylpropionate (hydrocinnamate)	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS neg	NA	NA	NA		17.1	Y	"6,182"	3-phenylpropionate (hydrocinnamate)	3-phenylpropionate (hydrocinnamate)	Benzoate Metabolism	107	C05629
M00541	4-hydroxyphenylacetate	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	GC/MS	NA	NA	NA		17.9		387	4-hydroxyphenylacetate	4-hydroxyphenylacetate	Phenylalanine Metabolism	127	C00642
M36103	p-cresol sulfate	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS neg	NA	NA	NA		4.8	Y	"7,758"	p-cresol sulfate	p-cresol sulfate	Benzoate Metabolism	4615423	
M32553	phenol sulfate	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS neg	NA	NA	NA		5.7	Y	"7,810"	phenol sulfate	phenol sulfate	Tyrosine Metabolism	74426	C02180
M15958	phenylacetate	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS neg	NA	NA	NA		20.3	Y	"4,754"	phenylacetate	phenylacetate	Phenylalanine Metabolism	999	C07086
M35126	phenylacetylglutamine	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS pos	NA	NA	NA		6.9	Y	"7,812"	phenylacetylglutamine	phenylacetylglutamine	Acetylated Peptides	92258	C04148
M00064	phenylalanine	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS pos	NA	NA	NA		5.9	Y	"7,803"	phenylalanine	phenylalanine	Phenylalanine Metabolism	6140	C00079
M22130	phenyllactate (PLA)	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS neg	NA	NA	NA		17.5	Y	"6,064"	phenyllactate (pla)	phenyllactate (PLA)	Phenylalanine Metabolism	3848	C05607
M01299	tyrosine	Known	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS pos	NA	NA	NA		6.1	Y	"7,807"	tyrosine	tyrosine	Tyrosine Metabolism	6057	C00082
M32740	X-11423--O-sulfo-L-tyrosine	Identified	Phenylalanine & tyrosine metabolism	Amino acid	Amino acid: Phenylalanine & tyrosine metabolism	Amino acid: Phenylalanine & tyrosine metabolism	LC/MS Neg	NA	NA	NA		8.6	Y	"7,765"	x-11423--o-sulfo-l-tyrosine	NA	NA	NA	NA
M27672	3-indoxyl sulfate	Known	Tryptophan metabolism	Amino acid	Amino acid: Tryptophan metabolism	Amino acid: Tryptophan metabolism	LC/MS neg	NA	NA	NA		6.6	Y	"7,787"	3-indoxyl sulfate	3-indoxyl sulfate	Tryptophan Metabolism	10258	
M32675	C-glycosyltryptophan*	Known	Tryptophan metabolism	Amino acid	Amino acid: Tryptophan metabolism	Amino acid: Tryptophan metabolism	LC/MS pos	NA	NA	NA		8.5	Y	"7,786"	c-glycosyltryptophan*	NA	NA	NA	NA
M27513	indoleacetate	Known	Tryptophan metabolism	Amino acid	Amino acid: Tryptophan metabolism	Amino acid: Tryptophan metabolism	LC/MS pos	NA	NA	NA		12.5	Y	"7,618"	indoleacetate	indoleacetate	Tryptophan Metabolism	802	C00954
M18349	indolelactate	Known	Tryptophan metabolism	Amino acid	Amino acid: Tryptophan metabolism	Amino acid: Tryptophan metabolism	LC/MS pos	NA	NA	NA		24	Y	"7,378"	indolelactate	indolelactate	Tryptophan Metabolism	92904	C02043
M32405	indolepropionate	Known	Tryptophan metabolism	Amino acid	Amino acid: Tryptophan metabolism	Amino acid: Tryptophan metabolism	LC/MS pos	NA	NA	NA		17	Y	"7,803"	indolepropionate	indolepropionate	Tryptophan Metabolism	3744	
M15140	kynurenine	Known	Tryptophan metabolism	Amino acid	Amino acid: Tryptophan metabolism	Amino acid: Tryptophan metabolism	LC/MS pos	NA	NA	NA		7.3	Y	"7,816"	kynurenine	kynurenine	Tryptophan Metabolism	161166	C00328
M02342	serotonin (5HT)	Known	Tryptophan metabolism	Amino acid	Amino acid: Tryptophan metabolism	Amino acid: Tryptophan metabolism	LC/MS pos	NA	NA	NA		27.1	Y	"6,139"	serotonin (5ht)	NA	NA	NA	NA
M00054	tryptophan	Known	Tryptophan metabolism	Amino acid	Amino acid: Tryptophan metabolism	Amino acid: Tryptophan metabolism	LC/MS pos	NA	NA	NA		6.4	Y	"7,804"	tryptophan	tryptophan	Tryptophan Metabolism	6305	C00078
M37097	tryptophan betaine	Known	Tryptophan metabolism	Amino acid	Amino acid: Tryptophan metabolism	Amino acid: Tryptophan metabolism	LC/MS Pos	NA	NA	NA		7.2	Y	"7,439"	tryptophan betaine	tryptophan betaine	Tryptophan Metabolism	442106	C09213
M33515	X-12100--hydroxytryptophan*	Identified	Tryptophan metabolism	Amino acid	Amino acid: Tryptophan metabolism	Amino acid: Tryptophan metabolism	LC/MS Pos	33515	221.1	1.76	88.1:1.7 112.1:0.9 130.1:18.8 131.1:1.4 160:0.4 161.2:0.2 162.1:0.8 175.1:27.1 176.1:0.8 178.1:0.3 184.1:0.3 186.1:0.2 203.1:100 204.1:1.6	20	Y	"7,499"	x-12100--hydroxytryptophan*	NA	NA	NA	NA
M01638	arginine	Known	"Urea cycle; arginine-, proline-, metabolism"	Amino acid	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	LC/MS neg	NA	NA	NA		16.8	Y	"7,528"	arginine	arginine	Urea cycle; Arginine and Proline Metabolism	232	C00062
M02132	citrulline	Known	"Urea cycle; arginine-, proline-, metabolism"	Amino acid	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	LC/MS pos	NA	NA	NA		9.5	Y	"7,773"	citrulline	citrulline	Urea cycle; Arginine and Proline Metabolism	9750	C00327
M36808	dimethylarginine (SDMA + ADMA)	Known	"Urea cycle; arginine-, proline-, metabolism"	Amino acid	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	LC/MS pos	NA	NA	NA		14.7	Y	"7,347"	dimethylarginine (sdma + adma)	dimethylarginine (SDMA + ADMA)	Urea cycle; Arginine and Proline Metabolism	123831	C03626
M22138	homocitrulline	Known	"Urea cycle; arginine-, proline-, metabolism"	Amino acid	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	LC/MS pos	NA	NA	NA		26	Y	"4,135"	homocitrulline	homocitrulline	Urea cycle; Arginine and Proline Metabolism	65072	C02427
M15630	N-acetylornithine	Known	"Urea cycle; arginine-, proline-, metabolism"	Amino acid	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	LC/MS pos	NA	NA	NA		23.2	Y	"7,574"	n-acetylornithine	NA	NA	NA	NA
M01493	ornithine	Known	"Urea cycle; arginine-, proline-, metabolism"	Amino acid	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	LC/MS pos	NA	NA	NA		22.9	Y	"7,746"	ornithine	ornithine	Urea cycle; Arginine and Proline Metabolism	6262	C00077
M01898	proline	Known	"Urea cycle; arginine-, proline-, metabolism"	Amino acid	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	LC/MS pos	NA	NA	NA		6.2	Y	"7,816"	proline	proline	Urea cycle; Arginine and Proline Metabolism	145742	C00148
M32319	trans-4-hydroxyproline	Known	"Urea cycle; arginine-, proline-, metabolism"	Amino acid	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	GC/MS	NA	NA	NA		10.9	Y	"7,802"	trans-4-hydroxyproline	trans-4-hydroxyproline	Urea cycle; Arginine and Proline Metabolism	5810	C01157
M01670	urea	Known	"Urea cycle; arginine-, proline-, metabolism"	Amino acid	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	"Amino acid: Urea cycle; arginine-, proline-, metabolism"	GC/MS	NA	NA	NA		12.6	Y	"7,796"	urea	urea	Urea cycle; Arginine and Proline Metabolism	1176	C00086
M22030	2-hydroxyisobutyrate	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	GC/MS	NA	NA	NA		22	Y	"6,539"	2-hydroxyisobutyrate	NA	NA	NA	NA
M35431	2-methylbutyroylcarnitine	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS pos	NA	NA	NA		15.6	Y	"7,420"	2-methylbutyroylcarnitine	NA	NA	NA	NA
M32397	3-hydroxy-2-ethylpropionate	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	GC/MS	NA	NA	NA		18.9		889	3-hydroxy-2-ethylpropionate	3-hydroxy-2-ethylpropionate	"Leucine, Isoleucine and Valine Metabolism"	188979	
M21047	3-methyl-2-oxobutyrate	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS neg	NA	NA	NA		18.5	Y	"7,648"	3-methyl-2-oxobutyrate	3-methyl-2-oxobutyrate	"Leucine, Isoleucine and Valine Metabolism"	49	C00141
M15676	3-methyl-2-oxovalerate	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS neg	NA	NA	NA		6.7	Y	"7,779"	3-methyl-2-oxovalerate	3-methyl-2-oxovalerate	"Leucine, Isoleucine and Valine Metabolism"	47	C00671
M22116	4-methyl-2-oxopentanoate	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS neg	NA	NA	NA		7.1	Y	"7,776"	4-methyl-2-oxopentanoate	4-methyl-2-oxopentanoate	"Leucine, Isoleucine and Valine Metabolism"	70	C00233
M33937	alpha-hydroxyisovalerate	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS neg	NA	NA	NA		9	Y	"7,668"	alpha-hydroxyisovalerate	alpha-hydroxyisovalerate	"Leucine, Isoleucine and Valine Metabolism"	99823	
M12129	beta-hydroxyisovalerate	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS neg	NA	NA	NA		18.8	Y	"7,283"	beta-hydroxyisovalerate	beta-hydroxyisovalerate	"Leucine, Isoleucine and Valine Metabolism"	69362	
M35433	hydroxyisovaleroyl carnitine	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS pos	NA	NA	NA		33.3	Y	"5,588"	hydroxyisovaleroyl carnitine	NA	NA	NA	NA
M33441	isobutyrylcarnitine	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS pos	NA	NA	NA		9.6	Y	"7,812"	isobutyrylcarnitine	NA	NA	NA	NA
M01125	isoleucine	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS pos	NA	NA	NA		6.2	Y	"7,801"	isoleucine	isoleucine	"Leucine, Isoleucine and Valine Metabolism"	6306	C00407
M34407	isovalerylcarnitine	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS pos	NA	NA	NA		17.2	Y	"7,789"	isovalerylcarnitine	NA	NA	NA	NA
M00060	leucine	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS pos	NA	NA	NA		6.1	Y	"7,799"	leucine	leucine	"Leucine, Isoleucine and Valine Metabolism"	6106	C00123
M22177	levulinate (4-oxovalerate)	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS pos or neg	NA	NA	NA		28.6	Y	"6,982"	levulinate (4-oxovalerate)	NA	NA	NA	NA
M35428	tiglyl carnitine	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS pos	NA	NA	NA		24.3		"1,328"	tiglyl carnitine	NA	NA	NA	NA
M01649	valine	Known	"Valine, leucine and isoleucine metabolism"	Amino acid	"Amino acid: Valine, leucine and isoleucine metabolism"	"Amino acid: Valine, leucine and isoleucine metabolism"	LC/MS pos	NA	NA	NA		6.2	Y	"7,808"	valine	valine	"Leucine, Isoleucine and Valine Metabolism"	6287	C00183
M33477	erythronate*	Known	Aminosugars metabolism	Carbohydrate	Carbohydrate	Carbohydrate	GC/MS	NA	NA	NA		13.8	Y	"7,752"	erythronate*	erythronate*	Aminosugar Metabolism	2781043	
M27722	erythrose	Known	"Fructose, mannose, galactose, starch, and sucrose metabolism"	Carbohydrate	"Carbohydrate: Fructose, mannose, galactose, starch, and sucrose metabolism"	Carbohydrate	GC/MS	NA	NA	NA		40.7	Y	"7,263"	erythrose	NA	NA	NA	NA
M00577	fructose	Known	"Fructose, mannose, galactose, starch, and sucrose metabolism"	Carbohydrate	"Carbohydrate: Fructose, mannose, galactose, starch, and sucrose metabolism"	Carbohydrate	GC/MS	NA	NA	NA		22.6	Y	"7,781"	fructose	fructose	"Fructose, Mannose and Galactose Metabolism"	5984	C00095
M15335	mannitol	Known	"Fructose, mannose, galactose, starch, and sucrose metabolism"	Carbohydrate	"Carbohydrate: Fructose, mannose, galactose, starch, and sucrose metabolism"	Carbohydrate	GC/MS	NA	NA	NA		30.5	Y	"5,917"	mannitol	NA	NA	NA	NA
M00584	mannose	Known	"Fructose, mannose, galactose, starch, and sucrose metabolism"	Carbohydrate	"Carbohydrate: Fructose, mannose, galactose, starch, and sucrose metabolism"	Carbohydrate	GC/MS	NA	NA	NA		17.2	Y	"7,793"	mannose	mannose	"Fructose, Mannose and Galactose Metabolism"	18950	C00159
M20675	"1,5-anhydroglucitol (1,5-AG)"	Known	"Glycolysis, gluconeogenesis, pyruvate metabolism"	Carbohydrate	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	LC/MS neg	NA	NA	NA		6.7	Y	"7,746"	"1,5-anhydroglucitol (1,5-ag)"	"1,5-anhydroglucitol (1,5-AG)"	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	64960	C07326
M21049	"1,6-anhydroglucose"	Known	"Glycolysis, gluconeogenesis, pyruvate metabolism"	Carbohydrate	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	GC/MS	NA	NA	NA		17.8	Y	"3,663"	"1,6-anhydroglucose"	NA	NA	NA	NA
M20489	glucose	Known	"Glycolysis, gluconeogenesis, pyruvate metabolism"	Carbohydrate	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	"Carbohydrate: Glycolysis, gluconeogenesis, pyruvate metabolism"	GC/MS	NA	NA	NA		12.7	Y	"7,773"	glucose	glucose	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	79025	C00031
