Exposure	Outcome	Analysis	Adjusted	OR	Lower CI	Upper CI	p-value		Exposure	Outcome	Analysis	Adjusted	OR	Lower CI	Upper CI	p-value		Exposure	Outcome	Analysis	Adjusted	OR	Lower CI	Upper CI	p-value
BMI	Endometroid	Multivariable MR	SVLDLTG	1.971095196	1.571196618	2.472775354	1.46E-07		WHR	Endometroid	Multivariable MR	SVLDLTG	1.243639453	0.649638406	2.38076917	0.516732936		BF	Endometroid	Multivariable MR	SVLDLTG	2.589000543	1.168851277	5.734625052	0.034318923
SVLDLTG	Endometroid	Multivariable MR	BMI	1.274009591	0.934791502	1.736323483	0.129889001		SVLDLTG	Endometroid	Multivariable MR	WHR	1.356574853	0.889086014	2.069873221	0.170012473		SVLDLTG	Endometroid	Multivariable MR	BF	1.388389215	0.925520747	2.082745978	0.135077421
BMI	Endometroid	Multivariable MR	XSVLDLTG	1.968717202	1.550683855	2.499443977	5.59E-07		WHR	Endometroid	Multivariable MR	XSVLDLTG	1.161232757	0.618110656	2.181585938	0.646561158		BF	Endometroid	Multivariable MR	XSVLDLTG	2.475400518	1.118556021	5.478141113	0.04508498
XSVLDLTG	Endometroid	Multivariable MR	BMI	1.113740766	0.753756467	1.645648889	0.590512392		XSVLDLTG	Endometroid	Multivariable MR	WHR	1.26683764	0.758026505	2.117178748	0.37604706		XSVLDLTG	Endometroid	Multivariable MR	BF	1.117788079	0.660849687	1.890672287	0.685284308
BMI	Non-endometroid	Univariable MR	-	1.631657672	1.112751958	2.392542866	0.012173457		WHR	Non-endometroid	Univariable MR	-	2.308685855	1.2265709	4.345472711	0.009517287		BF	Non-endometroid	Univariable MR	-	2.00747215	0.523526841	7.697684472	0.309512633
SVLDLTG	Non-endometroid	Univariable MR	-	1.791226588	1.252515395	2.561639323	0.001405309		SVLDLTG	Non-endometroid	Univariable MR	-	1.791226588	1.252515395	2.561639323	0.001405309		SVLDLTG	Non-endometroid	Univariable MR	-	1.791226588	1.252515395	2.561639323	0.001405309
SVLDLTG	Non-endometroid	Univariable MR	-	1.791226588	1.123859825	2.165482576	0.001405309		SVLDLTG	Non-endometroid	Univariable MR	-	1.791226588	1.123859825	2.165482576	0.001405309		SVLDLTG	Non-endometroid	Univariable MR	-	1.791226588	1.123859825	2.165482576	0.001405309
BMI	Non-endometroid	Multivariable MR	SVLDLTG	1.28391245	0.882294247	1.868346286	0.196050249		WHR	Non-endometroid	Multivariable MR	SVLDLTG	0.765456434	0.297885012	1.966945393	0.583970087		BF	Non-endometroid	Multivariable MR	SVLDLTG	0.977622153	0.40635309	2.35200641	0.960415282
SVLDLTG	Non-endometroid	Multivariable MR	BMI	2.962022857	1.771350069	4.953046583	9.81E-05		SVLDLTG	Non-endometroid	Multivariable MR	WHR	3.139474251	1.695367076	5.813666381	0.001303734		SVLDLTG	Non-endometroid	Multivariable MR	BF	3.070930749	1.955549472	4.822488924	0.000246573
BMI	Non-endometroid	Multivariable MR	XSVLDLTG	1.36131237	0.91116198	2.033855022	0.137034512		WHR	Non-endometroid	Multivariable MR	XSVLDLTG	1.322997923	0.513754636	3.406924981	0.567569848		BF	Non-endometroid	Multivariable MR	XSVLDLTG	0.922513658	0.362015978	2.350811848	0.868615924
XSVLDLTG	Non-endometroid	Multivariable MR	BMI	2.140681264	1.112329066	4.119748748	0.02602961		XSVLDLTG	Non-endometroid	Multivariable MR	WHR	1.991309475	0.922610831	4.297926379	0.092609017		XSVLDLTG	Non-endometroid	Multivariable MR	BF	2.15074759	1.162822566	3.978006045	0.031113095
